,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Lim Lip Eng (PH - DAP),"77.7% (56,516)",P114,KEPONG,parliament,FederalTerritories
1,Ong Siang Liang (BN - GERAKAN),"6.7% (4,888)",P114,KEPONG,parliament,FederalTerritories
2,Prabakaran Parameswaran (IND),"49.9% (38,125)",P115,BATU,parliament,FederalTerritories
3,Dominic Lau Hoe Chai (BN - GERAKAN),"17.9% (13,687)",P115,BATU,parliament,FederalTerritories
4,Azhar Yahya (PAS),"13.9% (10,610)",P115,BATU,parliament,FederalTerritories
5,Panjamorthy Muthusami (IND),0.5% (383),P115,BATU,parliament,FederalTerritories
6,Tan Yee Kew (PH - PKR),"47.7% (42,178)",P116,WANGSA MAJU,parliament,FederalTerritories
7,Yew Teong Look (BN - MCA),"20.3% (17,940)",P116,WANGSA MAJU,parliament,FederalTerritories
8,Razali Tumirin (PAS),"15.2% (13,490)",P116,WANGSA MAJU,parliament,FederalTerritories
9,Hannah Yeoh (PH - DAP),"68.1% (53,124)",P117,SEGAMBUT,parliament,FederalTerritories
10,Loga Bala Mohan Jaganathan (BN - MyPPP),"9.5% (7,422)",P117,SEGAMBUT,parliament,FederalTerritories
11,Mohd Solleh Ab Razak (PAS),"5.4% (4,181)",P117,SEGAMBUT,parliament,FederalTerritories
12,Nik Nazmi Nik Ahmad (PH - PKR),"47.8% (34,471)",P118,SETIAWANGSA,parliament,FederalTerritories
13,Zulhasnan Rafique (BN - UMNO),"27.9% (20,099)",P118,SETIAWANGSA,parliament,FederalTerritories
14,Ubaid Abd Akla (PAS),"8.7% (6,282)",P118,SETIAWANGSA,parliament,FederalTerritories
15,Rina Mohd Harun (PH - PPBM),"38.7% (23,840)",P119,TITIWANGSA,parliament,FederalTerritories
16,Johari Abdul Ghani (BN - UMNO),"32.0% (19,701)",P119,TITIWANGSA,parliament,FederalTerritories
17,Mohamad Noor Mohamad (PAS),"11.1% (6,845)",P119,TITIWANGSA,parliament,FederalTerritories
18,Fong Kui Lun (PH - DAP),"64.0% (44,516)",P120,BUKIT BINTANG,parliament,FederalTerritories
19,Tan Ean Ean (BN - MCA),"10.4% (7,256)",P120,BUKIT BINTANG,parliament,FederalTerritories
20,Khairul Husni Othman (PFP),0.9% (636),P120,BUKIT BINTANG,parliament,FederalTerritories
21,Ahmad Fahmi Mohamed Fadzil (PH - PKR),"41.5% (33,313)",P121,LEMBAH PANTAI,parliament,FederalTerritories
22,Raja Nong Chik Raja Zainal Abidin (BN - UMNO),"34.5% (27,715)",P121,LEMBAH PANTAI,parliament,FederalTerritories
23,Fauzi Abu Bakar (PAS),"6.6% (5,277)",P121,LEMBAH PANTAI,parliament,FederalTerritories
24,Teresa Kok Suh Sim (PH - DAP),"73.1% (63,094)",P122,SEPUTEH,parliament,FederalTerritories
25,Chan Quin Er (BN - MCA),"8.2% (7,035)",P122,SEPUTEH,parliament,FederalTerritories
26,Tan Kok Wai (PH - DAP),"71.9% (56,671)",P123,CHERAS,parliament,FederalTerritories
27,Heng Sinn Yee (BN - MCA),"8.9% (7,006)",P123,CHERAS,parliament,FederalTerritories
28,Kamarudin Jaffar (PH - PKR),"49.2% (41,126)",P124,BANDAR TUN RAZAK,parliament,FederalTerritories
29,Adnan Seman @ Abdullah (BN - UMNO),"25.3% (21,196)",P124,BANDAR TUN RAZAK,parliament,FederalTerritories
30,Rosni Adam (PAS),"9.4% (7,884)",P124,BANDAR TUN RAZAK,parliament,FederalTerritories
31,Tengku Adnan Tengku Mansor (BN - UMNO),"44.5% (12,148)",P125,PUTRAJAYA,parliament,FederalTerritories
32,Samsu Adabi Mamat (PH - PPBM),"32.1% (8,776)",P125,PUTRAJAYA,parliament,FederalTerritories
33,Zainal Abidin Kidam (PAS),"13.3% (3,634)",P125,PUTRAJAYA,parliament,FederalTerritories
34,Rozman Isli (BN - UMNO),"35.8% (10,164)",P166,LABUAN,parliament,FederalTerritories
35,Noor Halim Zaini (WARISAN),"30.7% (8,714)",P166,LABUAN,parliament,FederalTerritories
36,Ahmad Junid @ Junit Mohd Aling @ Aling (PAS),"5.5% (1,555)",P166,LABUAN,parliament,FederalTerritories
37,Siti Zaleha Ibrahim (PHRS),3.3% (925),P166,LABUAN,parliament,FederalTerritories
