,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
0,"55,350","5,476",726,0,"46,170 (83.4%)",Malay 46.19%; Chinese 42.77%; Indian 10.09%; B/P Sabah 0.3%; B/P Sarawak 0.32%; Orang Asli (Pen. Msia) 0.1%; Others 0.23%,P140,SEGAMAT,parliament,Johor
1,"45,596","1,281",558,0,"38,527 (84.5%)",Malay 59.24%; Chinese 36.15%; Indian 4%; B/P Sabah 0.03%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.18%; Others 0.35%,P141,SEKIJANG,parliament,Johor
2,"40,356","3,408",485,0,"32,593 (80.8%)",Malay 37.98%; Chinese 44.94%; Indian 14.68%; B/P Sabah 0.07%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 2.04%; Others 0.24%,P142,LABIS,parliament,Johor
3,"51,512","6,927",693,0,"43,667 (84.8%)",Malay 65.96%; Chinese 29.76%; Indian 3.72%; B/P Sabah 0.04%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.34%; Others 0.15%,P143,PAGOH,parliament,Johor
4,"77,474","8,666","1,048",0,"66,708 (86.1%)",Malay 55.76%; Chinese 39.03%; Indian 4.57%; B/P Sabah 0.06%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.36%; Others 0.19%,P144,LEDANG,parliament,Johor
5,"73,883","23,211",631,0,"62,632 (84.8%)",Malay 44.23%; Chinese 53.14%; Indian 2.15%; B/P Sabah 0.08%; B/P Sarawak 0.07%; Others 0.32%,P145,BAKRI,parliament,Johor
6,"50,843","6,953",636,0,"42,868 (84.3%)",Malay 66.72%; Chinese 31.47%; Indian 1.33%; B/P Sabah 0.08%; B/P Sarawak 0.07%; Orang Asli (Pen. Msia) 0.01%; Others 0.32%,P146,MUAR,parliament,Johor
7,"59,609","6,341",832,0,"50,778 (85.2%)",Malay 78.51%; Chinese 20.66%; Indian 0.48%; B/P Sabah 0.03%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.03%; Others 0.23%,P147,PARIT SULONG,parliament,Johor
8,"46,157",303,556,0,"39,474 (85.5%)",Malay 57.68%; Chinese 37.97%; Indian 4.01%; B/P Sabah 0.02%; B/P Sarawak 0.04%; Others 0.26%,P148,AYER HITAM,parliament,Johor
9,"52,119","3,288",635,0,"45,193 (86.7%)",Malay 65%; Chinese 33.17%; Indian 1.46%; B/P Sabah 0.07%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.01%; Others 0.26%,P149,SRI GADING,parliament,Johor
10,"98,543","17,894","1,097",0,"83,574 (84.8%)",Malay 54.64%; Chinese 43.49%; Indian 1.29%; B/P Sabah 0.07%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 0.1%; Others 0.35%,P150,BATU PAHAT,parliament,Johor
11,"43,998","3,475",779,0,"36,695 (83.4%)",Malay 59.61%; Chinese 30.8%; Indian 8.84%; B/P Sabah 0.12%; B/P Sarawak 0.1%; Orang Asli (Pen. Msia) 0.02%; Others 0.51%,P151,SIMPANG RENGGAM,parliament,Johor
12,"96,915","23,053",921,0,"81,841 (84.4%)",Malay 41.63%; Chinese 47.49%; Indian 9.38%; B/P Sabah 0.3%; B/P Sarawak 0.69%; Orang Asli (Pen. Msia) 0.04%; Others 0.47%,P152,KLUANG,parliament,Johor
13,"44,137","6,662",598,0,"36,768 (83.3%)",Malay 60.44%; Chinese 29.15%; Indian 8.66%; B/P Sabah 0.04%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 1.31%; Others 0.35%,P153,SEMBRONG,parliament,Johor
