,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab
0,"21,484",877,341,0,"17,881 (83.2%)",Malay 56.37%; Chinese 30.25%; Indian 12.87%; B/P Sabah 0.03%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.2%; Others 0.23%,N1,BULOH KASAP (P140),state
1,"33,866","7,001",557,0,"28,296 (83.6%)",Malay 39.73%; Chinese 50.71%; Indian 8.32%; B/P Sabah 0.47%; B/P Sarawak 0.5%; Orang Asli (Pen. Msia) 0.04%; Others 0.23%,N2,JEMENTAH (P140),state
2,"22,314",363,393,0,"18,843 (84.4%)",Malay 63.27%; Chinese 33.41%; Indian 2.79%; B/P Sabah 0.02%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 0.01%; Others 0.44%,N3,PEMANIS (P141),state
3,"23,282","2,355",296,0,"19,687 (84.6%)",Malay 55.38%; Chinese 38.78%; Indian 5.17%; B/P Sabah 0.03%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 0.34%; Others 0.27%,N4,KEMELAH (P141),state
4,"18,398","1,070",227,0,"15,270 (83%)",Malay 49.61%; Chinese 37.68%; Indian 10.81%; B/P Sabah 0.06%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 1.62%; Others 0.18%,N5,TENANG (P142),state
5,"21,958","2,457",324,0,"17,325 (78.9%)",Malay 28.24%; Chinese 51.02%; Indian 17.93%; B/P Sabah 0.07%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 2.4%; Others 0.29%,N6,BEKOK (P142),state
6,"28,992","1,273",383,0,"24,352 (84%)",Malay 69.17%; Chinese 26.9%; Indian 3.12%; B/P Sabah 0.02%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 0.61%; Others 0.14%,N7,BUKIT KEPONG (P143),state
7,"22,520","1,883","1,382",0,"19,305 (85.7%)",Malay 61.83%; Chinese 33.43%; Indian 4.48%; B/P Sabah 0.06%; B/P Sarawak 0.05%; Others 0.15%,N8,BUKIT PASIR (P143),state
8,"22,726","3,088",383,0,"19,740 (86.9%)",Malay 59.45%; Chinese 36.6%; Indian 3.73%; B/P Sabah 0.05%; B/P Sarawak 0.03%; Others 0.14%,N9,GAMBIR (P144),state
9,"26,354","5,077",563,0,"22,583 (85.7%)",Malay 39.97%; Chinese 49.28%; Indian 9.31%; B/P Sabah 0.08%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 1.05%; Others 0.28%,N10,TANGKAK (P144),state
10,"28,394","2,324",359,0,"24,389 (85.9%)",Malay 67.46%; Chinese 31.47%; Indian 0.85%; B/P Sabah 0.04%; B/P Sarawak 0.05%; Others 0.13%,N11,SEROM (P144),state
11,"27,856","13,629",253,0,"23,234 (83.4%)",Malay 23.55%; Chinese 73.8%; Indian 2.26%; B/P Sabah 0.06%; B/P Sarawak 0.03%; Others 0.29%,N12,BENTAYAN (P145),state
12,"28,193","7,687",235,0,"24,069 (85.4%)",Malay 53.42%; Chinese 43.32%; Indian 2.75%; B/P Sabah 0.05%; B/P Sarawak 0.06%; Others 0.4%,N13,SIMPANG JERAM (P145),state
13,"17,834","1,552",206,0,"15,330 (86%)",Malay 61.99%; Chinese 36.42%; Indian 1.05%; B/P Sabah 0.15%; B/P Sarawak 0.16%; Orang Asli (Pen. Msia) 0.01%; Others 0.22%,N14,BUKIT NANING (P145),state
14,"27,900","5,674",299,0,"23,397 (83.9%)",Malay 60.97%; Chinese 36.13%; Indian 2.27%; B/P Sabah 0.11%; B/P Sarawak 0.1%; Orang Asli (Pen. Msia) 0.01%; Others 0.42%,N15,MAHARANI (P146),state
15,"22,943",174,392,0,"19,470 (84.9%)",Malay 73.71%; Chinese 25.81%; Indian 0.18%; B/P Sabah 0.03%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.02%; Others 0.2%,N16,SUNGAI BALANG (P146),state
16,"35,557",98,392,0,"19,470 (54.8%)",Malay 70.54%; Chinese 28.55%; Indian 0.59%; B/P Sabah 0.04%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.01%; Others 0.21%,N17,SEMERAH (P147),state
17,"24,052","6,040",363,0,"20,811 (86.5%)",Malay 90.28%; Chinese 9%; Indian 0.32%; B/P Sabah 0.02%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.07%; Others 0.26%,N18,SRI MEDAN (P147),state
18,"24,903","5,089",300,0,"21,113 (84.8%)",Malay 33.32%; Chinese 59.58%; Indian 6.75%; B/P Sabah 0.03%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.01%; Others 0.28%,N19,YONG PENG (P148),state
19,"21,254","5,842",242,0,"18,372 (86.4%)",Malay 86.23%; Chinese 12.65%; Indian 0.8%; B/P Sabah 0.02%; B/P Sarawak 0.04%; Others 0.25%,N20,SEMARANG (P148),state
20,"26,635","4,834",237,0,"23,158 (86.9%)",Malay 57.51%; Chinese 41.2%; Indian 0.88%; B/P Sabah 0.09%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 0.02%; Others 0.28%,N21,PARIT YAANI (P149),state
21,"25,484",638,638,0,"22,037 (86.5%)",Malay 72.83%; Chinese 24.77%; Indian 2.06%; B/P Sabah 0.05%; B/P Sarawak 0.05%; Others 0.24%,N22,PARIT RAJA (P149),state
22,"49,750","17,205",420,0,"42,257 (84.9%)",Malay 37.34%; Chinese 59.95%; Indian 2.16%; B/P Sabah 0.09%; B/P Sarawak 0.08%; Orang Asli (Pen. Msia) 0.01%; Others 0.36%,N23,PENGGARAM (P150),state
23,"27,587",809,394,0,"23,493 (85.2%)",Malay 64.36%; Chinese 34.56%; Indian 0.54%; B/P Sabah 0.04%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.11%; Others 0.36%,N24,SENGGARANG (P150),state
24,"21,206","4,172",329,0,"17,818 (84%)",Malay 82.59%; Chinese 16.48%; Indian 0.24%; B/P Sabah 0.05%; B/P Sarawak 0.02%; Orang Asli (Pen. Msia) 0.31%; Others 0.31%,N25,RENGIT (P150),state
25,"24,156",404,421,0,"20,445 (84.6%)",Malay 64.73%; Chinese 29.75%; Indian 4.92%; B/P Sabah 0.05%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 0.01%; Others 0.48%,N26,MACHAP (P151),state
26,"19,842",364,336,0,"16,257 (81.9%)",Malay 53.37%; Chinese 32.08%; Indian 13.62%; B/P Sabah 0.22%; B/P Sarawak 0.15%; Orang Asli (Pen. Msia) 0.02%; Others 0.55%,N27,LAYANG-LAYANG (P151),state
27,"48,365","19,226",560,0,"40,657 (84.1%)",Malay 26.04%; Chinese 61.37%; Indian 12.18%; B/P Sabah 0.05%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.01%; Others 0.29%,N28,MENGKIBOL (P152),state
28,"48,550","1,668",550,0,"41,185 (84.8%)",Malay 57.15%; Chinese 33.66%; Indian 6.6%; B/P Sabah 0.55%; B/P Sarawak 1.33%; Orang Asli (Pen. Msia) 0.07%; Others 0.64%,N29,MAHKOTA (P152),state
29,"21,399",783,366,0,"17,633 (82.4%)",Malay 46.41%; Chinese 37.14%; Indian 14.97%; B/P Sabah 0.03%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 1%; Others 0.43%,N30,PALOH (P153),state
30,"22,738","2,861",375,0,"19,132 (84.1%)",Malay 73.64%; Chinese 21.63%; Indian 2.73%; B/P Sabah 0.05%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 1.61%; Others 0.29%,N31,KAHANG (P153),state
31,"19,538","3,080",343,0,"15,282 (78.2%)",Malay 81.62%; Chinese 13.19%; Indian 0.7%; B/P Sabah 0.11%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 4.02%; Others 0.32%,N32,ENDAU (P154),state
32,"28,638","5,765",550,0,"23,025 (80.4%)",Malay 81.33%; Chinese 15.03%; Indian 1.63%; B/P Sabah 0.67%; B/P Sarawak 0.98%; Orang Asli (Pen. Msia) 0.09%; Others 0.26%,N33,TENGGAROH (P154),state
33,"25,751","3,424",248,0,"21,779 (84.6%)",Malay 78.43%; Chinese 14.27%; Indian 5.65%; B/P Sabah 0.05%; B/P Sarawak 0.1%; Orang Asli (Pen. Msia) 0.92%; Others 0.59%,N34,PANTI (P155),state
34,"18,998","1,847",398,0,"16,012 (84.3%)",Malay 69.6%; Chinese 18.65%; Indian 7.84%; B/P Sabah 0.88%; B/P Sarawak 2.53%; Orang Asli (Pen. Msia) 0.07%; Others 0.43%,N35,PASIR RAJA (P155),state
35,"21,456","9,168",335,0,"18,162 (84.6%)",Malay 96.57%; Chinese 2.06%; Indian 0.84%; B/P Sabah 0.03%; B/P Sarawak 0.07%; Orang Asli (Pen. Msia) 0.14%; Others 0.27%,N36,SEDILI (P156),state
36,"25,221","5,807",336,0,"21,256 (84.3%)",Malay 81.37%; Chinese 15.4%; Indian 2.71%; B/P Sabah 0.08%; B/P Sarawak 0.11%; Orang Asli (Pen. Msia) 0.02%; Others 0.31%,N37,JOHOR LAMA (P156),state
37,"21,490","7,134",255,0,"18,121 (84.3%)",Malay 98.36%; Chinese 0.28%; Indian 0.74%; B/P Sabah 0.06%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.36%; Others 0.15%,N38,PENAWAR (P157),state
38,"18,989","4,522",303,0,"15,459 (81.4%)",Malay 79.71%; Chinese 18.59%; Indian 0.8%; B/P Sabah 0.3%; B/P Sarawak 0.34%; Orang Asli (Pen. Msia) 0.05%; Others 0.22%,N39,TANJUNG SURAT (P157),state
39,"60,686","8,098",735,0,"51,234 (84.4%)",Malay 56.02%; Chinese 28.48%; Indian 12.74%; B/P Sabah 0.35%; B/P Sarawak 0.99%; Orang Asli (Pen. Msia) 0.16%; Others 1.26%,N40,TIRAM (P158),state
40,"62,347","24,959",546,0,"54,188 (86.9%)",Malay 38.6%; Chinese 49.95%; Indian 10.38%; B/P Sabah 0.2%; B/P Sarawak 0.36%; Others 0.51%,N41,PUTERI WANGSA (P158),state
41,"61,079","15,565",0,0,"40,622 (66.5%)",Malay 42.29%; Chinese 47.28%; Indian 7.33%; B/P Sabah 1.25%; B/P Sarawak 0.95%; Orang Asli (Pen. Msia) 0.02%; Others 0.87%,N42,JOHOR JAYA (P159),state
42,"63,093","8,746",699,0,"53,929 (85.5%)",Malay 55.28%; Chinese 27.11%; Indian 13.46%; B/P Sabah 1.43%; B/P Sarawak 1.85%; Orang Asli (Pen. Msia) 0.13%; Others 0.75%,N43,PERMAS (P159),state
43,"55,858","8,590",495,0,"45,341 (81.2%)",Malay 63.43%; Chinese 29.91%; Indian 5.66%; B/P Sabah 0.14%; B/P Sarawak 0.18%; Orang Asli (Pen. Msia) 0.01%; Others 0.67%,N44,LARKIN (P160),state
44,"45,551","12,470",0,0,0 (0%),Malay 39.4%; Chinese 54.8%; Indian 4.53%; B/P Sabah 0.22%; B/P Sarawak 0.32%; Orang Asli (Pen. Msia) 0.03%; Others 0.7%,N45,STULANG (P160),state
45,"62,895","19,533",524,0,"52,222 (83%)",Malay 43.87%; Chinese 43.44%; Indian 11%; B/P Sabah 0.33%; B/P Sarawak 0.37%; Orang Asli (Pen. Msia) 0.28%; Others 0.71%,N46,PERLING (P161),state
