,name,number_of_voters,panel_code,panel_name,tab
0,Zahari Sarip (BN - UMNO),"42.8% (9,186)",N1,BULOH KASAP (P140),state
1,Norsamsu Mohd Yusof (PH - PPBM),"38.7% (8,309)",N1,BULOH KASAP (P140),state
2,Tan Chen Choon (PH - DAP),"48.2% (16,336)",N2,JEMENTAH (P140),state
3,Chiam Yok Meng (BN - MCA),"27.6% (9,335)",N2,JEMENTAH (P140),state
4,Khairul Faizi Ahmad Kamil (PAS),"5.9% (1,986)",N2,JEMENTAH (P140),state
5,Chong Fat Full (PH - PKR),"37.2% (8,304)",N3,PEMANIS (P141),state
6,Koo Shiaw Lee (BN - GERAKAN),"35.6% (7,941)",N3,PEMANIS (P141),state
7,Normala Sudirman (PAS),"9.6% (2,151)",N3,PEMANIS (P141),state
8,Sulaiman Mohd Nor (PH - AMANAH),"46.5% (10,836)",N4,KEMELAH (P141),state
9,Anuar Abd. Manap (BN - UMNO),"36.4% (8,481)",N4,KEMELAH (P141),state
10,Mohd Solihan Badri (PH - PPBM),"41.6% (7,645)",N5,TENANG (P142),state
11,Mohd Azahar Ibrahim (BN - UMNO),"35.7% (6,575)",N5,TENANG (P142),state
12,Nasharudin Awang (PAS),4.3% (794),N5,TENANG (P142),state
13,Ramakrishnan Suppiah (PH - DAP),"44.2% (9,705)",N6,BEKOK (P142),state
14,Tan Chong (BN - MCA),"33.0% (7,248)",N6,BEKOK (P142),state
15,Sahruddin Jamal (PH - PPBM),"40.2% (11,665)",N7,BUKIT KEPONG (P143),state
16,Mohd Noor Taib (BN - UMNO),"35.8% (10,392)",N7,BUKIT KEPONG (P143),state
17,Muhamad Nur Iqbal Abd Razak (PAS),"6.1% (1,761)",N7,BUKIT KEPONG (P143),state
18,Najib Lep (PAS),"43.7% (9,835)",N8,BUKIT PASIR (P143),state
19,Noriah Mahat (BN - UMNO),"35.3% (7,952)",N8,BUKIT PASIR (P143),state
20,Muhyiddin Yassin (PH - PPBM),"45.2% (10,280)",N9,GAMBIR (P144),state
21,M Asojan Muniyandy (BN - MIC),"31.6% (7,192)",N9,GAMBIR (P144),state
22,Mahfodz Mohamed (PAS),"7.9% (1,806)",N9,GAMBIR (P144),state
23,Ee Chin Li (PH - DAP),"51.3% (13,512)",N10,TANGKAK (P144),state
24,Goh Tee Tee (BN - MCA),"32.0% (8,435)",N10,TANGKAK (P144),state
25,Faizul Amri Adnan (PH - AMANAH),"41.5% (11,774)",N11,SEROM (P144),state
26,Abdull Rahim Talib (BN - UMNO),"33.3% (9,450)",N11,SEROM (P144),state
27,Mustaffa Salleh (PAS),"9.5% (2,708)",N11,SEROM (P144),state
