,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
0,"42,697","8,893",604,0,"35,250 (82.6%)",Malay 90.37%; Chinese 6.51%; Indian 2.4%; B/P Sabah 0.19%; B/P Sarawak 0.17%; Others 0.36%,P4,LANGKAWI,parliament,Kedah
1,"54,132","5,866",723,0,"44,822 (82.8%)",Malay 91.23%; Chinese 6.89%; Indian 0.1%; B/P Sabah 0.03%; B/P Sarawak 0.02%; Others 1.73%,P5,JERLUN,parliament,Kedah
2,"73,881","13,009",770,0,"61,452 (83.2%)",Malay 86.49%; Chinese 8.53%; Indian 3.46%; B/P Sabah 0.18%; B/P Sarawak 0.18%; Orang Asli (Pen. Msia) 0.01%; Others 1.16%,P6,KUBANG PASU,parliament,Kedah
3,"46,644","1,099",854,0,"39,932 (85.6%)",Malay 92.14%; Chinese 1.27%; Indian 0.17%; B/P Sabah 0.03%; B/P Sarawak 0.03%; Others 6.35%,P7,PADANG TERAP,parliament,Kedah
4,"86,892","5,558",869,0,"71,910 (82.8%)",Malay 81.45%; Chinese 15.45%; Indian 2.45%; B/P Sabah 0.06%; B/P Sarawak 0.12%; Others 0.46%,P8,POKOK SENA,parliament,Kedah
5,"80,272","15,200",881,0,"65,096 (81.1%)",Malay 63.58%; Chinese 31.72%; Indian 4.21%; B/P Sabah 0.05%; B/P Sarawak 0.1%; Others 0.35%,P9,ALOR SETAR,parliament,Kedah
6,"97,753","13,481","1,111",0,"80,555 (82.4%)",Malay 78.27%; Chinese 20.25%; Indian 1.12%; B/P Sabah 0.03%; B/P Sarawak 0.03%; Others 0.3%,P10,KUALA KEDAH,parliament,Kedah
7,"74,867","5,808",952,0,"63,371 (84.6%)",Malay 88.76%; Chinese 5.07%; Indian 0.54%; B/P Sabah 0.03%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 0.01%; Others 5.57%,P11,PENDANG,parliament,Kedah
8,"79,976",539,"1,012",0,"66,920 (83.7%)",Malay 80.19%; Chinese 13.57%; Indian 5.91%; B/P Sabah 0.02%; B/P Sarawak 0.04%; Others 0.26%,P12,JERAI,parliament,Kedah
9,"50,385","5,218",729,0,"42,772 (84.9%)",Malay 92.98%; Chinese 1.46%; Indian 0.17%; B/P Sabah 0.05%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 0.01%; Others 5.31%,P13,SIK,parliament,Kedah
10,"87,782","10,072","1,108",0,"72,708 (82.8%)",Malay 68.58%; Chinese 15.06%; Indian 15.34%; B/P Sabah 0.16%; B/P Sarawak 0.39%; Orang Asli (Pen. Msia) 0.01%; Others 0.46%,P14,MERBOK,parliament,Kedah
11,"112,577","21,569",889,0,"93,847 (83.4%)",Malay 60.71%; Chinese 26.83%; Indian 11.95%; B/P Sabah 0.04%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.01%; Others 0.42%,P15,SUNGAI PETANI,parliament,Kedah
12,"107,213","1,074","1,388",0,"92,128 (85.9%)",Malay 88.87%; Chinese 4.38%; Indian 5.14%; B/P Sabah 0.05%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.11%; Others 1.41%,P16,BALING,parliament,Kedah
13,"84,834","8,813",827,0,"71,157 (83.9%)",Malay 59.05%; Chinese 19.79%; Indian 20.74%; B/P Sabah 0.04%; B/P Sarawak 0.04%; Others 0.33%,P17,PADANG SERAI,parliament,Kedah
14,"66,587","4,860",894,0,"55,390 (83.2%)",Malay 69.18%; Chinese 17.65%; Indian 12.87%; B/P Sabah 0.06%; B/P Sarawak 0.07%; Others 0.16%,P18,KULIM-BANDAR BAHARU,parliament,Kedah
