,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Mahathir Mohamad (PH - PPBM),"44.4% (18,954)",P4,LANGKAWI,parliament,Kedah
1,Nawawi Ahmad (BN - UMNO),"23.6% (10,061)",P4,LANGKAWI,parliament,Kedah
2,Zubir Ahmad (PAS),"12.9% (5,512)",P4,LANGKAWI,parliament,Kedah
3,Mukhriz Mahathir (PH - PPBM),"34.5% (18,695)",P5,JERLUN,parliament,Kedah
4,Abd Ghani Ahmad (PAS),"23.7% (12,829)",P5,JERLUN,parliament,Kedah
5,Othman Aziz (BN - UMNO),"22.9% (12,413)",P5,JERLUN,parliament,Kedah
6,Amiruddin Hamzah (PH - PPBM),"40.6% (29,984)",P6,KUBANG PASU,parliament,Kedah
7,Mohd Johari Baharum (BN - UMNO),"23.0% (16,975)",P6,KUBANG PASU,parliament,Kedah
8,Norhafiza Fadzil (PAS),"18.1% (13,375)",P6,KUBANG PASU,parliament,Kedah
9,Mahdzir Khalid (BN - UMNO),"35.1% (16,384)",P7,PADANG TERAP,parliament,Kedah
10,Mohamad Azam Abd Majid @ Abd Aziz (PAS),"32.8% (15,285)",P7,PADANG TERAP,parliament,Kedah
11,Mohd Khairizal Khazali (PH - AMANAH),"15.6% (7,254)",P7,PADANG TERAP,parliament,Kedah
12,Mahfuz Omar (PH - AMANAH),"33.3% (28,959)",P8,POKOK SENA,parliament,Kedah
13,Muhamad Radhi Mat Din (PAS),"26.9% (23,401)",P8,POKOK SENA,parliament,Kedah
14,Said Ali Said Rastan (BN - UMNO),"21.2% (18,390)",P8,POKOK SENA,parliament,Kedah
15,Chan Ming Kai (PH - PKR),"40.5% (32,475)",P9,ALOR SETAR,parliament,Kedah
16,Muhammad Aminur Shafiq Mohamad Abduh (PAS),"21.5% (17,275)",P9,ALOR SETAR,parliament,Kedah
17,Yoo Wei How (BN - MCA),"17.7% (14,181)",P9,ALOR SETAR,parliament,Kedah
18,Azman Ismail (PH - PKR),"37.5% (36,624)",P10,KUALA KEDAH,parliament,Kedah
19,Muhammad Riduan Othman (PAS),"23.7% (23,143)",P10,KUALA KEDAH,parliament,Kedah
20,Abdullah Hasnan Kamaruddin (BN - UMNO),"19.8% (19,400)",P10,KUALA KEDAH,parliament,Kedah
21,Awang Solahudin (PAS),"35.4% (26,536)",P11,PENDANG,parliament,Kedah
22,Othman Abdul (BN - UMNO),"27.7% (20,728)",P11,PENDANG,parliament,Kedah
23,Wan Saifulruddin Wan Jan (PH - PPBM),"19.9% (14,901)",P11,PENDANG,parliament,Kedah
24,Abdul Malik Manaf (IND),0.1% (81),P11,PENDANG,parliament,Kedah
25,Sabri Azit (PAS),"27.9% (22,312)",P12,JERAI,parliament,Kedah
26,Jamil Khir Baharom (BN - UMNO),"27.2% (21,773)",P12,JERAI,parliament,Kedah
27,Akhramsyah Muammar Ubaidah Sanusi (PH - PPBM),"27.1% (21,651)",P12,JERAI,parliament,Kedah
28,Ahmad Tarmizi Sulaiman (PAS),"39.9% (20,088)",P13,SIK,parliament,Kedah
29,Mansor Abd Rahman (BN - UMNO),"29.5% (14,870)",P13,SIK,parliament,Kedah
30,Azli Uda (PH - AMANAH),"13.8% (6,970)",P13,SIK,parliament,Kedah
31,Nor Azrina Surip (PH - PKR),"35.2% (30,902)",P14,MERBOK,parliament,Kedah
32,Tajul Urus Mat Zain (BN - UMNO),"23.7% (20,830)",P14,MERBOK,parliament,Kedah
33,Ahmad Fauzi Ramli (PAS),"22.3% (19,618)",P14,MERBOK,parliament,Kedah
34,Johari Abdul (PH - PKR),"40.4% (45,532)",P15,SUNGAI PETANI,parliament,Kedah
35,Shahanim Mohamad Yusoff (BN - UMNO),"21.3% (23,963)",P15,SUNGAI PETANI,parliament,Kedah
36,Sharir Long (PAS),"20.2% (22,760)",P15,SUNGAI PETANI,parliament,Kedah
37,Sritharan Pichathu (PRM),0.2% (279),P15,SUNGAI PETANI,parliament,Kedah
38,Abdul Azeez Abdul Rahim (BN - UMNO),"36.0% (38,557)",P16,BALING,parliament,Kedah
39,Hassan Saad (PAS),"35.0% (37,483)",P16,BALING,parliament,Kedah
40,Mohd Taufik Yaacob (PH - PPBM),"13.5% (14,472)",P16,BALING,parliament,Kedah
41,Karupaiya Mutusami (PH - PKR),"37.4% (31,724)",P17,PADANG SERAI,parliament,Kedah
42,Muhamad Sobri Osman (PAS),"27.0% (22,911)",P17,PADANG SERAI,parliament,Kedah
43,Leong Yong Kong (BN - MCA),"18.2% (15,449)",P17,PADANG SERAI,parliament,Kedah
44,Saifuddin Nasution Ismail (PH - PKR),"34.8% (23,159)",P18,KULIM-BANDAR BAHARU,parliament,Kedah
45,Abdul Aziz Sheikh Fadzir (BN - UMNO),"27.5% (18,299)",P18,KULIM-BANDAR BAHARU,parliament,Kedah
46,Abdul Raman Abdul Razak (PAS),"19.4% (12,885)",P18,KULIM-BANDAR BAHARU,parliament,Kedah
