,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
0,"110,924","17,500","1,402",0,"88,733 (80%)",Malay 92.92%; Chinese 3.13%; Indian 0.15%; B/P Sabah 0.02%; B/P Sarawak 0.05%; Others 3.73%,P19,TUMPAT,parliament,Kelantan
1,"75,384","13,232",739,0,"60,862 (80.7%)",Malay 97.93%; Chinese 1.49%; Indian 0.11%; B/P Sabah 0.08%; B/P Sarawak 0.11%; Orang Asli (Pen. Msia) 0.01%; Others 0.27%,P20,PENGKALAN CHEPA,parliament,Kelantan
2,"88,708","5,869",689,0,"68,306 (77%)",Malay 84.46%; Chinese 14.21%; Indian 0.78%; B/P Sabah 0.04%; B/P Sarawak 0.05%; Others 0.47%,P21,KOTA BHARU,parliament,Kelantan
3,"71,222","13,075","1,232",0,"55,319 (77.7%)",Malay 97.59%; Chinese 1.99%; Indian 0.06%; B/P Sabah 0.03%; B/P Sarawak 0.04%; Others 0.3%,P22,PASIR MAS,parliament,Kelantan
4,"66,115","6,150",825,0,"49,639 (75.1%)",Malay 97%; Chinese 2.06%; Indian 0.07%; B/P Sabah 0.02%; B/P Sarawak 0.04%; Others 0.81%,P23,RANTAU PANJANG,parliament,Kelantan
5,"82,018","19,369",735,0,"64,867 (79.1%)",Malay 97.98%; Chinese 1.68%; Indian 0.14%; B/P Sabah 0.03%; B/P Sarawak 0.04%; Others 0.12%,P24,KUBANG KERIAN,parliament,Kelantan
6,"92,606","3,292","1,148",0,"75,945 (82%)",Malay 98.46%; Chinese 1.08%; Indian 0.04%; B/P Sabah 0.02%; B/P Sarawak 0.03%; Others 0.37%,P25,BACHOK,parliament,Kelantan
7,"65,238","4,626",781,0,"54,404 (83.4%)",Malay 96.66%; Chinese 1.88%; Indian 0.08%; B/P Sabah 0.26%; B/P Sarawak 0.59%; Orang Asli (Pen. Msia) 0.06%; Others 0.47%,P26,KETEREH,parliament,Kelantan
8,"73,172","2,929",986,0,"59,598 (81.4%)",Malay 94.71%; Chinese 3.92%; Indian 0.59%; B/P Sabah 0.04%; B/P Sarawak 0.06%; Others 0.68%,P27,TANAH MERAH,parliament,Kelantan
9,"85,411","1,360",923,0,"69,745 (81.7%)",Malay 98.17%; Chinese 0.96%; Indian 0.05%; B/P Sabah 0.03%; B/P Sarawak 0.04%; Others 0.76%,P28,PASIR PUTEH,parliament,Kelantan
10,"68,387","2,824",801,0,"56,320 (82.4%)",Malay 96.45%; Chinese 3.13%; Indian 0.18%; B/P Sabah 0.04%; B/P Sarawak 0.05%; Others 0.14%,P29,MACHANG,parliament,Kelantan
11,"47,470","6,647",400,0,"39,627 (83.5%)",Malay 98.23%; Chinese 0.19%; Indian 0.11%; B/P Sabah 0.29%; B/P Sarawak 0.35%; Orang Asli (Pen. Msia) 0.56%; Others 0.27%,P30,JELI,parliament,Kelantan
12,"70,348","7,992",861,0,"56,278 (80%)",Malay 94.55%; Chinese 3.96%; Indian 1.17%; B/P Sabah 0.04%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.01%; Others 0.22%,P31,KUALA KRAI,parliament,Kelantan
13,"52,524","3,913",948,0,"41,206 (78.5%)",Malay 82.43%; Chinese 5.58%; Indian 0.51%; B/P Sabah 0.06%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 11.1%; Others 0.27%,P32,GUA MUSANG,parliament,Kelantan
