,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Che Abdullah Mat Nawi (PAS),"42.4% (47,041)",P19,TUMPAT,parliament,Kelantan
1,Wan Johani Wan Hussin (BN - UMNO),"26.6% (29,541)",P19,TUMPAT,parliament,Kelantan
2,Nordin Salleh (PH - PPBM),"9.0% (10,003)",P19,TUMPAT,parliament,Kelantan
3,Ahmad Marzuk Shaary (PAS),"43.2% (32,592)",P20,PENGKALAN CHEPA,parliament,Kelantan
4,Zaluzi Sulaiman (BN - UMNO),"25.7% (19,360)",P20,PENGKALAN CHEPA,parliament,Kelantan
5,Mohamad Ibrahim (PH - AMANAH),"9.9% (7,435)",P20,PENGKALAN CHEPA,parliament,Kelantan
6,Takiyuddin Hassan (PAS),"31.9% (28,291)",P21,KOTA BHARU,parliament,Kelantan
7,Husam Musa (PH - AMANAH),"25.3% (22,422)",P21,KOTA BHARU,parliament,Kelantan
8,Fikhran Hamshi Mohd Fatmi (BN - UMNO),"18.3% (16,256)",P21,KOTA BHARU,parliament,Kelantan
9,Ahmad Fadhli Shaari (PAS),"39.4% (28,080)",P22,PASIR MAS,parliament,Kelantan
10,Nor Azmawi Ab Rahman (BN - UMNO),"21.1% (15,005)",P22,PASIR MAS,parliament,Kelantan
11,Ibrahim Ali (IND),"7.5% (5,373)",P22,PASIR MAS,parliament,Kelantan
12,Che Ujang Che Daud (PH - PPBM),"7.2% (5,093)",P22,PASIR MAS,parliament,Kelantan
13,Siti Zailah Mohd Yusoff (PAS),"37.2% (24,581)",P23,RANTAU PANJANG,parliament,Kelantan
14,Abdullah Mat Yasim (BN - UMNO),"27.9% (18,431)",P23,RANTAU PANJANG,parliament,Kelantan
15,Wan Shah Jihan Wan Din (PH - AMANAH),"8.1% (5,361)",P23,RANTAU PANJANG,parliament,Kelantan
16,Tuan Ibrahim Tuan Man (PAS),"43.4% (35,620)",P24,KUBANG KERIAN,parliament,Kelantan
17,Muhamad Abdul Ghani (BN - UMNO),"19.8% (16,251)",P24,KUBANG KERIAN,parliament,Kelantan
18,Abdul Halim Yusof (PH - AMANAH),"14.1% (11,557)",P24,KUBANG KERIAN,parliament,Kelantan
19,Nik Mohamad Abduh Nik Abd Aziz (PAS),"39.1% (36,188)",P25,BACHOK,parliament,Kelantan
20,Awang Adek Hussin (BN - UMNO),"35.5% (32,896)",P25,BACHOK,parliament,Kelantan
21,Zulkifli Zakaria (PH - PPBM),"5.3% (4,880)",P25,BACHOK,parliament,Kelantan
22,Annuar Musa (BN - UMNO),"39.0% (25,467)",P26,KETEREH,parliament,Kelantan
23,Wan Ismail Wan Jusoh (PAS),"31.9% (20,841)",P26,KETEREH,parliament,Kelantan
24,Mohd Radzijidin (PH - PPBM),"10.4% (6,799)",P26,KETEREH,parliament,Kelantan
25,Ikmal Hisham Abdul Aziz (BN - UMNO),"38.5% (28,152)",P27,TANAH MERAH,parliament,Kelantan
26,Johari Mat (PAS),"34.5% (25,223)",P27,TANAH MERAH,parliament,Kelantan
27,Mohamad Fauzi Zakaria (PH - PKR),"6.5% (4,747)",P27,TANAH MERAH,parliament,Kelantan
28,Nik Muhammad Zawawi Salleh (PAS),"37.8% (32,307)",P28,PASIR PUTEH,parliament,Kelantan
29,Asyraf Wajdi Dusuki (BN - UMNO),"36.2% (30,947)",P28,PASIR PUTEH,parliament,Kelantan
30,Kamaruddin Md Noor (PH - PPBM),"5.7% (4,896)",P28,PASIR PUTEH,parliament,Kelantan
31,Ahmad Jazlan Yaakub (BN - UMNO),"38.1% (26,076)",P29,MACHANG,parliament,Kelantan
32,Zulkifli Mamat (PAS),"34.0% (23,252)",P29,MACHANG,parliament,Kelantan
33,Sazmi Miah (PH - PPBM),"8.3% (5,695)",P29,MACHANG,parliament,Kelantan
34,Mustapa Mohamed (BN - UMNO),"45.6% (21,665)",P30,JELI,parliament,Kelantan
35,Mohamad Hamid (PAS),"31.6% (15,018)",P30,JELI,parliament,Kelantan
36,Azran Deraman (PH - PPBM),"4.4% (2,078)",P30,JELI,parliament,Kelantan
37,Abdul Latiff Abdul Rahman (PAS),"41.1% (28,903)",P31,KUALA KRAI,parliament,Kelantan
38,Ramzi Ab Rahman (BN - UMNO),"29.7% (20,911)",P31,KUALA KRAI,parliament,Kelantan
39,Mohd Yazid Abdullah (PH - AMANAH),"7.4% (5,173)",P31,KUALA KRAI,parliament,Kelantan
40,Tengku Razaleigh Tengku Mohd Hamzah (BN - UMNO),"37.0% (19,426)",P32,GUA MUSANG,parliament,Kelantan
41,Abdullah Hussein (PAS),"29.5% (15,513)",P32,GUA MUSANG,parliament,Kelantan
42,Mohd Nor Hussin (PH - PPBM),"9.5% (4,997)",P32,GUA MUSANG,parliament,Kelantan
