,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
0,"11,045","1,372",126,0,"9,337 (84.5%)",Malay 73.83%; Chinese 22.53%; Indian 1.62%; B/P Sabah 0.09%; B/P Sarawak 0.1%; Orang Asli (Pen. Msia) 0.01%; Others 1.83%,N1,KUALA LINGGI (P134),state,Melaka
1,"10,092","2,864",116,0,"8,521 (84.4%)",Malay 93.86%; Chinese 4.05%; Indian 1.74%; B/P Sabah 0.08%; B/P Sarawak 0.08%; Others 0.19%,N2,TANJUNG BIDARA (P134),state,Melaka
2,"11,211","1,479",168,0,"9,308 (83%)",Malay 91.29%; Chinese 3.9%; Indian 4.46%; B/P Sabah 0.04%; B/P Sarawak 0.07%; Others 0.25%,N3,AYER LIMAU (P134),state,Melaka
3,"10,350",627,83,0,"8,701 (84.1%)",Malay 77.18%; Chinese 16.96%; Indian 5.06%; B/P Sabah 0.17%; B/P Sarawak 0.3%; Others 0.33%,N4,LENDU (P134),state,Melaka
4,"8,743",740,161,0,"7,226 (82.6%)",Malay 79.3%; Chinese 12.15%; Indian 6.07%; B/P Sabah 0.08%; B/P Sarawak 0.02%; Orang Asli (Pen. Msia) 2.18%; Others 0.19%,N5,TABOH NANING (P134),state,Melaka
5,"15,636","1,814",204,0,"13,175 (84.3%)",Malay 65.96%; Chinese 19.4%; Indian 14.25%; B/P Sabah 0.1%; B/P Sarawak 0.12%; Others 0.17%,N6,REMBIA (P135),state,Melaka
6,"12,922",307,200,0,"10,578 (81.9%)",Malay 59.7%; Chinese 23.55%; Indian 16.31%; B/P Sabah 0.05%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 0.14%; Others 0.19%,N7,GADEK (P135),state,Melaka
7,"12,719","1,336",145,0,"10,718 (84.3%)",Malay 43.75%; Chinese 40.21%; Indian 14.21%; B/P Sabah 0.13%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 1.41%; Others 0.24%,N8,MACHAP JAYA (P135),state,Melaka
8,"13,076",763,202,0,"11,289 (86.3%)",Malay 68.88%; Chinese 22.12%; Indian 8.53%; B/P Sabah 0.14%; B/P Sarawak 0.1%; Orang Asli (Pen. Msia) 0.04%; Others 0.19%,N9,DURIAN TUNGGAL (P135),state,Melaka
9,"16,011",275,218,0,"13,239 (82.7%)",Malay 63.77%; Chinese 23.18%; Indian 11.22%; B/P Sabah 0.09%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 1.39%; Others 0.29%,N10,ASAHAN (P135),state,Melaka
10,"22,323","2,229",0,0,"17,917 (80.3%)",Malay 79.71%; Chinese 8.11%; Indian 2.64%; B/P Sabah 3.06%; B/P Sarawak 5.64%; Orang Asli (Pen. Msia) 0.26%; Others 0.58%,N11,SUNGAI UDANG (P136),state,Melaka
11,"15,686",772,256,0,"12,998 (82.9%)",Malay 80.05%; Chinese 17.57%; Indian 0.78%; B/P Sabah 0.59%; B/P Sarawak 0.17%; Orang Asli (Pen. Msia) 0.02%; Others 0.82%,N12,PANTAI KUNDOR (P136),state,Melaka
12,"25,038","4,259",272,0,"21,782 (87%)",Malay 61.25%; Chinese 30.48%; Indian 7.13%; B/P Sabah 0.21%; B/P Sarawak 0.18%; Orang Asli (Pen. Msia) 0.02%; Others 0.72%,N13,PAYA RUMPUT (P136),state,Melaka
13,"20,166",789,233,0,"17,059 (84.6%)",Malay 66.35%; Chinese 30.64%; Indian 2.19%; B/P Sabah 0.16%; B/P Sarawak 0.17%; Others 0.49%,N14,KELEBANG (P136),state,Melaka
14,"21,182","2,756",274,0,"18,272 (86.3%)",Malay 65.4%; Chinese 28.43%; Indian 5.31%; B/P Sabah 0.17%; B/P Sarawak 0.12%; Others 0.57%,N15,PENGKALAN BATU (P137),state,Melaka
15,"25,407","9,261",178,0,"22,112 (87%)",Malay 40.27%; Chinese 50.47%; Indian 8.3%; B/P Sabah 0.2%; B/P Sarawak 0.12%; Orang Asli (Pen. Msia) 0.01%; Others 0.62%,N16,AYER KEROH (P137),state,Melaka
16,"25,072","3,159",0,0,0 (0%),Malay 64.23%; Chinese 30.46%; Indian 4.36%; B/P Sabah 0.22%; B/P Sarawak 0.18%; Others 0.54%,N17,BUKIT KATIL (P137),state,Melaka
17,"17,703","1,805",197,0,"15,513 (87.6%)",Malay 87.94%; Chinese 7.42%; Indian 4.24%; B/P Sabah 0.06%; B/P Sarawak 0.06%; Others 0.28%,N18,AYER MOLEK (P137),state,Melaka
18,"37,355","14,612",380,0,"31,970 (85.6%)",Malay 36.97%; Chinese 57.4%; Indian 4.71%; B/P Sabah 0.16%; B/P Sarawak 0.13%; Orang Asli (Pen. Msia) 0.01%; Others 0.63%,N19,KESIDANG (P138),state,Melaka
19,"29,952","16,173",201,0,"24,952 (83.3%)",Malay 16.91%; Chinese 79.37%; Indian 3.18%; B/P Sabah 0.08%; B/P Sarawak 0.05%; Others 0.41%,N20,KOTA LAKSAMANA (P138),state,Melaka
20,"18,110","2,895",155,0,"15,601 (86.1%)",Malay 60.11%; Chinese 34.54%; Indian 4.81%; B/P Sabah 0.08%; B/P Sarawak 0.07%; Others 0.38%,N21,DUYONG (P138),state,Melaka
21,"20,990","11,313",122,0,"17,602 (83.9%)",Malay 12.82%; Chinese 76.65%; Indian 5.26%; B/P Sabah 0.13%; B/P Sarawak 0.17%; Orang Asli (Pen. Msia) 0.01%; Others 4.96%,N22,BANDAR HILIR (P138),state,Melaka
22,"20,441","1,288",166,0,"17,500 (85.6%)",Malay 73.39%; Chinese 23.91%; Indian 1.97%; B/P Sabah 0.06%; B/P Sarawak 0.08%; Others 0.58%,N23,TELOK MAS (P138),state,Melaka
23,"18,393","1,345",227,0,"15,699 (85.4%)",Malay 61.22%; Chinese 21.98%; Indian 16.26%; B/P Sabah 0.06%; B/P Sarawak 0.11%; Orang Asli (Pen. Msia) 0.08%; Others 0.29%,N24,BEMBAN (P139),state,Melaka
24,"13,689",536,164,0,"11,525 (84.2%)",Malay 66.08%; Chinese 19.94%; Indian 13.1%; B/P Sabah 0.05%; B/P Sarawak 0.01%; Orang Asli (Pen. Msia) 0.5%; Others 0.31%,N25,RIM (P139),state,Melaka
25,"15,748","2,737",191,0,"13,722 (87.1%)",Malay 90.21%; Chinese 6.18%; Indian 3.04%; B/P Sabah 0.06%; B/P Sarawak 0.09%; Orang Asli (Pen. Msia) 0.01%; Others 0.41%,N26,SERKAM (P139),state,Melaka
26,"13,810",130,149,0,"11,849 (85.8%)",Malay 69.41%; Chinese 18.14%; Indian 12.01%; B/P Sabah 0.08%; B/P Sarawak 0.11%; Orang Asli (Pen. Msia) 0.01%; Others 0.25%,N27,MERLIMAU (P139),state,Melaka
27,"11,792","1,669",168,0,"10,114 (85.8%)",Malay 83.75%; Chinese 13.79%; Indian 2.18%; B/P Sabah 0.07%; B/P Sarawak 0.03%; Others 0.18%,N28,SUNGAI RAMBAI (P139),state,Melaka
