,name,number_of_voters,panel_code,panel_name,tab
0,Ismail Othman (BN - UMNO),"43.6% (4,812)",N1,KUALA LINGGI (P134),state
1,Hasmorni Tamby (PH - PKR),"31.1% (3,440)",N1,KUALA LINGGI (P134),state
2,Azmi Sambul (PAS),8.5% (941),N1,KUALA LINGGI (P134),state
3,Md Rawi Mahmud (BN - UMNO),"48.2% (4,865)",N2,TANJUNG BIDARA (P134),state
4,Halim Bachik (PH - PKR),"19.8% (2,001)",N2,TANJUNG BIDARA (P134),state
5,Imran Abdul Rahman (PAS),"14.9% (1,501)",N2,TANJUNG BIDARA (P134),state
6,Amirudin Yusof (BN - UMNO),"42.0% (4,704)",N3,AYER LIMAU (P134),state
7,Ruslin Hasan (PH - PPBM),"28.8% (3,225)",N3,AYER LIMAU (P134),state
8,Jamarudin Ahmad (PAS),"10.6% (1,187)",N3,AYER LIMAU (P134),state
9,Sulaiman Md Ali (BN - UMNO),"38.8% (4,016)",N4,LENDU (P134),state
10,Ridhuan Affandi Abu Bakar (PH - PPBM),"32.7% (3,389)",N4,LENDU (P134),state
11,Arshad Mohamad Som (PAS),"11.2% (1,163)",N4,LENDU (P134),state
12,Latipah Omar (BN - UMNO),"38.1% (3,329)",N5,TABOH NANING (P134),state
13,Zairi Suboh (PH - AMANAH),"29.6% (2,589)",N5,TABOH NANING (P134),state
14,Asri Shaik Abdul Aziz (PAS),"12.7% (1,111)",N5,TABOH NANING (P134),state
15,Muhammad Jailani Khamis (PH - PKR),"43.3% (6,773)",N6,REMBIA (P135),state
16,Norpipah Abdol (BN - UMNO),"31.7% (4,959)",N6,REMBIA (P135),state
17,Mohammad Rashidi Abd Razak (PAS),"7.7% (1,200)",N6,REMBIA (P135),state
18,Saminathan Ganesan (PH - DAP),"34.0% (4,392)",N7,GADEK (P135),state
19,Panirchelvam Pichamuthu (BN - MIC),"31.6% (4,085)",N7,GADEK (P135),state
20,Emransyah Ismail (PAS),"14.4% (1,865)",N7,GADEK (P135),state
21,Ginie Lim Siew Lin (PH - PKR),"43.6% (5,550)",N8,MACHAP JAYA (P135),state
22,Koh Nai Kwong (BN - MCA),"33.1% (4,214)",N8,MACHAP JAYA (P135),state
23,Wan Zahidi Wan Ismail (PAS),6.1% (775),N8,MACHAP JAYA (P135),state
24,Mohd Sofi Abdul Wahab (PH - AMANAH),"39.9% (5,213)",N9,DURIAN TUNGGAL (P135),state
25,Ab Wahab Ab Latip (BN - UMNO),"34.0% (4,450)",N9,DURIAN TUNGGAL (P135),state
26,Mohsin Ibrahim (PAS),"10.6% (1,391)",N9,DURIAN TUNGGAL (P135),state
27,Abdul Ghafar Atan (BN - UMNO),"37.1% (5,942)",N10,ASAHAN (P135),state
28,Zamzuri Arifin (PH - PPBM),"35.4% (5,667)",N10,ASAHAN (P135),state
29,Azlan Maddin (PAS),"8.5% (1,365)",N10,ASAHAN (P135),state
30,Idris Haron (BN - UMNO),"45.1% (10,073)",N11,SUNGAI UDANG (P136),state
31,Mohd Lokman Abdul Ghani (PH - PKR),"35.1% (7,844)",N11,SUNGAI UDANG (P136),state
32,Nor Azman Hassan (BN - UMNO),"36.8% (5,773)",N12,PANTAI KUNDOR (P136),state
33,Juhari Osman (PH - AMANAH),"31.9% (5,001)",N12,PANTAI KUNDOR (P136),state
34,Abdul Halim Maidin (PAS),"12.3% (1,936)",N12,PANTAI KUNDOR (P136),state
35,Mohd Rafiq Naizamohideen (PH - PPBM),"48.3% (12,102)",N13,PAYA RUMPUT (P136),state
36,Abu Bakar Mohamad Diah (BN - UMNO),"31.3% (7,843)",N13,PAYA RUMPUT (P136),state
37,Rafie Ahmad (PAS),"6.2% (1,552)",N13,PAYA RUMPUT (P136),state
38,Gue Teck (PH - PKR),"37.9% (7,648)",N14,KELEBANG (P136),state
39,Lim Ban Hong (BN - MCA),"34.0% (6,859)",N14,KELEBANG (P136),state
40,Mohd Syafiq Ismail (PAS),"11.3% (2,272)",N14,KELEBANG (P136),state
41,Norhizam Hassan Baktee (PH - DAP),"43.6% (9,227)",N15,PENGKALAN BATU (P137),state
42,Chua Lian Chye (BN - GERAKAN),"30.5% (6,471)",N15,PENGKALAN BATU (P137),state
43,Ramli Dalip (PAS),"10.5% (2,230)",N15,PENGKALAN BATU (P137),state
44,Kerk Chee Yee (PH - DAP),"56.2% (14,279)",N16,AYER KEROH (P137),state
45,Chua Kheng Hwa (BN - MCA),"19.8% (5,018)",N16,AYER KEROH (P137),state
46,Sepri Rahman (PAS),"10.1% (2,567)",N16,AYER KEROH (P137),state
47,Adly Zahari (PH - AMANAH),"44.8% (11,226)",N17,BUKIT KATIL (P137),state
48,Yunus Hitam (BN - UMNO),"32.2% (8,067)",N17,BUKIT KATIL (P137),state
49,Muhamat Puhat Bedol (PAS),"8.9% (2,237)",N17,BUKIT KATIL (P137),state
