,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Sivaraj Chandran (BN - MIC),"32.2% (10,307)",P78,CAMERON HIGHLANDS,parliament,Pahang
1,Manogaran Marimuthu (PH - DAP),"30.3% (9,710)",P78,CAMERON HIGHLANDS,parliament,Pahang
2,Wan Mahadir Wan Mahmud (PAS),"11.2% (3,587)",P78,CAMERON HIGHLANDS,parliament,Pahang
3,Suresh Kumar Balasubramaniam (PSM),2.1% (680),P78,CAMERON HIGHLANDS,parliament,Pahang
4,Mohd Tahir Kassim (BERJASA),0.3% (81),P78,CAMERON HIGHLANDS,parliament,Pahang
5,Abdul Rahman Mohamad (BN - UMNO),"39.7% (13,995)",P79,LIPIS,parliament,Pahang
6,Badarudin Abd Rahaman (PH - PPBM),"21.0% (7,426)",P79,LIPIS,parliament,Pahang
7,Sobirin Duli (PAS),"18.9% (6,671)",P79,LIPIS,parliament,Pahang
8,Tengku Zulpuri Shah Raja Puji (PH - DAP),"35.8% (20,659)",P80,RAUB,parliament,Pahang
9,Chew Mei Fun (BN - MCA),"30.3% (17,500)",P80,RAUB,parliament,Pahang
10,Mohamed Nilam Abdul Manap (PAS),"13.6% (7,866)",P80,RAUB,parliament,Pahang
11,Ahmad Nazlan Idris (BN - UMNO),"35.6% (22,640)",P81,JERANTUT,parliament,Pahang
12,Yohanis Ahmad (PAS),"26.3% (16,732)",P81,JERANTUT,parliament,Pahang
13,Wan Mohd Shaharir Wan Abd Jalil (PH - PPBM),"17.1% (10,877)",P81,JERANTUT,parliament,Pahang
14,Saifuddin Abdullah (PH - PKR),"37.0% (28,578)",P82,INDERA MAHKOTA,parliament,Pahang
15,Johan Mat Sah (BN - UMNO),"22.8% (17,628)",P82,INDERA MAHKOTA,parliament,Pahang
16,Nasrudin Hassan (PAS),"22.7% (17,515)",P82,INDERA MAHKOTA,parliament,Pahang
17,Fuziah Salleh (PH - PKR),"36.4% (22,807)",P83,KUANTAN,parliament,Pahang
18,Sulaiman Md Derus (PAS),"23.4% (14,696)",P83,KUANTAN,parliament,Pahang
19,Wong Kean Hwee (BN - MCA),"21.8% (13,667)",P83,KUANTAN,parliament,Pahang
20,Mohd Shahar Abdullah (BN - UMNO),"34.5% (19,033)",P84,PAYA BESAR,parliament,Pahang
21,Mohamad Azhar Mohd Noor (PAS),"24.1% (13,291)",P84,PAYA BESAR,parliament,Pahang
22,Mohd Ashraf Mustaqim Badrul Munir (PH - PPBM),"21.4% (11,776)",P84,PAYA BESAR,parliament,Pahang
23,Mohd Najib Abd Razak (BN - UMNO),"49.3% (43,854)",P85,PEKAN,parliament,Pahang
24,Ahiatudin Daud (PAS),"21.4% (18,995)",P85,PEKAN,parliament,Pahang
25,Muhammad Zahid Md Arip (PH - PPBM),"8.6% (7,662)",P85,PEKAN,parliament,Pahang
26,Abd Kadir Sainudin (IND),0.1% (103),P85,PEKAN,parliament,Pahang
27,Ismail Abd Muttalib (BN - UMNO),"39.1% (16,064)",P86,MARAN,parliament,Pahang
28,Hasenan Haron (PAS),"30.0% (12,301)",P86,MARAN,parliament,Pahang
29,Ahmad Farid Ahmad Nordin (PH - PPBM),"10.6% (4,360)",P86,MARAN,parliament,Pahang
30,Ismail Mohamed Said (BN - UMNO),"38.2% (18,058)",P87,KUALA KRAU,parliament,Pahang
31,Kamal Ashaari (PAS),"32.1% (15,182)",P87,KUALA KRAU,parliament,Pahang
32,Mohamad Rafidee Hassim (PH - PPBM),"10.7% (5,071)",P87,KUALA KRAU,parliament,Pahang
33,Mohd Anuar Mohd Tahir (PH - AMANAH),"32.0% (23,998)",P88,TEMERLOH,parliament,Pahang
34,Mohd Sharkar Shamsudin (BN - UMNO),"29.4% (22,094)",P88,TEMERLOH,parliament,Pahang
35,Md Jusoh Darus (PAS),"19.6% (14,734)",P88,TEMERLOH,parliament,Pahang
36,Mohd Khaidir Ahmad (IND),0.2% (178),P88,TEMERLOH,parliament,Pahang
37,Muhamad Fakhrudin Abu Hanipah (IND),0.1% (46),P88,TEMERLOH,parliament,Pahang
38,Wong Tack (PH - DAP),"38.2% (25,716)",P89,BENTONG,parliament,Pahang
39,Liow Tiong Lai (BN - MCA),"35.2% (23,684)",P89,BENTONG,parliament,Pahang
40,Balasubramaniam Nachiappan (PAS),"8.5% (5,706)",P89,BENTONG,parliament,Pahang
41,Ismail Sabri Yaakob (BN - UMNO),"35.4% (20,760)",P90,BERA,parliament,Pahang
42,Zakaria Abdul Hamid (PH - PKR),"31.4% (18,449)",P90,BERA,parliament,Pahang
43,Musaniff Ab Rahman (PAS),"13.8% (8,096)",P90,BERA,parliament,Pahang
44,Hasan Arifin (BN - UMNO),"43.0% (26,628)",P91,ROMPIN,parliament,Pahang
45,M Shahrul Nizam Abdul Haliff (PAS),"24.6% (15,233)",P91,ROMPIN,parliament,Pahang
46,Sitarunisah Ab Kadir (PH - PKR),"12.7% (7,876)",P91,ROMPIN,parliament,Pahang
