,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
0,"19,505","3,589",305,0,"15,017 (77%)",Malay 13.79%; Chinese 48.12%; Indian 23.69%; B/P Sabah 0.19%; B/P Sarawak 0.08%; Orang Asli (Pen. Msia) 13.67%; Others 0.45%,N1,TANAH RATA (P78),state,Pahang
1,"12,543","3,507",471,0,"10,310 (82.2%)",Malay 64.14%; Chinese 0.5%; Indian 1.26%; B/P Sabah 0.01%; B/P Sarawak 0.02%; Orang Asli (Pen. Msia) 33.82%; Others 0.25%,N2,JELAI (P78),state,Pahang
2,"14,057","1,244",173,0,"11,667 (83%)",Malay 92.51%; Chinese 2.95%; Indian 3.07%; B/P Sabah 0.03%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 1.13%; Others 0.29%,N3,PADANG TENGKU (P79),state,Pahang
3,"12,585",202,232,0,"9,943 (79%)",Malay 71.47%; Chinese 22.4%; Indian 4.81%; B/P Sabah 0.09%; B/P Sarawak 0.14%; Orang Asli (Pen. Msia) 0.87%; Others 0.22%,N4,CHEKA (P79),state,Pahang
4,"8,652",340,105,0,"7,058 (81.6%)",Malay 64%; Chinese 26.42%; Indian 9.35%; B/P Sabah 0.03%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 0.03%; Others 0.1%,N5,BENTA (P79),state,Pahang
5,"15,188","4,320",347,0,"12,362 (81.4%)",Malay 78.52%; Chinese 8.79%; Indian 4.2%; B/P Sabah 0.05%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 8.14%; Others 0.25%,N6,BATU TALAM (P80),state,Pahang
6,"28,912","9,953",276,0,"23,267 (80.5%)",Malay 25.13%; Chinese 64.89%; Indian 8.65%; B/P Sabah 0.06%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 0.9%; Others 0.31%,N7,TRAS (P80),state,Pahang
7,"13,623","3,832",210,0,"11,362 (83.4%)",Malay 79.76%; Chinese 13.98%; Indian 3%; B/P Sabah 0.01%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 2.79%; Others 0.4%,N8,DONG (P80),state,Pahang
8,"15,197",69,227,0,"12,424 (81.8%)",Malay 94.4%; Chinese 0.64%; Indian 0.7%; B/P Sabah 0.06%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 3.9%; Others 0.26%,N9,TAHAN (P81),state,Pahang
9,"25,164","1,456",402,0,"20,306 (80.7%)",Malay 58.42%; Chinese 32.43%; Indian 5.54%; B/P Sabah 0.1%; B/P Sarawak 0.09%; Orang Asli (Pen. Msia) 3.11%; Others 0.33%,N10,DAMAK (P81),state,Pahang
