,name,number_of_voters,panel_code,panel_name,tab
0,Chiong Yoke Kong (PH - DAP),"45.2% (8,821)",N1,TANAH RATA (P78),state
1,Leong Tak Man (BN - MCA),"26.8% (5,232)",N1,TANAH RATA (P78),state
2,Kumar Silambaram (PAS),3.1% (600),N1,TANAH RATA (P78),state
3,Wan Rosdy Wan Ismail (BN - UMNO),"46.7% (5,858)",N2,JELAI (P78),state
4,Abdul Karim Nor (PAS),"18.7% (2,351)",N2,JELAI (P78),state
5,Abdul Rasid Mohamed Ali (PH - PPBM),"10.3% (1,298)",N2,JELAI (P78),state
6,Mat Nor Ayat (PSM),1.8% (229),N2,JELAI (P78),state
7,Mustapa Long (BN - UMNO),"40.5% (5,691)",N3,PADANG TENGKU (P79),state
8,Roslan Harun (PAS),"31.6% (4,447)",N3,PADANG TENGKU (P79),state
9,Alias Abd Rahman (PH - PPBM),"9.3% (1,303)",N3,PADANG TENGKU (P79),state
10,Lee Ah Wong (BN - MCA),"27.6% (3,475)",N4,CHEKA (P79),state
11,Saludin Endol (PAS),"26.0% (3,273)",N4,CHEKA (P79),state
12,Rasid Muhamad (PH - PKR),"23.3% (2,930)",N4,CHEKA (P79),state
13,Mohd Soffi Abd Razak (BN - UMNO),"37.7% (3,261)",N5,BENTA (P79),state
14,Sabaruddin Mohd Yassim (PH - PKR),"33.8% (2,921)",N5,BENTA (P79),state
15,Anuar Kassim (PAS),8.5% (739),N5,BENTA (P79),state
16,Abd Aziz Mat Kiram (BN - UMNO),"45.6% (6,922)",N6,BATU TALAM (P80),state
17,Tengku Abdul Rahman Tengku Ja'afar (PAS),"17.1% (2,602)",N6,BATU TALAM (P80),state
18,Dasimah Zainudin (PH - PKR),"16.1% (2,441)",N6,BATU TALAM (P80),state
19,Chow Yu Hui (PH - DAP),"54.2% (15,660)",N7,TRAS (P80),state
20,Ng Leap Pong (BN - MCA),"19.7% (5,707)",N7,TRAS (P80),state
21,Chin Choy Hee (PAS),"5.2% (1,506)",N7,TRAS (P80),state
22,Shahiruddin Ab Moin (BN - UMNO),"46.2% (6,294)",N8,DONG (P80),state
23,Bedu Rahim Ismail (PAS),"18.1% (2,462)",N8,DONG (P80),state
24,Hamzah Jaaffar (PH - AMANAH),"17.2% (2,342)",N8,DONG (P80),state
25,Mohd Zakhwan Ahmad Badarddin (PAS),"37.1% (5,638)",N9,TAHAN (P81),state
26,Wan Amizan Wan Abdul Razak (BN - UMNO),"36.6% (5,569)",N9,TAHAN (P81),state
27,Nordin Samat (PH - PPBM),6.2% (945),N9,TAHAN (P81),state
28,Zuridan Mohd Daud (PAS),"33.6% (8,444)",N10,DAMAK (P81),state
29,Wong Chun Yuan (PH - PKR),"27.8% (6,988)",N10,DAMAK (P81),state
30,Lim Chong Ly (BN - MCA),"17.5% (4,395)",N10,DAMAK (P81),state
31,Nazri Ngah (BN - UMNO),"36.3% (8,446)",N11,PULAU TAWAR (P81),state
32,Ahmad Naawi Samah (PAS),"33.8% (7,859)",N11,PULAU TAWAR (P81),state
33,Jamaluddin Abd Rahim (PH - AMANAH),"8.5% (1,973)",N11,PULAU TAWAR (P81),state
34,Andansura Rabu (PAS),"31.6% (12,239)",N12,BESERAH (P82),state
35,Zulkifli Mohamed (PH - AMANAH),"28.2% (10,934)",N12,BESERAH (P82),state
36,Suhaimi Jusoh @ Sulong (BN - UMNO),"22.6% (8,732)",N12,BESERAH (P82),state
37,Lee Chean Chung (PH - PKR),"39.0% (14,991)",N13,SEMAMBU (P82),state
38,Mohd Yusof Hashin (PAS),"24.6% (9,480)",N13,SEMAMBU (P82),state
39,Quek Tai Seong (BN - MCA),"19.0% (7,323)",N13,SEMAMBU (P82),state
40,Sim Chon Siang (PH - PKR),"49.4% (12,227)",N14,TERUNTUM (P83),state
41,Tee Choon Ser (BN - MCA),"18.2% (4,502)",N14,TERUNTUM (P83),state
42,Azizah Mohd Ali (PAS),"12.3% (3,039)",N14,TERUNTUM (P83),state
43,Rosli Abdul Jabar (PAS),"32.6% (8,198)",N15,TANJUNG LUMPUR (P83),state
44,Tengku Zulkifly Tengku Ahmad (BN - UMNO),"27.3% (6,859)",N15,TANJUNG LUMPUR (P83),state
45,Sabrina Md Yusoff (PH - AMANAH),"22.4% (5,622)",N15,TANJUNG LUMPUR (P83),state
46,Shafik Fauzan Sharif (BN - UMNO),"43.4% (5,568)",N16,INDERAPURA (P83),state
47,Wan Maseri Wan Mohd (PAS),"26.5% (3,403)",N16,INDERAPURA (P83),state
48,Fakhrul Anuar Zulkawi (PH - PKR),"14.1% (1,806)",N16,INDERAPURA (P83),state
49,Md Sohaimi Mohamed Shah (BN - UMNO),"36.9% (5,436)",N17,SUNGAI LEMBING (P84),state
50,Mohamad Hazmi Dibok (PAS),"23.5% (3,468)",N17,SUNGAI LEMBING (P84),state
51,Fauzi Abdul Rahman (PH - PKR),"18.2% (2,687)",N17,SUNGAI LEMBING (P84),state
52,Abd Rahim Muda (BN - UMNO),"37.0% (6,500)",N18,LEPAR (P84),state
53,Nur Ad-din Ibrahim (PH - AMANAH),"21.2% (3,721)",N18,LEPAR (P84),state
54,Mohd Nor Hisam Muhammad (PAS),"20.3% (3,569)",N18,LEPAR (P84),state
