,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Reezal Merican Naina Merican (BN - UMNO),"37.1% (22,459)",P41,KEPALA BATAS,parliament,Penang
1,Zaidi Zakaria (PH - AMANAH),"29.3% (17,723)",P41,KEPALA BATAS,parliament,Penang
2,Siti Mastura Muhammad (PAS),"20.0% (12,120)",P41,KEPALA BATAS,parliament,Penang
3,Shabudin Yahaya (BN - UMNO),"30.5% (18,547)",P42,TASEK GELUGOR,parliament,Penang
4,Marzuki Yahya (PH - PPBM),"30.3% (18,466)",P42,TASEK GELUGOR,parliament,Penang
5,Rizal Hafiz Ruslan (PAS),"24.5% (14,891)",P42,TASEK GELUGOR,parliament,Penang
6,Lim Guan Eng (PH - DAP),"72.2% (51,653)",P43,BAGAN,parliament,Penang
7,Lee Beng Seng (BN - MCA),"10.8% (7,751)",P43,BAGAN,parliament,Penang
8,Huan Cheng Guan (PCM),0.7% (502),P43,BAGAN,parliament,Penang
9,Koay Xing Boon (MUP),0.3% (181),P43,BAGAN,parliament,Penang
10,Nurul Izzah Anwar (PH - PKR),"43.4% (35,534)",P44,PERMATANG PAUH,parliament,Penang
11,Mohd Zaidi Mohd Said (BN - UMNO),"24.3% (19,866)",P44,PERMATANG PAUH,parliament,Penang
12,Afnan Hamimi Taib Azamudden (PAS),"17.6% (14,428)",P44,PERMATANG PAUH,parliament,Penang
13,Sim Chee Keong (PH - DAP),"71.7% (63,784)",P45,BUKIT MERTAJAM,parliament,Penang
14,Gui Guat Lye (BN - MCA),"12.3% (10,907)",P45,BUKIT MERTAJAM,parliament,Penang
15,Kasthuriraani Patto (PH - DAP),"65.3% (42,683)",P46,BATU KAWAN,parliament,Penang
16,Jayanthi Devi Balaguru (BN - GERAKAN),"14.0% (9,130)",P46,BATU KAWAN,parliament,Penang
17,Jay Kumar Balakrishna (PAS),"4.0% (2,636)",P46,BATU KAWAN,parliament,Penang
18,Ooi Khar Giap (PFP),0.4% (256),P46,BATU KAWAN,parliament,Penang
19,Mansor Othman (PH - PKR),"48.2% (35,395)",P47,NIBONG TEBAL,parliament,Penang
20,Shaik Hussein Mydin (BN - UMNO),"26.7% (19,578)",P47,NIBONG TEBAL,parliament,Penang
21,Mohd Helmi Haron (PAS),"9.4% (6,875)",P47,NIBONG TEBAL,parliament,Penang
22,Tan Tee Beng (IND),0.5% (331),P47,NIBONG TEBAL,parliament,Penang
23,Wong Hon Wai (PH - DAP),"66.7% (50,049)",P48,BUKIT BENDERA,parliament,Penang
24,Andy Yong Kim Seng (BN - GERAKAN),"12.4% (9,318)",P48,BUKIT BENDERA,parliament,Penang
25,Tan Gim Theam (MUP),0.5% (339),P48,BUKIT BENDERA,parliament,Penang
26,Chow Kon Yeow (PH - DAP),"69.9% (34,663)",P49,TANJONG,parliament,Penang
27,Ng Siew Lai (BN - GERAKAN),"10.2% (5,064)",P49,TANJONG,parliament,Penang
28,Sanisvara Nethaji Rayer Rajaji (PH - DAP),"65.9% (50,700)",P50,JELUTONG,parliament,Penang
29,Baljit Singh Jigiri Singh (BN - GERAKAN),"16.3% (12,529)",P50,JELUTONG,parliament,Penang
30,Tan Sim Bee (MUP),0.6% (437),P50,JELUTONG,parliament,Penang
31,Ramkarpal Singh Karpal Singh (PH - DAP),"71.6% (65,622)",P51,BUKIT GELUGOR,parliament,Penang
32,Low Joo Hiap (BN - MCA),"10.6% (9,671)",P51,BUKIT GELUGOR,parliament,Penang
33,Lai Xue Ching (MUP),0.4% (412),P51,BUKIT GELUGOR,parliament,Penang
34,Sim Tze Tzin (PH - PKR),"56.8% (51,555)",P52,BAYAN BARU,parliament,Penang
35,Chuah Seng Guan (BN - MCA),"15.2% (13,804)",P52,BAYAN BARU,parliament,Penang
36,Iszuree Ibrahim (PAS),"9.6% (8,757)",P52,BAYAN BARU,parliament,Penang
37,David Yim Boon Leong (MUP),0.8% (733),P52,BAYAN BARU,parliament,Penang
38,Muhammad Bakhtiar Wan Chik (PH - PKR),"43.1% (25,471)",P53,BALIK PULAU,parliament,Penang
39,Hilmi Yahaya (BN - UMNO),"32.2% (19,007)",P53,BALIK PULAU,parliament,Penang
40,Muhammad Imran Muhammad Sa'ad (PAS),"9.0% (5,298)",P53,BALIK PULAU,parliament,Penang
