,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab
0,"19,089","1,132",843,0,"16,801 (88%)",Malay 91.92%; Chinese 7.5%; Indian 0.39%; B/P Sabah 0.05%; B/P Sarawak 0.04%; Others 0.1%,N1,PENAGA (P41),state
1,"18,378",217,211,0,"15,984 (87%)",Malay 67.98%; Chinese 22.81%; Indian 8.86%; B/P Sabah 0.1%; B/P Sarawak 0.1%; Others 0.16%,N2,BERTAM (P41),state
2,"23,056",127,296,0,"20,396 (88.5%)",Malay 75.92%; Chinese 20.29%; Indian 3.56%; B/P Sabah 0.05%; B/P Sarawak 0.05%; Others 0.13%,N3,PINANG TUNGGAL (P41),state
3,"21,120",646,296,0,"18,622 (88.2%)",Malay 84.84%; Chinese 7.15%; Indian 7.82%; B/P Sabah 0.03%; B/P Sarawak 0.03%; Others 0.12%,N4,PERMATANG BERANGAN (P42),state
4,"20,558","1,934",207,0,"18,066 (87.9%)",Malay 83.01%; Chinese 14.53%; Indian 2.17%; B/P Sabah 0.12%; B/P Sarawak 0.05%; Others 0.11%,N5,SUNGAI DUA (P42),state
5,"19,172","2,203",219,0,"16,198 (84.5%)",Malay 65.8%; Chinese 23.21%; Indian 9.96%; B/P Sabah 0.22%; B/P Sarawak 0.38%; Orang Asli (Pen. Msia) 0.01%; Others 0.42%,N6,TELOK AYER TAWAR (P42),state
6,"27,671","19,569",137,0,"24,234 (87.6%)",Malay 6.42%; Chinese 85.87%; Indian 7.47%; B/P Sabah 0.03%; B/P Sarawak 0.01%; Others 0.19%,N7,SUNGAI PUYU (P43),state
7,"25,621","15,236",185,0,"21,459 (83.8%)",Malay 14.74%; Chinese 69.36%; Indian 15.49%; B/P Sabah 0.06%; B/P Sarawak 0.04%; Others 0.32%,N8,BAGAN JERMAL (P43),state
8,"18,291","6,783",164,0,"14,948 (81.7%)",Malay 21.87%; Chinese 51.85%; Indian 25.81%; B/P Sabah 0.09%; B/P Sarawak 0.02%; Others 0.36%,N9,BAGAN DALAM (P43),state
9,"35,541","7,421",268,0,"30,496 (85.8%)",Malay 66.66%; Chinese 20.76%; Indian 11.93%; B/P Sabah 0.11%; B/P Sarawak 0.1%; Orang Asli (Pen. Msia) 0.01%; Others 0.43%,N10,SEBERANG JAYA (P44),state
10,"24,811","2,981",191,0,"21,659 (87.3%)",Malay 74.37%; Chinese 23.75%; Indian 1.69%; B/P Sabah 0.04%; B/P Sarawak 0.01%; Others 0.14%,N11,PERMATANG PASIR (P44),state
11,"21,437","2,944",176,0,"18,526 (86.4%)",Malay 77.87%; Chinese 19.78%; Indian 1.78%; B/P Sabah 0.05%; B/P Sarawak 0.04%; Others 0.48%,N12,PENANTI (P44),state
12,"23,779","16,981",202,0,"20,207 (85%)",Malay 4.31%; Chinese 85.31%; Indian 9.98%; B/P Sabah 0.04%; B/P Sarawak 0.03%; Others 0.33%,N13,BERAPIT (P45),state
13,"37,260","16,747",376,0,"32,138 (86.3%)",Malay 34.94%; Chinese 53%; Indian 11.72%; B/P Sabah 0.08%; B/P Sarawak 0.03%; Others 0.23%,N14,MACHANG BUBUK (P45),state
14,"27,959","18,364",224,0,"23,694 (84.7%)",Malay 11.35%; Chinese 80.78%; Indian 7.57%; B/P Sabah 0.04%; B/P Sarawak 0.02%; Others 0.25%,N15,PADANG LALANG (P45),state
15,"17,032","9,049",168,0,"13,819 (81.1%)",Malay 11.56%; Chinese 51.4%; Indian 36.22%; B/P Sabah 0.05%; B/P Sarawak 0.06%; Others 0.7%,N16,PERAI (P46),state
16,"22,276","8,558",215,0,"19,192 (86.2%)",Malay 35.52%; Chinese 47.33%; Indian 16.79%; B/P Sabah 0.11%; B/P Sarawak 0.07%; Others 0.18%,N17,BUKIT TENGAH (P46),state
17,"26,086","14,880",253,0,"22,455 (86.1%)",Malay 14.61%; Chinese 66.07%; Indian 19.08%; B/P Sabah 0.07%; B/P Sarawak 0.04%; Others 0.14%,N18,BUKIT TAMBUN (P46),state
18,"26,699","13,371",377,0,"22,778 (85.3%)",Malay 19.5%; Chinese 55.43%; Indian 24.84%; B/P Sabah 0.07%; B/P Sarawak 0.03%; Others 0.12%,N19,JAWI (P47),state
