,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab
0,"10,111",142,182,0,"8,018 (79.3%)",Malay 77.83%; Chinese 19.29%; Indian 2.13%; B/P Sabah 0.08%; B/P Sarawak 0.14%; Orang Asli (Pen. Msia) 0.01%; Others 0.53%,N1,TITI TINGGI (P1),state
1,"8,914",416,128,0,"7,027 (78.8%)",Malay 81.33%; Chinese 16.83%; Indian 0.74%; B/P Sabah 0.08%; B/P Sarawak 0.21%; Others 0.81%,N2,BESERI (P1),state
2,"10,542","1,367",221,0,"8,624 (81.8%)",Malay 85.78%; Chinese 1.98%; Indian 0.58%; B/P Sabah 0.01%; B/P Sarawak 0.02%; Others 11.63%,N3,CHUPING (P1),state
3,"7,617",720,146,0,"6,339 (83.2%)",Malay 90.77%; Chinese 2.59%; Indian 0.7%; B/P Sabah 1.58%; B/P Sarawak 3.61%; Orang Asli (Pen. Msia) 0.08%; Others 0.68%,N4,MATA AYER (P1),state
4,"8,912",949,102,0,0 (0%),Malay 99.28%; Chinese 0.44%; Indian 0.1%; B/P Sabah 0.03%; B/P Sarawak 0.02%; Others 0.12%,N5,SANTAN (P1),state
5,"12,136",847,198,0,"10,064 (82.9%)",Malay 95.99%; Chinese 2.51%; Indian 1.18%; B/P Sabah 0.06%; B/P Sarawak 0.04%; Others 0.22%,N6,BINTONG (P2),state
6,"12,303",314,116,0,"10,113 (82.2%)",Malay 86.52%; Chinese 8.02%; Indian 2.72%; B/P Sabah 0.12%; B/P Sarawak 0.16%; Orang Asli (Pen. Msia) 0.01%; Others 2.45%,N7,SENA (P2),state
7,"11,018","3,177",114,0,"8,857 (80.4%)",Malay 50.62%; Chinese 43.94%; Indian 3.79%; B/P Sabah 0.07%; B/P Sarawak 0.07%; Others 1.51%,N8,INDERA KAYANGAN (P2),state
8,"10,654","1,254",144,0,"8,496 (79.7%)",Malay 78.74%; Chinese 20.53%; Indian 0.11%; B/P Sabah 0.02%; B/P Sarawak 0.09%; Others 0.51%,N9,KUALA PERLIS (P2),state
9,"9,827",435,163,0,"8,166 (83.1%)",Malay 96.14%; Chinese 2.01%; Indian 0.33%; B/P Sabah 0.09%; B/P Sarawak 0.07%; Others 1.35%,N10,KAYANG (P2),state
10,"11,200",143,196,0,"9,310 (83.1%)",Malay 77.58%; Chinese 14.63%; Indian 5.76%; B/P Sabah 0.25%; B/P Sarawak 0.13%; Others 1.65%,N11,PAUH (P3),state
11,"10,535","1,180",148,0,"8,915 (84.6%)",Malay 83.76%; Chinese 4.45%; Indian 0.68%; B/P Sabah 0.06%; B/P Sarawak 0.08%; Orang Asli (Pen. Msia) 0.02%; Others 10.95%,N12,TAMBUN TULANG (P3),state
12,"9,233",328,103,0,"7,725 (83.7%)",Malay 97.36%; Chinese 2.04%; Indian 0.38%; B/P Sabah 0.04%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.01%; Others 0.13%,N13,GUAR SANJI (P3),state
13,"8,547",82,121,0,"7,704 (90.1%)",Malay 90.62%; Chinese 8.82%; Indian 0.33%; B/P Sabah 0.04%; B/P Sarawak 0.02%; Others 0.18%,N14,SIMPANG EMPAT (P3),state
14,"8,672",42,116,0,"7,408 (85.4%)",Malay 92.2%; Chinese 7.39%; Indian 0.15%; B/P Sabah 0.03%; B/P Sarawak 0.03%; Others 0.18%,N15,SANGLANG (P3),state
