,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
0,"52,251","1,359",955,0,"38,205 (73.1%)",Muslim bumiputra 56.87%; Non-Muslim bumiputra 33.59%; Chinese 9.12%; Others 0.42%,P167,KUDAT,parliament,Sabah
1,"47,007","1,774","1,179",0,"35,231 (74.9%)",Muslim bumiputra 28.5%; Non-Muslim bumiputra 68.89%; Chinese 2.22%; Others 0.39%,P168,KOTA MARUDU,parliament,Sabah
2,"57,919","4,262","1,173",0,"47,565 (82.1%)",Muslim bumiputra 60.28%; Non-Muslim bumiputra 38.02%; Chinese 1.42%; Others 0.29%,P169,KOTA BELUD,parliament,Sabah
3,"54,400","7,624",958,0,"44,834 (82.4%)",Muslim bumiputra 47.58%; Non-Muslim bumiputra 46.53%; Chinese 5.33%; Others 0.56%,P170,TUARAN,parliament,Sabah
4,"62,415","12,984",913,0,"49,012 (78.5%)",Muslim bumiputra 55.25%; Non-Muslim bumiputra 24.63%; Chinese 18.98%; Others 1.14%,P171,SEPANGGAR,parliament,Sabah
5,"56,220","24,086",563,0,0 (0%),Muslim bumiputra 22.35%; Non-Muslim bumiputra 13.82%; Chinese 62.52%; Others 1.31%,P172,KOTA KINABALU,parliament,Sabah
6,"41,312","2,339",826,0,"31,865 (77.1%)",Muslim bumiputra 69.24%; Non-Muslim bumiputra 14.35%; Chinese 15.43%; Others 0.99%,P173,PUTATAN,parliament,Sabah
7,"53,131","23,473",417,0,"43,659 (82.2%)",Muslim bumiputra 13.95%; Non-Muslim bumiputra 51.79%; Chinese 32.56%; Others 1.71%,P174,PENAMPANG,parliament,Sabah
8,"43,586",325,543,0,"36,540 (83.8%)",Muslim bumiputra 66.71%; Non-Muslim bumiputra 25.31%; Chinese 7.46%; Others 0.52%,P175,PAPAR,parliament,Sabah
9,"29,618",156,385,0,"25,519 (86.2%)",Muslim bumiputra 66.54%; Non-Muslim bumiputra 29.93%; Chinese 3.19%; Others 0.34%,P176,KIMANIS,parliament,Sabah
10,"33,342","3,331",799,0,"28,154 (84.4%)",Muslim bumiputra 65.98%; Non-Muslim bumiputra 26.11%; Chinese 7.46%; Others 0.45%,P177,BEAUFORT,parliament,Sabah
11,"31,882",852,596,0,"25,483 (79.9%)",Muslim bumiputra 76.27%; Non-Muslim bumiputra 19.48%; Chinese 3.74%; Others 0.52%,P178,SIPITANG,parliament,Sabah
12,"43,706","1,076",769,0,"33,904 (77.6%)",Muslim bumiputra 40.03%; Non-Muslim bumiputra 57.22%; Chinese 1.71%; Others 1.05%,P179,RANAU,parliament,Sabah
13,"51,177",45,522,0,"40,913 (79.9%)",Muslim bumiputra 28.03%; Non-Muslim bumiputra 62.11%; Chinese 8.67%; Others 1.2%,P180,KENINGAU,parliament,Sabah
14,"29,182","1,133",661,0,"23,027 (78.9%)",Muslim bumiputra 28.01%; Non-Muslim bumiputra 61.31%; Chinese 10.17%; Others 0.51%,P181,TENOM,parliament,Sabah
15,"31,377","2,314",528,0,"24,955 (79.5%)",Muslim bumiputra 24.27%; Non-Muslim bumiputra 73.93%; Chinese 1.3%; Others 0.5%,P182,PENSIANGAN,parliament,Sabah
16,"28,509","7,115",832,0,"21,606 (75.8%)",Muslim bumiputra 54.05%; Non-Muslim bumiputra 44.26%; Chinese 0.84%; Others 0.85%,P183,BELURAN,parliament,Sabah
17,"47,914",678,948,0,"37,248 (77.7%)",Muslim bumiputra 76.77%; Non-Muslim bumiputra 6.15%; Chinese 16.47%; Others 0.62%,P184,LIBARAN,parliament,Sabah
18,"32,574","4,619",655,0,"24,029 (73.8%)",Muslim bumiputra 65.06%; Non-Muslim bumiputra 4.09%; Chinese 30.03%; Others 0.82%,P185,BATU SAPI,parliament,Sabah
19,"39,777","10,098",502,0,"28,668 (72.1%)",Muslim bumiputra 43.9%; Non-Muslim bumiputra 5.71%; Chinese 49.29%; Others 1.09%,P186,SANDAKAN,parliament,Sabah
20,"28,730","9,478",661,0,"22,257 (77.5%)",Muslim bumiputra 72.48%; Non-Muslim bumiputra 26.47%; Chinese 0.56%; Others 0.49%,P187,KINABATANGAN,parliament,Sabah
21,"60,942","6,401","1,079",0,"44,294 (72.7%)",Muslim bumiputra 79.86%; Non-Muslim bumiputra 8.98%; Chinese 10.35%; Others 0.81%,P188,SILAM,parliament,Sabah
22,"48,248","20,674",982,0,"34,613 (71.7%)",Muslim bumiputra 96.43%; Non-Muslim bumiputra 1.68%; Chinese 1.58%; Others 0.32%,P189,SEMPORNA,parliament,Sabah
23,"59,919","4,727",981,0,"43,861 (73.2%)",Muslim bumiputra 60.71%; Non-Muslim bumiputra 4.91%; Chinese 33.56%; Others 0.82%,P190,TAWAU,parliament,Sabah
24,"52,199","3,187",840,0,"38,041 (72.9%)",Muslim bumiputra 84.4%; Non-Muslim bumiputra 6.18%; Chinese 8.54%; Others 0.88%,P191,KALABAKAN,parliament,Sabah
