,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Abd Rahim Bakri (BN - UMNO),"35.4% (18,503)",P167,KUDAT,parliament,Sabah
1,Sh Azman Sh Along (WARISAN),"32.8% (17,144)",P167,KUDAT,parliament,Sabah
2,Mohd Ashraf Chin Abdullah (PPRS),"2.7% (1,432)",P167,KUDAT,parliament,Sabah
3,Johnity @ Maximus Ongkili (BN - PBS),"27.7% (13,033)",P168,KOTA MARUDU,parliament,Sabah
4,Maijol Mahap (PHRS),"24.0% (11,259)",P168,KOTA MARUDU,parliament,Sabah
5,Barlus Mangabis (WARISAN),"15.1% (7,113)",P168,KOTA MARUDU,parliament,Sabah
6,Paul Porodong (PCS),"5.3% (2,501)",P168,KOTA MARUDU,parliament,Sabah
7,Isnaraissah Munirah Majilis @ Fakharudy (WARISAN),"40.5% (23,429)",P169,KOTA BELUD,parliament,Sabah
8,Md Salleh Md Said (BN - UMNO),"33.1% (19,167)",P169,KOTA BELUD,parliament,Sabah
9,Miasin @ Aimaduddin Mion (PHRS),"3.6% (2,092)",P169,KOTA BELUD,parliament,Sabah
10,Laiman Ikin @ Ag Laiman B Kakimin (PAS),"2.4% (1,410)",P169,KOTA BELUD,parliament,Sabah
11,Madius Tangau (BN - UPKO),"41.3% (22,494)",P170,TUARAN,parliament,Sabah
12,Chrisnadia Sinam (PH - PKR),"27.3% (14,870)",P170,TUARAN,parliament,Sabah
13,Kalakau @ Kalakan Untol @ Entol (PCS),"4.8% (2,611)",P170,TUARAN,parliament,Sabah
14,Syra Peter @ P Gom (PHRS),"4.2% (2,311)",P170,TUARAN,parliament,Sabah
15,Paumin @ Mohd Aminuddin Aling (PAS),"2.5% (1,357)",P170,TUARAN,parliament,Sabah
16,Mohd Azis Jamman (WARISAN),"45.5% (28,420)",P171,SEPANGGAR,parliament,Sabah
17,Abd Rahman Dahlan (BN - UMNO),"24.7% (15,436)",P171,SEPANGGAR,parliament,Sabah
18,Jeffrey Kumin (SAPP),"4.7% (2,958)",P171,SEPANGGAR,parliament,Sabah
19,Robert Sopining (PCS),1.6% (971),P171,SEPANGGAR,parliament,Sabah
20,Chan Foong Hin (PH - DAP),"56.3% (31,632)",P172,KOTA KINABALU,parliament,Sabah
21,Joseph Lee Han Kyun (BN - PBS),"13.4% (7,546)",P172,KOTA KINABALU,parliament,Sabah
22,Yong Teck Lee (SAPP),"5.6% (3,132)",P172,KOTA KINABALU,parliament,Sabah
23,Awang Husaini Sahari (PH - PKR),"34.1% (14,106)",P173,PUTATAN,parliament,Sabah
24,Makin @ Marcus Majigoh (BN - UPKO),"28.5% (11,767)",P173,PUTATAN,parliament,Sabah
25,Zulzaim Hilmee Abidin (PAS),"5.9% (2,434)",P173,PUTATAN,parliament,Sabah
26,Jivol @ Edmund Doudilim (PHRS),"4.2% (1,755)",P173,PUTATAN,parliament,Sabah
27,Mil Kusin Abdillah (PKAN),1.8% (728),P173,PUTATAN,parliament,Sabah
28,Ignatius Dorell Leiking (WARISAN),"61.1% (32,470)",P174,PENAMPANG,parliament,Sabah
29,Ceasar Mandela Malakun (BN - UPKO),"16.9% (8,997)",P174,PENAMPANG,parliament,Sabah
30,Cleftus Stephen Spine (Sabah STAR),"2.3% (1,196)",P174,PENAMPANG,parliament,Sabah
31,Edwin @ Jack Bosi (PKAN),0.8% (445),P174,PENAMPANG,parliament,Sabah
32,Ahmad Hassan (WARISAN),"39.9% (17,394)",P175,PAPAR,parliament,Sabah
33,Rosnah Abd Rashid Shirlin (BN - UMNO),"39.2% (17,069)",P175,PAPAR,parliament,Sabah
34,Jamil William Core (Sabah STAR),2.0% (892),P175,PAPAR,parliament,Sabah
35,Elbert Sikuil (PCS),1.1% (481),P175,PAPAR,parliament,Sabah
36,Anifah Aman @ Haniff Amman (BN - UMNO),"40.3% (11,942)",P176,KIMANIS,parliament,Sabah
