,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
0,"11,054",379,279,0,"7,868 (71.2%)",Muslim bumiputra 61.54%; Non-Muslim bumiputra 37.9%; Chinese 0.27%; Others 0.28%,N1,BANGGI (P167),state,Sabah
1,"23,928","2,992",345,0,"17,242 (72.1%)",Muslim bumiputra 57.56%; Non-Muslim bumiputra 22.61%; Chinese 19.37%; Others 0.46%,N2,TANJONG KAPOR (P167),state,Sabah
2,"17,269","1,282",416,0,"13,095 (75.8%)",Muslim bumiputra 52.91%; Non-Muslim bumiputra 46.05%; Chinese 0.59%; Others 0.45%,N3,PITAS (P167),state,Sabah
3,"22,906","1,687",557,0,"17,248 (75.3%)",Muslim bumiputra 24.88%; Non-Muslim bumiputra 73.78%; Chinese 1.03%; Others 0.3%,N4,MATUNGGONG (P168),state,Sabah
4,"24,101","4,592",584,0,"18,000 (74.7%)",Muslim bumiputra 31.93%; Non-Muslim bumiputra 64.24%; Chinese 3.35%; Others 0.48%,N5,TANDEK (P168),state,Sabah
5,"19,129","2,264",392,0,"15,726 (82.2%)",Muslim bumiputra 68.5%; Non-Muslim bumiputra 31.07%; Chinese 0.21%; Others 0.22%,N6,TEMPASUK (P169),state,Sabah
6,"17,982","3,294",251,0,"14,712 (81.8%)",Muslim bumiputra 17.4%; Non-Muslim bumiputra 81.54%; Chinese 0.6%; Others 0.46%,N7,KADAMAIAN (P169),state,Sabah
7,"20,808","1,225",356,0,"17,138 (82.4%)",Muslim bumiputra 89.77%; Non-Muslim bumiputra 6.79%; Chinese 3.22%; Others 0.22%,N8,USUKAN (P169),state,Sabah
8,"18,836","2,080",228,0,"15,313 (81.3%)",Muslim bumiputra 26.51%; Non-Muslim bumiputra 61.22%; Chinese 11.47%; Others 0.8%,N9,TAMPARULI (P170),state,Sabah
9,"22,611","7,774",341,0,"19,055 (84.3%)",Muslim bumiputra 84.4%; Non-Muslim bumiputra 13.23%; Chinese 2.03%; Others 0.34%,N10,SULAMAN (P170),state,Sabah
10,"12,953","1,443",175,0,"10,459 (80.7%)",Muslim bumiputra 13.96%; Non-Muslim bumiputra 83.29%; Chinese 2.16%; Others 0.59%,N11,KIULU (P170),state,Sabah
11,"34,451","5,366",613,0,"26,658 (77.4%)",Muslim bumiputra 79.32%; Non-Muslim bumiputra 9.12%; Chinese 10.37%; Others 1.18%,N12,KARAMBUNAI (P171),state,Sabah
12,"27,964","7,783",316,0,"22,360 (80%)",Muslim bumiputra 25.59%; Non-Muslim bumiputra 43.73%; Chinese 29.58%; Others 1.09%,N13,INANAM (P171),state,Sabah
13,"15,126","7,902",84,0,"11,219 (74.2%)",Muslim bumiputra 12.76%; Non-Muslim bumiputra 13.76%; Chinese 72%; Others 1.48%,N14,LIKAS (P172),state,Sabah
14,"19,279","2,954",378,0,"14,729 (76.4%)",Muslim bumiputra 44.41%; Non-Muslim bumiputra 12.11%; Chinese 42.39%; Others 1.08%,N15,API-API (P172),state,Sabah
