,name,number_of_voters,panel_code,panel_name,tab
0,Mohammad Mohamarin (WARISAN),"32.7% (3,613)",N1,BANGGI (P167),state
1,Abd Mijul Unaini (BN - UMNO),"29.3% (3,234)",N1,BANGGI (P167),state
2,Norlaji Amir Hassan (Sabah STAR),3.3% (367),N1,BANGGI (P167),state
3,Abidula Amsana (PHRS),1.8% (198),N1,BANGGI (P167),state
4,Kusugan Ali (PPRS),0.9% (105),N1,BANGGI (P167),state
5,Abdul Nasir Jamaluddin (PKS),0.4% (43),N1,BANGGI (P167),state
6,Chong Chen Bin (WARISAN),"38.1% (9,124)",N2,TANJONG KAPOR (P167),state
7,Teo Chee Kang (BN - LDP),"25.6% (6,132)",N2,TANJONG KAPOR (P167),state
8,Aliasgar Omolong (PAS),2.6% (617),N2,TANJONG KAPOR (P167),state
9,Tsen Chou Yin @ Thomas Tsen Chau Yin (PCS),2.0% (481),N2,TANJONG KAPOR (P167),state
10,Allaidly Poyon (PPRS),1.9% (446),N2,TANJONG KAPOR (P167),state
11,Bolkiah Ismail (BN - UMNO),"32.5% (5,606)",N3,PITAS (P167),state
12,Maklin Masiau (WARISAN),"25.0% (4,324)",N3,PITAS (P167),state
13,Bakir Mancaing (PHRS),"8.8% (1,527)",N3,PITAS (P167),state
14,Ramlah Nasir (PKS),2.9% (508),N3,PITAS (P167),state
15,Pransol Tiying (PKAN),2.3% (400),N3,PITAS (P167),state
16,Dausieh Queck @ Paraman (PAS),1.5% (262),N3,PITAS (P167),state
17,Julita Mojungki (BN - PBS),"30.3% (6,946)",N4,MATUNGGONG (P168),state
18,Sazalye Donol Abdullah (PH - PKR),"23.0% (5,259)",N4,MATUNGGONG (P168),state
19,Marunsai Dawai (Sabah STAR),"13.0% (2,968)",N4,MATUNGGONG (P168),state
20,Jornah Mozihim (PCS),"5.9% (1,348)",N4,MATUNGGONG (P168),state
21,Rahim Madhakong (PKS),0.4% (98),N4,MATUNGGONG (P168),state
22,Lasiah Baranting @ Anita (BN - UMNO),"36.8% (8,877)",N5,TANDEK (P168),state
23,Baintin Adun (WARISAN),"17.8% (4,285)",N5,TANDEK (P168),state
24,Joel Masilung (Sabah STAR),"15.0% (3,621)",N5,TANDEK (P168),state
25,Johnson Assan @ Johnson Gaban (PCS),2.3% (553),N5,TANDEK (P168),state
26,Musbah Jamli (BN - UMNO),"40.5% (7,742)",N6,TEMPASUK (P169),state
27,Mustapha @ Mohd Yunus Sakmud (PH - PKR),"28.6% (5,478)",N6,TEMPASUK (P169),state
28,Suwah Buleh @ Bulleh (Sabah STAR),"7.8% (1,494)",N6,TEMPASUK (P169),state
29,Mustaqim Aling (PAS),2.7% (521),N6,TEMPASUK (P169),state
30,Ewon Benedick (BN - UPKO),"38.2% (6,861)",N7,KADAMAIAN (P169),state
31,Lukia Indan (PH - PKR),"19.8% (3,567)",N7,KADAMAIAN (P169),state
32,Rubbin Guribah (Sabah STAR),"16.9% (3,034)",N7,KADAMAIAN (P169),state
33,Mail Balinu (PCS),4.2% (764),N7,KADAMAIAN (P169),state
34,Satail Manjungkat (PAS),0.7% (129),N7,KADAMAIAN (P169),state
35,Japlin Akim @ Abd Hamid (BN - UMNO),"42.0% (8,738)",N8,USUKAN (P169),state
36,Abd Bahtrin @ Abdul Bahkrin Mohd Yusof (WARISAN),"36.1% (7,513)",N8,USUKAN (P169),state
37,Adzmin Awang (PAS),1.7% (355),N8,USUKAN (P169),state
38,Amsor Tuah (IND),0.3% (70),N8,USUKAN (P169),state
39,Jahid @ Noordin Jahim (BN - PBS),"36.2% (6,818)",N9,TAMPARULI (P170),state
40,Dausil Kundayong (PH - PKR),"25.2% (4,738)",N9,TAMPARULI (P170),state
41,Mojilip Bumburing @ Wilfred (PCS),"13.5% (2,541)",N9,TAMPARULI (P170),state
42,Samin @ Jasmin Dulin (Sabah STAR),4.8% (901),N9,TAMPARULI (P170),state
43,Hajiji Noor (BN - UMNO),"57.3% (12,966)",N10,SULAMAN (P170),state
44,Abdullah Sani Daud (WARISAN),"23.0% (5,192)",N10,SULAMAN (P170),state
45,Arifin Harith (PHRS),2.1% (467),N10,SULAMAN (P170),state
46,Joniston Lumai @ Bangkuai (BN - PBS),"33.5% (4,336)",N11,KIULU (P170),state
47,Jo-Anna Sue Henley Rampas (WARISAN),"22.3% (2,893)",N11,KIULU (P170),state
48,Terence Sinti (Sabah STAR),"19.0% (2,457)",N11,KIULU (P170),state
49,Gaibin Ransoi (PCS),4.2% (543),N11,KIULU (P170),state
50,Azhar Matussin (WARISAN),"41.1% (14,157)",N12,KARAMBUNAI (P171),state
51,Jainab Ahmad (BN - UMNO),"25.5% (8,791)",N12,KARAMBUNAI (P171),state
52,Aspar Oyet @ Akbar (PAS),"4.9% (1,696)",N12,KARAMBUNAI (P171),state
53,Ahsim Oyok Jamat (SAPP),"3.7% (1,258)",N12,KARAMBUNAI (P171),state
54,Kenny Chua Teck Ho (PH - PKR),"48.8% (13,633)",N13,INANAM (P171),state
55,Goh Chin Lok @ Johnny Goh (BN - PBS),"20.9% (5,850)",N13,INANAM (P171),state
56,John Stephen Dionysius (SAPP),"6.1% (1,695)",N13,INANAM (P171),state
57,Terence Tsen Kim Fatt (PKAN),1.7% (480),N13,INANAM (P171),state
58,Jakariah Janit (PKS),0.6% (156),N13,INANAM (P171),state
59,Situl Mintow (IND),0.2% (57),N13,INANAM (P171),state
60,Tan Lee Fatt (PH - DAP),"60.6% (9,163)",N14,LIKAS (P172),state
61,Chin Shu Ying (BN - LDP),"8.3% (1,261)",N14,LIKAS (P172),state
62,Yong We Kong (SAPP),4.4% (673),N14,LIKAS (P172),state
63,Liew Chin Jin (PH - PKR),"42.4% (8,174)",N15,API-API (P172),state
64,Yee Moh Chai (BN - PBS),"27.1% (5,220)",N15,API-API (P172),state
65,Lim Kat Chung (SAPP),3.1% (598),N15,API-API (P172),state
66,Len Lip Fong @ Land Lip Fong (PKAN),1.3% (244),N15,API-API (P172),state
67,Chan Chee Ching (IND),0.5% (94),N15,API-API (P172),state
68,Phoong Jin Zhe (PH - DAP),"65.3% (14,237)",N16,LUYANG (P172),state
69,Pamela Yong (BN - MCA),"8.4% (1,829)",N16,LUYANG (P172),state
70,Gee Tien Siong (SAPP),3.7% (807),N16,LUYANG (P172),state
71,Wong Hong Jun (WARISAN),"41.1% (9,794)",N17,TANJONG ARU (P173),state
72,Yong Oui Fah (BN - PBS),"21.8% (5,184)",N17,TANJONG ARU (P173),state
73,Hamid Ismail (PAS),"5.8% (1,379)",N17,TANJONG ARU (P173),state
74,Noraiza Mohammad Noor (PHRS),2.4% (566),N17,TANJONG ARU (P173),state
75,Chong Wei Leung (PKAN),2.1% (494),N17,TANJONG ARU (P173),state
76,Uda Sulai (WARISAN),"37.3% (6,526)",N18,PETAGAS (P173),state
77,Yahyah @ Yahya Hussin @ Ag Husin (BN - UMNO),"36.1% (6,318)",N18,PETAGAS (P173),state
78,Ester Otion (PHRS),4.3% (760),N18,PETAGAS (P173),state
79,Jannie Lasimbang (PH - DAP),"58.1% (19,558)",N19,KAPAYAN (P174),state
80,Goh Fah Sun (BN - MCA),"18.7% (6,308)",N19,KAPAYAN (P174),state
81,Chong Pit Fah (Sabah STAR),"3.9% (1,318)",N19,KAPAYAN (P174),state
82,Jenifer Lasimbang (WARISAN),"50.1% (9,745)",N20,MOYOG (P174),state
83,Donald Peter Mojuntin (BN - UPKO),"27.3% (5,303)",N20,MOYOG (P174),state
84,Danim @ Aloysius Siap (Sabah STAR),3.1% (605),N20,MOYOG (P174),state
85,Bandasan @ Dionisius Dennis J Tunding (PCS),1.1% (222),N20,MOYOG (P174),state
86,Gulamhaidar @ Yusof Khan Bahadar (BN - UMNO),"45.0% (10,388)",N21,KAWANG (P175),state
87,Salleh Eddris (WARISAN),"32.6% (7,526)",N21,KAWANG (P175),state
88,Matlin Jilon (PHRS),3.4% (781),N21,KAWANG (P175),state
89,Wahid @ Harith Ismail (PKAN),0.9% (201),N21,KAWANG (P175),state
90,Aidi Moktar (WARISAN),"45.1% (9,234)",N22,PANTAI MANIS (P175),state
91,Abdul Rahim Ismail (BN - UMNO),"34.8% (7,126)",N22,PANTAI MANIS (P175),state
92,James @ Ebi Ghani (PHRS),2.2% (448),N22,PANTAI MANIS (P175),state
93,Jawasing Mianus @ Herman J Mianus (PCS),0.6% (129),N22,PANTAI MANIS (P175),state
94,Daud Yusof (WARISAN),"42.6% (6,912)",N23,BONGAWAN (P176),state
95,Mohamad Alamin (BN - UMNO),"37.7% (6,117)",N23,BONGAWAN (P176),state
96,Jaafar Ismail (PHRS),3.9% (627),N23,BONGAWAN (P176),state
97,Mohd Arifin Mohd Arif (BN - UMNO),"48.5% (6,495)",N24,MEMBAKUT (P176),state
98,Abd Sani Marip @ Marif (WARISAN),"30.6% (4,092)",N24,MEMBAKUT (P176),state
99,Ali Omar Mohd Idris (PHRS),3.4% (456),N24,MEMBAKUT (P176),state
100,Rosjelen Salimat (PCS),1.7% (223),N24,MEMBAKUT (P176),state
101,Yahya Ahmad (IND),0.6% (85),N24,MEMBAKUT (P176),state
102,Isnin Aliasnih @ Liasnih (BN - UMNO),"36.4% (6,173)",N25,KLIAS (P177),state
103,Lajim Ukin (PHRS),"22.6% (3,837)",N25,KLIAS (P177),state
104,Johair Mat Lani (WARISAN),"22.0% (3,725)",N25,KLIAS (P177),state
105,Limus Jury (BN - UPKO),"44.8% (7,352)",N26,KUALA PENYU (P177),state
106,Dikin Musah (PH - PKR),"23.2% (3,807)",N26,KUALA PENYU (P177),state
107,Jonas Sungin @ Sunggim (PHRS),"10.7% (1,749)",N26,KUALA PENYU (P177),state
108,Nikol Tiunsu @ Herman Tiongsoh (PCS),3.3% (548),N26,KUALA PENYU (P177),state
109,Matbali Musah (BN - UMNO),"45.5% (6,836)",N27,LUMADAN (P178),state
110,Md Samlih Juaisin (WARISAN),"26.0% (3,901)",N27,LUMADAN (P178),state
111,Asmat Japar (PHRS),"8.9% (1,331)",N27,LUMADAN (P178),state
112,Yusof @ Josree Yacob (WARISAN),"39.4% (6,648)",N28,SINDUMIN (P178),state
113,Sapawi Amat Wasali @ Ahmad (BN - UMNO),"34.9% (5,888)",N28,SINDUMIN (P178),state
114,Patrick Sadom (PHRS),1.6% (273),N28,SINDUMIN (P178),state
115,Joachim Gunsalam (BN - PBS),"26.7% (3,971)",N29,KUNDASANG (P179),state
116,Siriman @ Mohd Fazid Basir (WARISAN),"25.0% (3,716)",N29,KUNDASANG (P179),state
117,Japiril Suhaimin (Sabah STAR),"14.2% (2,105)",N29,KUNDASANG (P179),state
118,Henrynus Amin (PKAN),4.9% (733),N29,KUNDASANG (P179),state
119,Jinus Sodiong (PKS),1.1% (166),N29,KUNDASANG (P179),state
120,Masidi Manjun @ Masdi (BN - UMNO),"50.7% (6,849)",N30,KARANAAN (P179),state
121,Chong Peck Hing @ Chong Poh Sing (PH - PKR),"22.7% (3,067)",N30,KARANAAN (P179),state
122,Aman @ Adzman Manaf (PHRS),5.1% (685),N30,KARANAAN (P179),state
123,Juhaili Sidek (PKAN),0.8% (104),N30,KARANAAN (P179),state
124,Abidin Madingkir (BN - UPKO),"37.0% (5,666)",N31,PAGINATAN (P179),state
125,Julian @ Paul Sidin (WARISAN),"23.5% (3,600)",N31,PAGINATAN (P179),state
126,Pedderin @ Feddrin Tuliang @ Tuling (Sabah STAR),"12.2% (1,870)",N31,PAGINATAN (P179),state
127,Satiol Indong (PCS),2.4% (362),N31,PAGINATAN (P179),state
128,Mat Jaili Samat (PPRS),0.7% (104),N31,PAGINATAN (P179),state
129,Jeffrey Kitingan (Sabah STAR),"37.7% (6,136)",N32,TAMBUNAN (P180),state
130,Joseph Pairin Kitingan (BN - PBS),"31.4% (5,099)",N32,TAMBUNAN (P180),state
131,Justin Alip (WARISAN),"8.8% (1,427)",N32,TAMBUNAN (P180),state
132,Nestor Joannes (PCS),2.8% (456),N32,TAMBUNAN (P180),state
133,Robert Tawik @ Nordin (Sabah STAR),"25.6% (4,552)",N33,BINGKOR (P180),state
134,Jino @ Peter Allion @ Alliun (BN - PBS),"24.7% (4,387)",N33,BINGKOR (P180),state
135,Odom @ Peter Dhoms Saili @ Soili (PH - DAP),"23.8% (4,233)",N33,BINGKOR (P180),state
136,Aisat @ Ellik Igau @ Iggau (PKAN),1.6% (290),N33,BINGKOR (P180),state
137,Justin Guka (IND),1.0% (182),N33,BINGKOR (P180),state
138,Uling @ Thomas Anggan (PKS),0.4% (69),N33,BINGKOR (P180),state
139,Rasinin Koutis @ Kautis (WARISAN),"37.2% (6,387)",N34,LIAWAN (P180),state
140,Sapin @ Sairin Karano @ Karno (BN - UMNO),"29.2% (5,005)",N34,LIAWAN (P180),state
141,Kong Fui Seng (S'wak STAR),"10.5% (1,809)",N34,LIAWAN (P180),state
142,Hussein @ Jaimis Kassim @ Madatin (PCS),1.0% (176),N34,LIAWAN (P180),state
143,Peter Anthony (WARISAN),"35.8% (5,010)",N35,MELALAP (P181),state
144,Radin Malleh (BN - PBS),"33.7% (4,717)",N35,MELALAP (P181),state
145,Jaineh Juata @ Jimmy Jawatah (Sabah STAR),6.2% (861),N35,MELALAP (P181),state
146,Chinly Moniu @ Mah Tsen Li (PCS),0.5% (69),N35,MELALAP (P181),state
147,Lidos Rabih @ George Rejos (PKS),0.3% (45),N35,MELALAP (P181),state
148,Jamawi Ja'afar (BN - UMNO),"40.1% (6,093)",N36,KEMABONG (P181),state
149,Haris Bolos (WARISAN),"34.2% (5,198)",N36,KEMABONG (P181),state
150,Tay Jin Kiong @ Alfred (PCS),1.0% (152),N36,KEMABONG (P181),state
151,Yahia @ Yahya Raimah (PHRS),0.8% (124),N36,KEMABONG (P181),state
152,Ellron Angin (BN - PBRS),"42.1% (8,042)",N37,SOOK (P182),state
153,Martin Tomy @ Tommy (WARISAN),"18.6% (3,557)",N37,SOOK (P182),state
154,Baritus Gungkit (Sabah STAR),"17.8% (3,402)",N37,SOOK (P182),state
155,Beaty Fred @ Peter Beaty (PKAN),0.6% (113),N37,SOOK (P182),state
156,Bobbey Ah Fang Suan (BN - UPKO),"44.7% (5,474)",N38,NABAWAN (P182),state
157,Ahuar Rasam (WARISAN),"27.8% (3,402)",N38,NABAWAN (P182),state
158,Apandy @ Lukan Angindi (PHRS),1.3% (165),N38,NABAWAN (P182),state
159,Angin @ Nasruddin Lambahan (PCS),1.3% (156),N38,NABAWAN (P182),state
160,James Ratib (BN - UMNO),"40.2% (4,704)",N39,SUGUT (P183),state
161,Aspah Abdullah Sani (WARISAN),"27.2% (3,183)",N39,SUGUT (P183),state
162,Mohd Arshad Abdul (PPRS),3.7% (436),N39,SUGUT (P183),state
163,Ag Osman Asibih (PKS),0.9% (111),N39,SUGUT (P183),state
164,Abdul Rahman Kongkawang (BN - PBS),"39.7% (6,665)",N40,LABUK (P183),state
165,Ramsah Tasim @ Ramsah Tashim (WARISAN),"24.2% (4,065)",N40,LABUK (P183),state
166,Rainus Awang (Sabah STAR),"7.0% (1,171)",N40,LABUK (P183),state
167,James Miki (PCS),2.3% (383),N40,LABUK (P183),state
168,Albert Thomas Enti (PKS),0.8% (141),N40,LABUK (P183),state
169,Arunarnsin Taib (WARISAN),"37.8% (4,710)",N41,GUM-GUM (P184),state
170,Juslie Ajirol (BN - UMNO),"33.0% (4,112)",N41,GUM-GUM (P184),state
171,Dahil Masdik (PHRS),2.0% (252),N41,GUM-GUM (P184),state
172,Joilin @ Christine Bugung (PKS),0.7% (81),N41,GUM-GUM (P184),state
173,Jamaludin Lamba (PPRS),0.5% (63),N41,GUM-GUM (P184),state
174,Musa Aman (BN - UMNO),"40.9% (14,503)",N42,SUNGAI SIBUGA (P184),state
175,Asmara Abdul Rahman (WARISAN),"34.7% (12,319)",N42,SUNGAI SIBUGA (P184),state
176,Osman Enting (PKS),0.7% (241),N42,SUNGAI SIBUGA (P184),state
177,Arifin Asgali (WARISAN),"40.8% (6,740)",N43,SEKONG (P185),state
178,Samsudin Yahya (BN - UMNO),"28.5% (4,705)",N43,SEKONG (P185),state
179,Sahar Abdul Majid (PAS),2.2% (366),N43,SEKONG (P185),state
180,Abdul Rashid Abdul Rahman (S'wak STAR),0.3% (48),N43,SEKONG (P185),state
181,Datu Mohd Faisal Datu Bachtiyal (IND),0.3% (43),N43,SEKONG (P185),state
182,Alias Rahmad Benjamin (PKS),0.1% (16),N43,SEKONG (P185),state
183,Hiew Vun Zin (WARISAN),"45.1% (7,243)",N44,KARAMUNTING (P185),state
184,Lim Kai Min (BN - LDP),"21.2% (3,395)",N44,KARAMUNTING (P185),state
185,Norsah Bongsu (PAS),4.2% (677),N44,KARAMUNTING (P185),state
186,Besarun Kecha (Sabah STAR),0.4% (61),N44,KARAMUNTING (P185),state
187,Chong Ket Kiun (PH - DAP),"48.3% (12,219)",N45,ELOPURA (P186),state
