year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes
2004,DATUK RADZI SHEIKH AHMAD,BN,UMNO,22498,69.33555226824457,002,KANGAR,Perlis,1,32448
2004,ISHAR SAAD,BA,PAS,9950,30.664447731755423,002,KANGAR,Perlis,0,32448
2004,DATUK SERI SYED RAZLAN SYED PUTRA JAMALULLAIL,BN,UMNO,17367,55.14909021625226,003,ARAU,Perlis,1,31491
2004,DATUK DR HARON DIN,BA,PAS,14124,44.85090978374774,003,ARAU,Perlis,0,31491
2004,DATUK ABU BAKAR TAIB,BN,UMNO,16510,74.2089176555196,004,LANGKAWI,Kedah,1,22248
2004,ZUBIR AHMAD,BA,PAS,5738,25.791082344480404,004,LANGKAWI,Kedah,0,22248
2004,DATUK ABDUL RAHMAN ARIFFIN,BN,UMNO,19123,52.96643031243075,005,JERLUN,Kedah,1,36104
2004,IDRIS AHMAD,BA,PAS,16981,47.03356968756925,005,JERLUN,Kedah,0,36104
2004,DR MOHD HAYATI OTHMAN,BA,PAS,24430,50.05121901249744,011,PENDANG,Kedah,1,48810
2004,MD ROZAI SHAFIAN,BN,UMNO,24380,49.94878098750256,011,PENDANG,Kedah,0,48810
2004,DATUK BADRUDDIN AMIRUDIN,BN,UMNO,30154,60.42522493637657,012,JERAI,Kedah,1,49903
2004,CHE BIN ARSHAD,BA,PAS,19749,39.57477506362343,012,JERAI,Kedah,0,49903
2004,DATUK DR WAN AZMI WAN ARIFFIN,BN,UMNO,15357,50.52475736140813,013,SIK,Kedah,1,30395
2004,AZIZAN ABDUL RAZAK,BA,PAS,15038,49.47524263859187,013,SIK,Kedah,0,30395
2004,DATUK ZAINUDDIN MAIDIN,BN,UMNO,29607,67.64376613584957,014,MERBOK,Kedah,1,43769
2004,SAIFUL IZHAM RAMLI,BA,PKR,14162,32.356233864150425,014,MERBOK,Kedah,0,43769
2004,DATUK DR MASHITAH IBRAHIM,BN,UMNO,32661,53.46111665820961,016,BALING,Kedah,1,61093
2004,TAIB AZAMUDDEN MD TAIB,BA,PAS,28432,46.53888334179039,016,BALING,Kedah,0,61093
2004,DATUK KAMARUDIN JAAFAR,BA,PAS,27919,51.684623643970525,019,TUMPAT,Kelantan,1,54018
2004,MAT NAWAWI MAT JUSOH,BN,UMNO,26099,48.315376356029475,019,TUMPAT,Kelantan,0,54018
2004,DATUK DR AWANG ADEK HUSSIN,BN,UMNO,25194,53.472281178368284,025,BACHOK,Kelantan,1,47116
2004,WAN NIK WAN YUSOF,BA,PAS,21922,46.527718821631716,025,BACHOK,Kelantan,0,47116
2004,MD ALWI CHE AHMAD,BN,UMNO,20024,53.88589881593111,026,KETEREH,Kelantan,1,37160
2004,MUAMAD MUSTAFA,BA,PKR,17136,46.11410118406889,026,KETEREH,Kelantan,0,37160
2004,SAZMI MIAH,BN,UMNO,17464,50.194004541143336,029,MACHANG,Kelantan,1,34793
2004,MOHD YUSOF MOHD NOOR,BA,PAS,17329,49.805995458856664,029,MACHANG,Kelantan,0,34793
2004,DATUK MUSTAPA MOHAMED,BN,UMNO,16960,63.83859675537321,030,JELI,Kelantan,1,26567
2004,MOHD APANDI MOHAMED,BA,PAS,9607,36.16140324462679,030,JELI,Kelantan,0,26567
2004,PROF DATUK DR ABDULLAH MOHD ZIN,BN,UMNO,26087,59.73119018180153,033,BESUT,Terengganu,1,43674
2004,NASHARUDIN MAT ISA,BA,PAS,17587,40.26880981819847,033,BESUT,Terengganu,0,43674
2004,MOHD YUSOF MAJID,BN,UMNO,23079,58.484111296943894,034,SETIU,Terengganu,1,39462
2004,CHE GHANI CHE AMBAK,BA,PAS,16383,41.515888703056106,034,SETIU,Terengganu,0,39462
2004,DATUK ABDUL RAHMAN BAKAR,BN,UMNO,28076,50.14556430727464,037,MARANG,Terengganu,1,55989
2004,DATUK SERI ABDUL HADI AWANG,BA,PAS,27913,49.85443569272536,037,MARANG,Terengganu,0,55989
2004,DATUK ROSLI MAT HASSAN,BN,UMNO,26398,55.110647181628394,039,DUNGUN,Terengganu,1,47900
2004,DATUK MUSTAFA ALI,BA,PAS,21502,44.889352818371606,039,DUNGUN,Terengganu,0,47900
2004,AHMAD SHABERY CHIK,BN,UMNO,36517,63.89452687569989,040,KEMAMAN,Terengganu,1,57152
2004,ABDL RAHMAN YUSOF,BA,PKR,20635,36.10547312430011,040,KEMAMAN,Terengganu,0,57152
2004,LIM HOCK SENG,,DAP,23095,54.254369479421165,043,BAGAN,Penang,1,42568
2004,LIM CHIEN AUN,BN,MCA,19473,45.745630520578835,043,BAGAN,Penang,0,42568
2004,CHOW KON YEOW,,DAP,21652,55.40997031425939,049,TANJONG,Penang,1,39076
2004,OOI SWEE HING,BN,GERAKAN,17424,44.59002968574061,049,TANJONG,Penang,0,39076
2004,LEE KAH CHOON,BN,GERAKAN,24988,58.78699477720792,050,JELUTONG,Penang,1,42506
2004,GOOI SEONG KIN,,DAP,17518,41.21300522279208,050,JELUTONG,Penang,0,42506
