,year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,total_votes,gender,results_added,spr_id,winner
641,2022,RUSYDAN RUSMI,PN,PAS,24267,53.58373078961314,001,PADANG BESAR,Perlis,45288,F,1,1069,1.0
644,2022,ZAHIDA ZARIK KHAN,BN,UMNO,11753,25.951686981098746,001,PADANG BESAR,Perlis,45288,M,1,259,0.0
645,2022,MOHAMAD SAAD @ YAHYA,PH,AMANAH,7085,15.644320791379615,001,PADANG BESAR,Perlis,45288,F,1,118,0.0
643,2022,ZAHIDI ZAINUL ABIDIN,,IND,1939,4.281487369722663,001,PADANG BESAR,Perlis,45288,F,1,1113,0.0
642,2022,KO CHU LIANG,,WARISAN,244,0.5387740681858328,001,PADANG BESAR,Perlis,45288,F,1,969,0.0
289,2022,ZAKRI HASSAN,PN,BERSATU,24562,43.704626334519574,002,KANGAR,Perlis,56200,F,1,449.0,1.0
290,2022,FATHUL BARI MAT JAHYA,BN,UMNO,15370,27.348754448398576,002,KANGAR,Perlis,56200,F,1,847.0,0.0
292,2022,NOOR AMIN AHMAD,PH,PKR,15143,26.944839857651246,002,KANGAR,Perlis,56200,F,1,1332.0,0.0
293,2022,NUR SULAIMAN ZOLKAPLI,GTA,PEJUANG,708,1.2597864768683273,002,KANGAR,Perlis,56200,F,1,1312.0,0.0
291,2022,ROHIMI SHAPIEE,,WARISAN,417,0.7419928825622776,002,KANGAR,Perlis,56200,F,1,1309.0,0.0
613,2022,SHAHIDAN KASSIM,PN,DIRECT,31458,67.23375152279382,003,ARAU,Perlis,46789,F,1,1091,1.0
614,2022,ROZABIL ABD RAHMAN,BN,UMNO,8242,17.615251447989912,003,ARAU,Perlis,46789,F,1,741,0.0
612,2022,FATHIN AMELINA FAZLIE,PH,PKR,7089,15.150997029216269,003,ARAU,Perlis,46789,M,1,447,0.0
241,2022,SUHAIMI ABDULLAH,PN,BERSATU,25463,53.62889637742207,004,LANGKAWI,Kedah,47480,F,1,294.0,1.0
243,2022,ARMISHAH SIRAJ,BN,UMNO,11945,25.157961246840774,004,LANGKAWI,Kedah,47480,F,1,125.0,0.0
244,2022,ZABIDI YAHYA,PH,AMANAH,5417,11.409014321819713,004,LANGKAWI,Kedah,47480,F,1,248.0,0.0
242,2022,MAHATHIR MOHAMAD,GTA,PEJUANG,4566,9.616680707666386,004,LANGKAWI,Kedah,47480,F,1,15.0,0.0
240,2022,ABD KADIR,,IND,89,0.18744734625105308,004,LANGKAWI,Kedah,47480,F,1,213.0,0.0
521,2022,ABD GHANI AHMAD,PN,PAS,31685,60.691095063880326,005,JERLUN,Kedah,52207,F,1,437,1.0
524,2022,OTHMAN AZIZ,BN,UMNO,11229,21.50860995651924,005,JERLUN,Kedah,52207,F,1,349,0.0
523,2022,FADZIL ALI MOHD ALI,PH,PKR,6149,11.778114046009156,005,JERLUN,Kedah,52207,F,1,625,0.0
522,2022,MUKHRIZ MAHATHIR,GTA,PEJUANG,3144,6.022180933591281,005,JERLUN,Kedah,52207,F,1,159,0.0
11,2022,KU ABD RAHMAN KU ISMAIL,PN,BERSATU,47584,57.053787678952546,006,KUBANG PASU,Kedah,83402,F,1,535.0,1.0
12,2022,MOHD AIZUDDIN ARIFFIN,PH,PKR,16000,19.1841922256061,006,KUBANG PASU,Kedah,83402,F,1,238.0,0.0
14,2022,HASMUNI HASSAN,BN,UMNO,14489,17.372485072300424,006,KUBANG PASU,Kedah,83402,F,1,161.0,0.0
13,2022,AMIRUDDIN HAMZAH,GTA,PEJUANG,5329,6.389535023140932,006,KUBANG PASU,Kedah,83402,F,1,838.0,0.0
118,2022,NURUL AMIN HAMID,PN,PAS,28217,58.02504678278394,007,PADANG TERAP,Kedah,48629,F,1,75.0,1.0
