,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,voter_turnout_percentage,parliament_code_digits,constituency,state,ethnicity_B/P Sabah,ethnicity_B/P Sarawak,ethnicity_Chinese,ethnicity_Indian,ethnicity_Malay,ethnicity_Orang Asli (Pen. Msia),ethnicity_Others,ethnicity_Muslim bumiputra
0,48522,2045,586,0.0,39733,81.9,126,JELEBU,NegriSembilan,0.25,0.15,24.13,5.69,65.01,4.58,0.19,0.0
1,72122,1631,1025,0.0,58523,81.1,127,JEMPOL,NegriSembilan,0.06,0.05,23.24,12.31,63.35,0.77,0.21,0.0
2,110168,30694,1052,0.0,93254,84.6,128,SEREMBAN,NegriSembilan,0.19,0.13,36.75,13.25,48.39,0.7,0.58,0.0
3,49801,200,769,0.0,0,0.0,129,KUALA PILAH,NegriSembilan,0.07,0.1,15.84,4.86,77.01,1.89,0.23,0.0
4,102838,46867,303,0.0,86655,84.3,130,RASAH,NegriSembilan,0.18,0.21,47.79,20.95,29.65,0.41,0.8,0.0
5,88365,4364,1053,0.0,75315,85.2,131,REMBAU,NegriSembilan,0.12,0.13,10.31,15.4,73.32,0.39,0.34,0.0
6,75212,17710,948,0.0,62548,83.2,132,PORT DICKSON,NegriSembilan,0.63,0.93,33.11,21.97,42.72,0.19,0.46,0.0
7,60765,1002,850,0.0,49515,81.5,133,TAMPIN,NegriSembilan,0.38,0.99,23.55,11.82,62.83,0.14,0.29,0.0
8,32048,597,790,0.0,25326,79.0,078,CAMERON HIGHLANDS,Pahang,0.12,0.06,29.48,14.91,33.5,21.56,0.37,0.0
9,35294,6569,462,0.0,28666,81.2,079,LIPIS,Pahang,0.05,0.07,15.64,5.23,78.02,0.77,0.22,0.0
10,57723,3159,766,0.0,46971,81.4,080,RAUB,Pahang,0.05,0.06,38.11,6.15,52.07,3.25,0.32,0.0
11,63609,5908,941,0.0,51414,80.8,081,JERANTUT,Pahang,0.06,0.05,13.02,2.63,81.76,2.24,0.23,0.0
12,77208,10950,622,0.0,64612,83.7,082,INDERA MAHKOTA,Pahang,0.27,0.16,26.89,5.68,66.62,0.04,0.33,0.0
13,62696,8111,798,0.0,52167,83.2,083,KUANTAN,Pahang,0.11,0.09,29.58,3.34,66.39,0.17,0.32,0.0
14,55135,5742,671,0.0,44942,81.5,084,PAYA BESAR,Pahang,0.06,0.07,12.86,1.94,83.36,1.4,0.32,0.0
15,88899,24859,1393,0.0,72308,81.3,085,PEKAN,Pahang,0.23,0.48,2.01,0.82,87.79,7.86,0.81,0.0
16,41036,3763,482,0.0,33363,81.3,086,MARAN,Pahang,0.05,0.05,6.16,1.45,90.16,1.83,0.3,0.0
17,47264,2876,613,0.0,39102,82.7,087,KUALA KRAU,Pahang,0.04,0.05,2.77,2.29,89.86,4.78,0.21,0.0
18,75081,1904,865,0.0,62204,82.8,088,TEMERLOH,Pahang,0.29,0.61,22.52,8.11,66.47,1.25,0.75,0.0
19,67359,2032,783,0.0,56173,83.4,089,BENTONG,Pahang,0.09,0.17,41.69,9.16,46.5,2.08,0.31,0.0
20,58711,2311,767,0.0,48339,82.3,090,BERA,Pahang,0.2,0.17,29.17,3.71,61.89,4.59,0.28,0.0
21,61918,11395,917,0.0,50905,82.2,091,ROMPIN,Pahang,0.08,0.06,2.31,1.03,87.71,8.45,0.35,0.0
22,55350,5476,726,0.0,46170,83.4,140,SEGAMAT,Johor,0.3,0.32,42.77,10.09,46.19,0.1,0.23,0.0
23,45596,1281,558,0.0,38527,84.5,141,SEKIJANG,Johor,0.03,0.05,36.15,4.0,59.24,0.18,0.35,0.0
24,40356,3408,485,0.0,32593,80.8,142,LABIS,Johor,0.07,0.05,44.94,14.68,37.98,2.04,0.24,0.0
25,51512,6927,693,0.0,43667,84.8,143,PAGOH,Johor,0.04,0.04,29.76,3.72,65.96,0.34,0.15,0.0
26,77474,8666,1048,0.0,66708,86.1,144,LEDANG,Johor,0.06,0.04,39.03,4.57,55.76,0.36,0.19,0.0
27,73883,23211,631,0.0,62632,84.8,145,BAKRI,Johor,0.08,0.07,53.14,2.15,44.23,0.0,0.32,0.0
