,year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes,gender,results_added
0,2022 Incumbents,ROZMAN ISLI,,WARISAN,0,0,166-000,LABUAN,Sabah,1,0,,0
1,2022 Incumbents,NAJIB ABDUL RAZAK,BN,UMNO,0,0,085-000,PEKAN,Pahang,1,0,,0
2,2022 Incumbents,AMIRUDDIN HAMZAH,GTA,PEJUANG,0,0,006-000,KUBANG PASU,Kedah,1,0,,0
3,2022 Incumbents,MANSOR OTHMAN,PN,BERSATU,0,0,047-000,NIBONG TEBAL,Penang,1,0,,0
4,2022 Incumbents,NIK MUHAMMAD ZAWAWI SALLEH,PN,PAS,0,0,028-000,PASIR PUTEH,Kelantan,1,0,,0
5,2022 Incumbents,STEVEN CHOONG SHIAU YOON,,PBM,0,0,158-000,TEBRAU,Johor,1,0,,0
6,2022 Incumbents,AHMAD ZAHID HAMIDI,BN,UMNO,0,0,075-000,BAGAN DATUK,Perak,1,0,,0
7,2022 Incumbents,MOHD SHAHAR ABDULLAH,BN,UMNO,0,0,084-000,PAYA BESAR,Pahang,1,0,,0
8,2022 Incumbents,RUSNAH ALUAI,PH,PKR,0,0,136-000,TANGGA BATU,Melaka,1,0,,0
9,2022 Incumbents,SYED ABU HUSSIN HAFIZ SYED ABDUL FASAL,PN,BERSATU,0,0,059-000,BUKIT GANTANG,Perak,1,0,,0
10,2022 Incumbents,P PRABAKARAN,PH,PKR,0,0,115-000,BATU,KL,1,0,,0
11,2022 Incumbents,MASTURA MOHD YAZID,BN,UMNO,0,0,067-000,KUALA KANGSAR,Perak,1,0,,0
12,2022 Incumbents,MOHAMAD SABU,PH,AMANAH,0,0,111-000,KOTA RAJA,Selangor,1,0,,0
13,2022 Incumbents,ABDUL LATIFF ABDUL RAHMAN,PN,PAS,0,0,031-000,KUALA KRAI,Kelantan,1,0,,0
14,2022 Incumbents,SAIFUDDIN NASUTION ISMAIL,PH,PKR,0,0,018-000,KULIM-BANDAR BAHARU,Kedah,1,0,,0
15,2022 Incumbents,MOHD SALIM SHARIF,BN,UMNO,0,0,127-000,JEMPOL,Negeri Sembilan,1,0,,0
16,2022 Incumbents,M KULASEGARAN,PH,DAP,0,0,065-000,IPOH BARAT,Perak,1,0,,0
17,2022 Incumbents,TAN KOK WAI,PH,DAP,0,0,123-000,CHERAS,KL,1,0,,0
18,2022 Incumbents,AWANG HASHIM,PN,PAS,0,0,011-000,PENDANG,Kedah,1,0,,0
19,2022 Incumbents,MOHD FASIAH MOHD FAKEH,PN,BERSATU,0,0,092-000,SABAK BERNAM,Selangor,1,0,,0
