,parliament_type,state,seat_name,seat_id,parliament_code,name,party
0,parliament,PERLIS,PADANG BESAR,1,P.001,RUSHDAN BIN RUSMI,PERIKATAN NASIONAL (PN)
1,parliament,PERLIS,PADANG BESAR,1,P.001,KO CHU LIANG,PARTI WARISAN SABAH (WARISAN)
2,parliament,PERLIS,PADANG BESAR,1,P.001,ZAHIDI BIN ZAINUL ABIDIN,BEBAS (BUKU)
3,parliament,PERLIS,PADANG BESAR,1,P.001,ZAHIDA BINTI ZARIK KHAN,BARISAN NASIONAL (BN)
4,parliament,PERLIS,PADANG BESAR,1,P.001,KAPT (B) HJ MOHAMAD YAHAYA,PAKATAN HARAPAN (PH)
5,parliament,PERLIS,KANGAR,2,P.002,CIKGU ZAKRI,PERIKATAN NASIONAL (PN)
6,parliament,PERLIS,KANGAR,2,P.002,DR FATHUL BARI,BARISAN NASIONAL (BN)
7,parliament,PERLIS,KANGAR,2,P.002,PROF. DR. ROHIMI SHAPIEE,PARTI WARISAN SABAH (WARISAN)
8,parliament,PERLIS,KANGAR,2,P.002,AMIN AHMAD,PAKATAN HARAPAN (PH)
9,parliament,PERLIS,KANGAR,2,P.002,USTAZ NUR SULAIMAN,PARTI PEJUANG TANAHAIR (PEJUANG)
10,parliament,PERLIS,ARAU,3,P.003,FATHIN AMELINA,PAKATAN HARAPAN (PH)
11,parliament,PERLIS,ARAU,3,P.003,SHAHIDAN BIN KASSIM,PERIKATAN NASIONAL (PN)
12,parliament,PERLIS,ARAU,3,P.003,ROZABIL @ TOK BEN,BARISAN NASIONAL (BN)
13,parliament,KEDAH,LANGKAWI,4,P.004,DATO PADUKA ABD KADIR,BEBAS (KAPAL TERBANG)
14,parliament,KEDAH,LANGKAWI,4,P.004,MOHD SUHAIMI BIN ABDULLAH,PERIKATAN NASIONAL (PN)
15,parliament,KEDAH,LANGKAWI,4,P.004,MAHATHIR BIN MOHAMAD,PARTI PEJUANG TANAHAIR (PEJUANG)
16,parliament,KEDAH,LANGKAWI,4,P.004,DATO' ARMISHAH SIRAJ (DAS),BARISAN NASIONAL (BN)
17,parliament,KEDAH,LANGKAWI,4,P.004,ZABIDI YAHYA,PAKATAN HARAPAN (PH)
18,parliament,KEDAH,JERLUN,5,P.005,DR. ABD GHANI AHMAD,PERIKATAN NASIONAL (PN)
19,parliament,KEDAH,JERLUN,5,P.005,DATO' SERI UTAMA MUKHRIZ MAHATHIR,PARTI PEJUANG TANAHAIR (PEJUANG)
20,parliament,KEDAH,JERLUN,5,P.005,DR. MOHAMED FADZIL MOHD ALI,PAKATAN HARAPAN (PH)
21,parliament,KEDAH,JERLUN,5,P.005,OTHMAN BIN AZIZ,BARISAN NASIONAL (BN)
22,parliament,KEDAH,KUBANG PASU,6,P.006,DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,PERIKATAN NASIONAL (PN)
23,parliament,KEDAH,KUBANG PASU,6,P.006,AIZUDDIN ARIFFIN,PAKATAN HARAPAN (PH)
24,parliament,KEDAH,KUBANG PASU,6,P.006,AMIRUDDIN HAMZAH (TOK MET),PARTI PEJUANG TANAHAIR (PEJUANG)
25,parliament,KEDAH,KUBANG PASU,6,P.006,HASMUNI BIN HASSAN (TOK MUNI),BARISAN NASIONAL (BN)
26,parliament,KEDAH,PADANG TERAP,7,P.007,RAZALI BIN LEBAI SALLEH,PARTI PEJUANG TANAHAIR (PEJUANG)
27,parliament,KEDAH,PADANG TERAP,7,P.007,MAHDZIR BIN KHALID,BARISAN NASIONAL (BN)
28,parliament,KEDAH,PADANG TERAP,7,P.007,MUAZ ABDULLAH,PAKATAN HARAPAN (PH)
29,parliament,KEDAH,PADANG TERAP,7,P.007,USTAZ NURUL AMIN,PERIKATAN NASIONAL (PN)
30,parliament,KEDAH,POKOK SENA,8,P.008,NORAINI BINTI MD SALLEH,PARTI WARISAN SABAH (WARISAN)
31,parliament,KEDAH,POKOK SENA,8,P.008,DATO' AHMAD YAHAYA,PERIKATAN NASIONAL (PN)
32,parliament,KEDAH,POKOK SENA,8,P.008,NORAN ZAMINI BIN JAMALUDDIN,BARISAN NASIONAL (BN)
33,parliament,KEDAH,POKOK SENA,8,P.008,DATO' WIRA HJ MAHFUZ OMAR,PAKATAN HARAPAN (PH)
34,parliament,KEDAH,ALOR SETAR,9,P.009,NUHAIRI RAHMAT,PARTI PEJUANG TANAHAIR (PEJUANG)
35,parliament,KEDAH,ALOR SETAR,9,P.009,AFNAN HAMIMI BIN DATO' HAJI TAIB AZAMUDDEN,PERIKATAN NASIONAL (PN)
36,parliament,KEDAH,ALOR SETAR,9,P.009,FADZIL BIN HANAFI,PARTI WARISAN SABAH (WARISAN)
37,parliament,KEDAH,ALOR SETAR,9,P.009,SIMON OOI TZE MIN,PAKATAN HARAPAN (PH)
