,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,voter_turnout_percentage,parliament_code_digits,constituency,state,ethnicity_B/P Sabah,ethnicity_B/P Sarawak,ethnicity_Chinese,ethnicity_Indian,ethnicity_Malay,ethnicity_Orang Asli (Pen. Msia),ethnicity_Others,ethnicity_Muslim bumiputra
0,10111,142,182,0,8018,79.3,001-001,TITI TINGGI (P1),Perlis,0.08,0.14,19.29,2.13,77.83,0.01,0.53,0.0
1,8914,416,128,0,7027,78.8,001-002,BESERI (P1),Perlis,0.08,0.21,16.83,0.74,81.33,0.0,0.81,0.0
2,10542,1367,221,0,8624,81.8,001-003,CHUPING (P1),Perlis,0.01,0.02,1.98,0.58,85.78,0.0,11.63,0.0
3,7617,720,146,0,6339,83.2,001-004,MATA AYER (P1),Perlis,1.58,3.61,2.59,0.7,90.77,0.08,0.68,0.0
4,8912,949,102,0,0,0.0,001-005,SANTAN (P1),Perlis,0.03,0.02,0.44,0.1,99.28,0.0,0.12,0.0
5,12136,847,198,0,10064,82.9,002-006,BINTONG (P2),Perlis,0.06,0.04,2.51,1.18,95.99,0.0,0.22,0.0
6,12303,314,116,0,10113,82.2,002-007,SENA (P2),Perlis,0.12,0.16,8.02,2.72,86.52,0.01,2.45,0.0
7,11018,3177,114,0,8857,80.4,002-008,INDERA KAYANGAN (P2),Perlis,0.07,0.07,43.94,3.79,50.62,0.0,1.51,0.0
8,10654,1254,144,0,8496,79.7,002-009,KUALA PERLIS (P2),Perlis,0.02,0.09,20.53,0.11,78.74,0.0,0.51,0.0
9,9827,435,163,0,8166,83.1,002-010,KAYANG (P2),Perlis,0.09,0.07,2.01,0.33,96.14,0.0,1.35,0.0
10,11200,143,196,0,9310,83.1,003-011,PAUH (P3),Perlis,0.25,0.13,14.63,5.76,77.58,0.0,1.65,0.0
11,10535,1180,148,0,8915,84.6,003-012,TAMBUN TULANG (P3),Perlis,0.06,0.08,4.45,0.68,83.76,0.02,10.95,0.0
12,9233,328,103,0,7725,83.7,003-013,GUAR SANJI (P3),Perlis,0.04,0.04,2.04,0.38,97.36,0.01,0.13,0.0
13,8547,82,121,0,7704,90.1,003-014,SIMPANG EMPAT (P3),Perlis,0.04,0.02,8.82,0.33,90.62,0.0,0.18,0.0
14,8672,42,116,0,7408,85.4,003-015,SANGLANG (P3),Perlis,0.03,0.03,7.39,0.15,92.2,0.0,0.18,0.0
15,15369,2375,307,0,0,0.0,054-001,PENGKALAN HULU (P54),Perak,0.63,0.87,8.59,5.3,74.05,3.73,6.83,0.0
