,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,vote_share_of_registered_voters,winner,total_votes
0,Mordi Bimol,PH,DAP,12771,56.71462829736211,192,MAS GADING,Sarawak,43.1,1,22518
1,Nogeh Gumbek,BN,PDP,9747,43.28537170263789,192,MAS GADING,Sarawak,32.9,0,22518
2,Wan Junaidi Tuanku Jaafar,BN,PBB,26379,79.28049770083852,193,SANTUBONG,Sarawak,57.8,1,33273
3,Mohamad Fidzuan Zaidi,PH,AMANAH,6894,20.719502299161483,193,SANTUBONG,Sarawak,15.1,0,33273
4,Fadillah Yusof,BN,PBB,28306,65.91221329607637,194,PETRA JAYA,Sarawak,48.9,1,42945
5,Nor Irwan Ahmat Nor,PH,PKR,13289,30.94423099313075,194,PETRA JAYA,Sarawak,22.9,0,42945
6,Hamdan Sani,,PAS,1350,3.1435557107928744,194,PETRA JAYA,Sarawak,2.3,0,42945
7,Kelvin Yii Lee Wuen,PH,DAP,48548,79.42672970894753,195,BANDAR KUCHING,Sarawak,59.3,1,61123
8,Kho Teck Wan,BN,SUPP,12575,20.573270291052467,195,BANDAR KUCHING,Sarawak,15.4,0,61123
9,Chong Chieng Jen,PH,DAP,33060,63.70064933813754,196,STAMPIN,Sarawak,49.9,1,51899
10,Sim Kui Hian,BN,SUPP,18839,36.29935066186246,196,STAMPIN,Sarawak,28.4,0,51899
11,Rubiah Wang,BN,PBB,25070,69.89711991524243,197,KOTA SAMARAHAN,Sarawak,54.1,1,35867
12,Sopian Julaihi,PH,AMANAH,8078,22.52209551955837,197,KOTA SAMARAHAN,Sarawak,17.4,0,35867
13,Zulkipli Ramzi,,PAS,2719,7.580784565199208,197,KOTA SAMARAHAN,Sarawak,5.9,0,35867
14,Willie Mongin,PH,PKR,18865,54.649478563151796,198,PUNCAK BORNEO,Sarawak,40.9,1,34520
15,Genot Sinel @ Jeannoth Sinel,BN,PBB,14860,43.04750869061414,198,PUNCAK BORNEO,Sarawak,32.2,0,34520
16,Buln Patrick Ribos,,S'wak STAR,795,2.3030127462340673,198,PUNCAK BORNEO,Sarawak,1.7,0,34520
17,Richard Riot Jaem,BN,SUPP,17545,63.98847514497246,199,SERIAN,Sarawak,46.6,1,27419
18,Edward Andrew Luwak @ Edward Luwak,PH,DAP,7640,27.863890003282396,199,SERIAN,Sarawak,20.3,0,27419
19,Senior William Rade,,IND,2234,8.14763485174514,199,SERIAN,Sarawak,5.9,0,27419
