,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,vote_share_of_registered_voters,winner,total_votes
0,Mohammad Mohamarin,,WARISAN,3613,47.79100529100529,167-001,BANGGI (P167),Sabah,32.7,1,7560
1,Abd Mijul Unaini,BN,UMNO,3234,42.77777777777778,167-001,BANGGI (P167),Sabah,29.3,0,7560
2,Norlaji Amir Hassan,,Sabah STAR,367,4.854497354497354,167-001,BANGGI (P167),Sabah,3.3,0,7560
3,Abidula Amsana,,PHRS,198,2.619047619047619,167-001,BANGGI (P167),Sabah,1.8,0,7560
4,Kusugan Ali,,PPRS,105,1.3888888888888888,167-001,BANGGI (P167),Sabah,0.9,0,7560
5,Abdul Nasir Jamaluddin,,PKS,43,0.5687830687830688,167-001,BANGGI (P167),Sabah,0.4,0,7560
6,Chong Chen Bin,,WARISAN,9124,54.30952380952381,167-002,TANJONG KAPOR (P167),Sabah,38.1,1,16800
7,Teo Chee Kang,BN,LDP,6132,36.5,167-002,TANJONG KAPOR (P167),Sabah,25.6,0,16800
8,Aliasgar Omolong,,PAS,617,3.6726190476190474,167-002,TANJONG KAPOR (P167),Sabah,2.6,0,16800
9,Tsen Chou Yin @ Thomas Tsen Chau Yin,,PCS,481,2.863095238095238,167-002,TANJONG KAPOR (P167),Sabah,2.0,0,16800
10,Allaidly Poyon,,PPRS,446,2.6547619047619047,167-002,TANJONG KAPOR (P167),Sabah,1.9,0,16800
11,Bolkiah Ismail,BN,UMNO,5606,44.39692721945038,167-003,PITAS (P167),Sabah,32.5,1,12627
12,Maklin Masiau,,WARISAN,4324,34.24408014571949,167-003,PITAS (P167),Sabah,25.0,0,12627
13,Bakir Mancaing,,PHRS,1527,12.093133760988358,167-003,PITAS (P167),Sabah,8.8,0,12627
14,Ramlah Nasir,,PKS,508,4.02312504949711,167-003,PITAS (P167),Sabah,2.9,0,12627
15,Pransol Tiying,,PKAN,400,3.167814999604023,167-003,PITAS (P167),Sabah,2.3,0,12627
16,Dausieh Queck @ Paraman,,PAS,262,2.074918824740635,167-003,PITAS (P167),Sabah,1.5,0,12627
17,Julita Mojungki,BN,PBS,6946,41.795535230759974,168-004,MATUNGGONG (P168),Sabah,30.3,1,16619
18,Sazalye Donol Abdullah,PH,PKR,5259,31.644503279379023,168-004,MATUNGGONG (P168),Sabah,23.0,0,16619
19,Marunsai Dawai,,Sabah STAR,2968,17.859076960105902,168-004,MATUNGGONG (P168),Sabah,13.0,0,16619
20,Jornah Mozihim,,PCS,1348,8.111198026355376,168-004,MATUNGGONG (P168),Sabah,5.9,0,16619
21,Rahim Madhakong,,PKS,98,0.5896865033997232,168-004,MATUNGGONG (P168),Sabah,0.4,0,16619
22,Lasiah Baranting @ Anita,BN,UMNO,8877,51.20558375634518,168-005,TANDEK (P168),Sabah,36.8,1,17336
23,Baintin Adun,,WARISAN,4285,24.71735117674204,168-005,TANDEK (P168),Sabah,17.8,0,17336
24,Joel Masilung,,Sabah STAR,3621,20.88717120443009,168-005,TANDEK (P168),Sabah,15.0,0,17336
25,Johnson Assan @ Johnson Gaban,,PCS,553,3.189893862482695,168-005,TANDEK (P168),Sabah,2.3,0,17336
