,year,state,constituency,parliament_code_digits,EligibleVoters,MalayVoters,ChineseVoters,IndianVoters,OtherVoters,BumiMuslimVoters,BumiNonmuslimVoters,SabahBumiVoters,Early,Postal,Spoilt,Turnout,Unreturned
0,2004,Perlis,KANGAR,002,40516,79,18,2,1,0,0,0,0,0,548,32996,99
1,2004,Perlis,ARAU,003,38067,87,9,2,2,0,0,0,0,0,533,32062,38
2,2004,Kedah,LANGKAWI,004,27980,90,7,3,0,0,0,0,0,0,560,22844,36
3,2004,Kedah,JERLUN,005,44148,90,9,0,1,0,0,0,0,0,718,36822,0
4,2004,Kedah,PENDANG,011,57180,88,7,1,5,0,0,0,0,0,383,49193,0
5,2004,Kedah,JERAI,012,63886,77,16,6,0,0,0,0,0,0,1015,50918,0
6,2004,Kedah,SIK,013,37036,92,2,1,5,0,0,0,0,0,1287,31682,0
7,2004,Kedah,MERBOK,014,57922,63,19,18,1,0,0,0,0,0,1142,44911,70
8,2004,Kedah,BALING,016,74698,87,6,5,1,0,0,0,0,0,1109,62202,0
9,2004,Kelantan,TUMPAT,019,70810,92,3,1,4,0,0,0,0,0,1072,55090,0
10,2004,Kelantan,BACHOK,025,55319,98,1,0,0,0,0,0,0,0,893,48009,0
11,2004,Kelantan,KETEREH,026,46493,97,2,0,1,0,0,0,0,0,751,37911,276
12,2004,Kelantan,MACHANG,029,43874,95,5,0,0,0,0,0,0,0,599,35392,0
13,2004,Kelantan,JELI,030,32729,99,0,0,1,0,0,0,0,0,394,26961,0
14,2004,Terengganu,BESUT,033,51284,98,2,0,0,0,0,0,0,0,683,44357,0
15,2004,Terengganu,SETIU,034,48161,99,1,0,0,0,0,0,0,0,714,40176,236
16,2004,Terengganu,MARANG,037,64367,98,2,0,0,0,0,0,0,0,866,56855,331
17,2004,Terengganu,DUNGUN,039,55711,95,5,0,0,0,0,0,0,0,708,48608,1
18,2004,Terengganu,KEMAMAN,040,66416,91,8,1,1,0,0,0,0,0,1036,58188,273
19,2004,Penang,BAGAN,043,57322,15,71,14,0,0,0,0,0,0,961,43542,13
20,2004,Penang,TANJONG,049,57902,5,86,9,0,0,0,0,0,0,717,39793,0
21,2004,Penang,JELUTONG,050,59641,20,68,12,0,0,0,0,0,0,1002,43538,30
22,2004,Perak,GRIK,054,24646,67,20,5,8,0,0,0,0,0,759,18702,1098
23,2004,Perak,LENGGONG,055,23159,78,18,2,1,0,0,0,0,0,295,16531,20
24,2004,Perak,LARUT,056,40150,86,7,7,0,0,0,0,0,0,756,31393,78
25,2004,Perak,TAIPING,060,65046,32,53,14,1,0,0,0,0,0,1337,44821,1027
26,2004,Perak,TAMBUN,063,65219,63,24,12,1,0,0,0,0,0,1280,47568,4
27,2004,Perak,BERUAS,068,42173,32,55,13,0,0,0,0,0,0,1102,28272,1
28,2004,Perak,PARIT,069,28916,91,4,4,1,0,0,0,0,0,483,21403,129
29,2004,Perak,KAMPAR,070,60874,26,64,10,1,0,0,0,0,0,1542,38326,0
30,2004,Perak,GOPENG,071,68466,42,48,9,1,0,0,0,0,0,1323,46383,831
31,2004,Perak,TAPAH,072,38899,44,34,13,9,0,0,0,0,0,956,25260,421
32,2004,Perak,LUMUT,074,68522,47,41,11,1,0,0,0,0,0,1477,44693,5
33,2004,Pahang,LIPIS,079,28083,73,20,7,1,0,0,0,0,0,528,20875,231
34,2004,Pahang,RAUB,080,44523,48,44,7,2,0,0,0,0,0,1280,32540,75
35,2004,Pahang,JERANTUT,081,46059,80,15,3,1,0,0,0,0,0,776,36444,1
36,2004,Pahang,KUANTAN,083,45935,58,37,5,1,0,0,0,0,0,543,34290,246
37,2004,Pahang,PEKAN,085,52687,89,3,2,6,0,0,0,0,0,56,41046,0
