,year,state,constituency,parliament_code_digits,EligibleVoters,MalayVoters,ChineseVoters,IndianVoters,OtherVoters,BumiMuslimVoters,BumiNonmuslimVoters,SabahBumiVoters,Early,Postal,Spoilt,Turnout,Unreturned
0,2004,Perlis,BESERI,001-002,6645,75,23,1,1,0,0,0,0,0,109,5222,0
1,2004,Perlis,CHUPING,001-003,7802,85,4,2,10,0,0,0,0,0,122,6797,1
2,2004,Perlis,SANTAN,001-005,7008,99,1,0,0,0,0,0,0,0,73,6063,0
3,2004,Perlis,BINTONG,002-006,7850,96,3,1,0,0,0,0,0,0,107,6757,6
4,2004,Perlis,SENA,002-007,7979,82,11,4,3,0,0,0,0,0,72,6496,6
5,2004,Perlis,KAYANG,002-010,7349,95,3,1,2,0,0,0,0,0,118,6256,55
6,2004,Perlis,PAUH,003-011,7601,75,18,6,2,0,0,0,0,0,179,6184,0
7,2004,Perlis,SANGLANG,003-015,7700,90,9,0,0,0,0,0,0,0,11,6408,0
8,2004,Kedah,KUAH,004-002,12767,85,13,2,0,0,0,0,0,0,197,10186,34
9,2004,Kedah,JITRA,006-006,26131,81,12,6,1,0,0,0,0,0,372,21269,59
10,2004,Kedah,PEDU,007-008,15646,87,1,1,11,0,0,0,0,0,188,13657,0
11,2004,Kedah,DERGA,008-011,21254,53,42,5,0,0,0,0,0,0,185,15677,0
12,2004,Kedah,TOKAI,011-018,29254,90,10,0,0,0,0,0,0,0,222,25623,19
13,2004,Kedah,GURUN,012-022,21081,53,29,18,0,0,0,0,0,0,685,15808,0
14,2004,Kedah,BELANTEK,013-023,17314,93,3,1,4,0,0,0,0,0,212,14781,6
15,2004,Kedah,JENERI,013-024,19722,92,2,1,6,0,0,0,0,0,280,16902,11
16,2004,Kedah,SIDAM,015-029,19848,35,45,20,1,0,0,0,0,0,359,14799,0
17,2004,Kedah,BAYU,016-030,27583,91,6,1,2,0,0,0,0,0,293,23215,55
18,2004,Kedah,KUPANG,016-031,24659,89,5,4,1,0,0,0,0,0,296,20432,22
19,2004,Kedah,LUNAS,017-034,27967,44,31,24,1,0,0,0,0,0,418,22615,0
20,2004,Kedah,KULIM,018-035,27147,60,25,16,0,0,0,0,0,0,640,20269,509
21,2004,Kelantan,KELABORAN,019-002,17052,87,3,1,8,0,0,0,0,0,170,13301,78
22,2004,Kelantan,KIJANG,020-005,14022,96,4,0,0,0,0,0,0,0,146,11096,30
23,2004,Kelantan,CHEMPAKA,020-006,15229,99,1,0,0,0,0,0,0,0,288,12372,35
24,2004,Kelantan,PANCHOR,020-007,15593,98,2,1,0,0,0,0,0,0,188,12349,143
25,2004,Kelantan,TENDONG,022-011,16525,98,2,0,0,0,0,0,0,0,269,13184,0
26,2004,Kelantan,CHETOK,022-013,17600,95,5,0,0,0,0,0,0,0,258,13686,0
27,2004,Kelantan,MERANTI,023-014,13695,99,0,0,1,0,0,0,0,0,163,10248,25
28,2004,Kelantan,SALOR,024-017,15340,98,2,0,0,0,0,0,0,0,415,12564,0
29,2004,Kelantan,DEMIT,024-019,18074,98,2,0,0,0,0,0,0,0,458,14816,0
30,2004,Kelantan,TAWANG,025-020,18382,99,1,0,0,0,0,0,0,0,209,15527,265
31,2004,Kelantan,PERUPOK,025-021,18264,97,2,0,1,0,0,0,0,0,238,15110,33
32,2004,Kelantan,JELAWAT,025-022,18673,98,1,0,0,0,0,0,0,0,279,15590,40
33,2004,Kelantan,MELOR,026-023,16789,96,3,0,1,0,0,0,0,0,182,13520,26
34,2004,Kelantan,KADOK,026-024,12435,98,2,0,0,0,0,0,0,0,121,10012,3
35,2004,Kelantan,KEMAHANG,027-028,9084,99,0,0,1,0,0,0,0,0,90,7540,52
36,2004,Kelantan,SELISING,028-029,13993,99,1,0,0,0,0,0,0,0,177,11348,0
37,2004,Kelantan,LIMBONGAN,028-030,17251,96,4,0,1,0,0,0,0,0,210,13744,0
38,2004,Kelantan,SEMERAK,028-031,13993,97,1,0,2,0,0,0,0,0,181,11672,0
