,party_code,name,votes,majority,year,state,constituency,parliament_code_digits,NameBallot,winner,total_votes,vote_share
0,UMNO,DATUK RADZI SHEIKH AHMAD,22498,12548.0,2004,Perlis,KANGAR,002,,1,32448,69.33555226824457
1,PAS,ISHAR SAAD,9950,0.0,2004,Perlis,KANGAR,002,,0,32448,30.664447731755423
2,UMNO,DATUK SERI SYED RAZLAN SYED PUTRA JAMALULLAIL,17367,3243.0,2004,Perlis,ARAU,003,,1,31491,55.14909021625226
3,PAS,DATUK DR HARON DIN,14124,0.0,2004,Perlis,ARAU,003,,0,31491,44.85090978374774
4,UMNO,DATUK ABU BAKAR TAIB,16510,10772.0,2004,Kedah,LANGKAWI,004,,1,22248,74.2089176555196
5,PAS,ZUBIR AHMAD,5738,0.0,2004,Kedah,LANGKAWI,004,,0,22248,25.791082344480404
6,UMNO,DATUK ABDUL RAHMAN ARIFFIN,19123,2142.0,2004,Kedah,JERLUN,005,,1,36104,52.96643031243075
7,PAS,IDRIS AHMAD,16981,0.0,2004,Kedah,JERLUN,005,,0,36104,47.03356968756925
8,PAS,DR MOHD HAYATI OTHMAN,24430,50.0,2004,Kedah,PENDANG,011,,1,48810,50.05121901249744
9,UMNO,MD ROZAI SHAFIAN,24380,0.0,2004,Kedah,PENDANG,011,,0,48810,49.94878098750256
10,UMNO,DATUK BADRUDDIN AMIRUDIN,30154,10405.0,2004,Kedah,JERAI,012,,1,49903,60.42522493637657
11,PAS,CHE BIN ARSHAD,19749,0.0,2004,Kedah,JERAI,012,,0,49903,39.57477506362343
12,UMNO,DATUK DR WAN AZMI WAN ARIFFIN,15357,319.0,2004,Kedah,SIK,013,,1,30395,50.52475736140813
13,PAS,AZIZAN ABDUL RAZAK,15038,0.0,2004,Kedah,SIK,013,,0,30395,49.47524263859187
14,UMNO,DATUK ZAINUDDIN MAIDIN,29607,15445.0,2004,Kedah,MERBOK,014,,1,43769,67.64376613584957
15,PKR,SAIFUL IZHAM RAMLI,14162,0.0,2004,Kedah,MERBOK,014,,0,43769,32.356233864150425
16,UMNO,DATUK DR MASHITAH IBRAHIM,32661,4229.0,2004,Kedah,BALING,016,,1,61093,53.46111665820961
17,PAS,TAIB AZAMUDDEN MD TAIB,28432,0.0,2004,Kedah,BALING,016,,0,61093,46.53888334179039
