,party_code,name,votes,majority,year,state,constituency,parliament_code_digits,NameBallot,winner,total_votes,vote_share
0,MCA,LOH YOON FOO,3668,2192.0,2004,Perlis,TITI TINGGI,001-001,,1,5144,71.30637636080871
1,PKR,KO CHU LIANG,1476,0.0,2004,Perlis,TITI TINGGI,001-001,,0,5144,28.69362363919129
2,UMNO,DATUK ZAHIDI ZAINUL ABIDIN,3492,1871.0,2004,Perlis,BESERI,001-002,,1,5113,68.29649911989047
3,PAS,MOHD ANUAR MOHD TAHIR,1621,0.0,2004,Perlis,BESERI,001-002,,0,5113,31.703500880109523
4,UMNO,MANSOR JUSOH,4632,2590.0,2004,Perlis,CHUPING,001-003,,1,6674,69.40365597842373
5,PAS,MOHD ALI PUTEH,2042,0.0,2004,Perlis,CHUPING,001-003,,0,6674,30.596344021576265
6,UMNO,KHAIRI HASSAN,3041,1603.0,2004,Perlis,MATA AYER,001-004,,1,4479,67.89461933467292
7,PAS,SUWARDI YAACOB,1438,0.0,2004,Perlis,MATA AYER,001-004,,0,4479,32.10538066532708
8,UMNO,SABRY AHMAD,3284,578.0,2004,Perlis,SANTAN,001-005,,1,5990,54.82470784641068
9,PAS,ZOLKHARNAIN ABIDIN,2706,0.0,2004,Perlis,SANTAN,001-005,,0,5990,45.17529215358932
10,UMNO,RUSLI MAT HUSIN,4076,1508.0,2004,Perlis,BINTONG,002-006,,1,6644,61.348585189644794
11,PAS,ABDUL ZAKARIA,2568,0.0,2004,Perlis,BINTONG,002-006,,0,6644,38.651414810355206
12,UMNO,AZIHANI ALI,4001,1584.0,2004,Perlis,SENA,002-007,,1,6418,62.34029292614522
13,PAS,AHMAD ADNAN FADZIL,2417,0.0,2004,Perlis,SENA,002-007,,0,6418,37.65970707385478
14,MCA,OUI AH LAN,5243,3564.0,2004,Perlis,INDERA KAYANGAN,002-008,,1,6922,75.74400462294135
15,PKR,KHOO YANG CHONG,1679,0.0,2004,Perlis,INDERA KAYANGAN,002-008,,0,6922,24.255995377058653
16,UMNO,BAKAR SAAD,4495,2824.0,2004,Perlis,KUALA PERLIS,002-009,,1,6166,72.89977294842686
17,PKR,MOHD YUSOF UBI @ MADARSA,1671,0.0,2004,Perlis,KUALA PERLIS,002-009,,0,6166,27.100227051573142
18,UMNO,AZAM RASHID,3705,1327.0,2004,Perlis,KAYANG,002-010,,1,6083,60.90744698339635
19,PAS,KU MAHMOOD KU ISMAIL,2378,0.0,2004,Perlis,KAYANG,002-010,,0,6083,39.09255301660365
20,UMNO,DATUK ABU BAKAR ISMAIL,3795,1585.0,2004,Perlis,PAUH,003-011,,1,6005,63.197335553705244
21,PAS,ABU BAKAR ALI,2210,0.0,2004,Perlis,PAUH,003-011,,0,6005,36.802664446294756
22,UMNO,DATUK SERI SHAHIDAN KASSIM,4422,1742.0,2004,Perlis,TAMBUN TULANG,003-012,,1,7102,62.264150943396224
23,PAS,DATUK DR HARUN DIN,2680,0.0,2004,Perlis,TAMBUN TULANG,003-012,,0,7102,37.735849056603776
24,UMNO,JAPERIA OTHMAN,3378,145.0,2004,Perlis,GUAR SANJI,003-013,,1,6611,51.09665708667372
25,PAS,AHMAD ALI,3233,0.0,2004,Perlis,GUAR SANJI,003-013,,0,6611,48.90334291332628
26,UMNO,ZAHARI BAKAR,2795,276.0,2004,Perlis,SIMPANG EMPAT,003-014,,1,5314,52.59691381257057
27,PAS,DR CHE ROSLI CHE MAT,2519,0.0,2004,Perlis,SIMPANG EMPAT,003-014,,0,5314,47.40308618742943
28,PAS,HASHIM JASIN,3221,45.0,2004,Perlis,SANGLANG,003-015,,1,6397,50.35172737220572
29,UMNO,DATUK MASTIKA JUNAIDAH HUSIN,3176,0.0,2004,Perlis,SANGLANG,003-015,,0,6397,49.64827262779428
30,UMNO,DATUK MD HASSAN BULAT,7597,2803.0,2004,Kedah,AYER HANGAT,004-001,,1,12391,61.31062868210798
31,PAS,YUSOF ISMAIL,4794,0.0,2004,Kedah,AYER HANGAT,004-001,,0,12391,38.68937131789202
32,UMNO,NAWAWI AHMAD,8065,6175.0,2004,Kedah,KUAH,004-002,,1,9955,81.01456554495229
33,PAS,MAZLAN AHMAD,1890,0.0,2004,Kedah,KUAH,004-002,,0,9955,18.985434455047713
34,UMNO,ABU HASSAN SARIF,8614,1573.0,2004,Kedah,KOTA SIPUTEH,005-003,,1,15655,55.02395400830406
35,PAS,ABDUL WAHAB RAHMAN,7041,0.0,2004,Kedah,KOTA SIPUTEH,005-003,,0,15655,44.97604599169594
36,UMNO,ABD GHANI AHMAD,10759,860.0,2004,Kedah,AYER HITAM,005-004,,1,20658,52.08151805595895
37,PAS,OTHMAN AZIZ,9899,0.0,2004,Kedah,AYER HITAM,005-004,,0,20658,47.91848194404105
38,UMNO,KHALIDAH ABIDAH AYOB,12945,6972.0,2004,Kedah,BUKIT KAYU HITAM,006-005,,1,18918,68.42689502061529
39,PAS,NANYAN SAAD,5973,0.0,2004,Kedah,BUKIT KAYU HITAM,006-005,,0,18918,31.573104979384713
40,UMNO,PROF DATUK DR OTHMAN ISHAK,13297,5756.0,2004,Kedah,JITRA,006-006,,1,20838,63.811306267396105
41,PAS,DR ROHANI ABDUL MUTTALIB,7541,0.0,2004,Kedah,JITRA,006-006,,0,20838,36.188693732603895
42,UMNO,DATUK DR AFFIFUDDIN OMAR,7746,1310.0,2004,Kedah,KUALA NERANG,007-007,,1,14182,54.61853053165985
43,PAS,MUHD YUSOFF @MUNIR B ZAKARIA,6436,0.0,2004,Kedah,KUALA NERANG,007-007,,0,14182,45.38146946834015
44,UMNO,DATUK MAHDZIR KHALID,7684,1899.0,2004,Kedah,PEDU,007-008,,1,13469,57.04952112257777
45,PAS,WAN JAAFAR WAN AHMAD,5785,0.0,2004,Kedah,PEDU,007-008,,0,13469,42.95047887742223
46,UMNO,ARIFFIN MAN,10656,2769.0,2004,Kedah,BUKIT LADA,008-009,,1,18543,57.466429380359166
47,PAS,SHIEKH ISMAIL KHAMIS,7887,0.0,2004,Kedah,BUKIT LADA,008-009,,0,18543,42.533570619640834
48,PAS,MD ROSHIDI OSMAN,9636,937.0,2004,Kedah,BUKIT PINANG,008-010,,1,18335,52.5552222525225
49,UMNO,DATUK AHMAD LEBAI SUDIN,8699,0.0,2004,Kedah,BUKIT PINANG,008-010,,0,18335,47.4447777474775
50,GERAKAN,CHEUNG KHAI YEUN,10827,6162.0,2004,Kedah,DERGA,008-011,,1,15492,69.88768396591789
51,PKR,ROHANI BAKAR,4665,0.0,2004,Kedah,DERGA,008-011,,0,15492,30.112316034082106
52,UMNO,DATUK AHMAD BASHAH MD HANIPAH,11091,6037.0,2004,Kedah,BAKAR BATA,009-012,,1,16145,68.69619077113657
53,PAS,DR ISMAIL SALLEH,5054,0.0,2004,Kedah,BAKAR BATA,009-012,,0,16145,31.303809228863425
54,MCA,DATUK CHONG ITT CHEW,9094,7218.0,2004,Kedah,KOTA DARULAMAN,009-013,,1,10970,82.89881494986327
55,PKR,YAP SHUI FAH,1876,0.0,2004,Kedah,KOTA DARULAMAN,009-013,,0,10970,17.101185050136735
56,UMNO,FADZIL HANAFI,9095,2827.0,2004,Kedah,ALOR MENGKUDU,009-014,,1,15363,59.20067695111632
57,PAS,MOHAMED SABU,6268,0.0,2004,Kedah,ALOR MENGKUDU,009-014,,0,15363,40.79932304888368
58,PAS,AMIRUDDIN HAMZAH,10240,96.0,2004,Kedah,ANAK BUKIT,010-015,,1,20384,50.23547880690738
59,UMNO,ABDUL MUTHALIB HARUN,10144,0.0,2004,Kedah,ANAK BUKIT,010-015,,0,20384,49.76452119309262
60,UMNO,DATUK SERI SYED RAZAK SYED ZAIN,14468,7941.0,2004,Kedah,KUBANG ROTAN,010-016,,1,20995,68.91164562991189
61,PKR,SAIFUDDIN NASUTION ISMAIL,6527,0.0,2004,Kedah,KUBANG ROTAN,010-016,,0,20995,31.088354370088116
62,UMNO,MOHD JAMIL IDRUS,12584,3429.0,2004,Kedah,PENGKALAN KUNDOR,010-017,,1,21739,57.88674732048392
63,PAS,PHAHROLRZAI ZAWAWI,9155,0.0,2004,Kedah,PENGKALAN KUNDOR,010-017,,0,21739,42.11325267951608
64,PAS,MOHD TAULAN RASUL,14790,4179.0,2004,Kedah,TOKAI,011-018,,1,25401,58.22605409235857
65,UMNO,SAMSUDDIN TAHIR,10611,0.0,2004,Kedah,TOKAI,011-018,,0,25401,41.77394590764143
66,UMNO,SURAYA YAACOB,13948,4250.0,2004,Kedah,SUNGAI TIANG,011-019,,1,23646,58.98672079844371
67,PAS,ABDUL MUTALIB AWANG,9698,0.0,2004,Kedah,SUNGAI TIANG,011-019,,0,23646,41.01327920155629
68,PAS,AZIZAN ABDUL RAZAK,10882,1080.0,2004,Kedah,SUNGAI LIMAU,012-020,,1,20684,52.61071359504931
69,UMNO,DATUK SHUHAIMI ABDULLAH,9802,0.0,2004,Kedah,SUNGAI LIMAU,012-020,,0,20684,47.38928640495069
70,UMNO,DATUK ABDUL RAZAK HASHIM,8949,3966.0,2004,Kedah,GUAR CHEMPEDAK,012-021,,1,13932,64.2334194659776
71,PAS,MOHD AFIF ABDULLAH,4983,0.0,2004,Kedah,GUAR CHEMPEDAK,012-021,,0,13932,35.766580534022395
72,MCA,DATUK BEH HENG SIONG,10748,7071.0,2004,Kedah,GURUN,012-022,,1,15123,71.07055478410368
73,PKR,KALAI VANAR A/L BALA SUNDRAM,3677,0.0,2004,Kedah,GURUN,012-022,,0,15123,24.31395887059446
74,DAP,TAN CHOY,698,0.0,2004,Kedah,GURUN,012-022,,0,15123,4.615486345301858
75,PAS,MOHD ISA SHAFIE,7310,51.0,2004,Kedah,BELANTEK,013-023,,1,14569,50.175029171528585
76,UMNO,SALLEH ISMAIL,7259,0.0,2004,Kedah,BELANTEK,013-023,,0,14569,49.824970828471415
77,UMNO,ISMAIL HARUN,8631,640.0,2004,Kedah,JENERI,013-024,,1,16622,51.92515942726507
78,PAS,YAHAYA ABDULLAH,7991,0.0,2004,Kedah,JENERI,013-024,,0,16622,48.07484057273493
79,MIC,DATUK V SARAVANAN,14196,7695.0,2004,Kedah,BUKIT SELAMBAU,014-025,,1,22817,62.216768199149755
80,PKR,MUSTAFA KHALID HANAFI,6501,0.0,2004,Kedah,BUKIT SELAMBAU,014-025,,0,22817,28.491913923828726
