,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes
0,Mordi Bimol,PH,DAP,12771,43.1,192,MAS GADING,Sarawak,1,22518
1,Nogeh Gumbek,BN,PDP,9747,32.9,192,MAS GADING,Sarawak,0,22518
2,Wan Junaidi Tuanku Jaafar,BN,PBB,26379,57.8,193,SANTUBONG,Sarawak,1,33273
3,Mohamad Fidzuan Zaidi,PH,AMANAH,6894,15.1,193,SANTUBONG,Sarawak,0,33273
4,Fadillah Yusof,BN,PBB,28306,48.9,194,PETRA JAYA,Sarawak,1,42945
5,Nor Irwan Ahmat Nor,PH,PKR,13289,22.9,194,PETRA JAYA,Sarawak,0,42945
6,Hamdan Sani,,PAS,1350,2.3,194,PETRA JAYA,Sarawak,0,42945
7,Kelvin Yii Lee Wuen,PH,DAP,48548,59.3,195,BANDAR KUCHING,Sarawak,1,61123
8,Kho Teck Wan,BN,SUPP,12575,15.4,195,BANDAR KUCHING,Sarawak,0,61123
9,Chong Chieng Jen,PH,DAP,33060,49.9,196,STAMPIN,Sarawak,1,51899
10,Sim Kui Hian,BN,SUPP,18839,28.4,196,STAMPIN,Sarawak,0,51899
11,Rubiah Wang,BN,PBB,25070,54.1,197,KOTA SAMARAHAN,Sarawak,1,35867
12,Sopian Julaihi,PH,AMANAH,8078,17.4,197,KOTA SAMARAHAN,Sarawak,0,35867
13,Zulkipli Ramzi,,PAS,2719,5.9,197,KOTA SAMARAHAN,Sarawak,0,35867
14,Willie Mongin,PH,PKR,18865,40.9,198,PUNCAK BORNEO,Sarawak,1,34520
15,Genot Sinel @ Jeannoth Sinel,BN,PBB,14860,32.2,198,PUNCAK BORNEO,Sarawak,0,34520
16,Buln Patrick Ribos,,S'wak STAR,795,1.7,198,PUNCAK BORNEO,Sarawak,0,34520
17,Richard Riot Jaem,BN,SUPP,17545,46.6,199,SERIAN,Sarawak,1,27419
18,Edward Andrew Luwak @ Edward Luwak,PH,DAP,7640,20.3,199,SERIAN,Sarawak,0,27419
19,Senior William Rade,,IND,2234,5.9,199,SERIAN,Sarawak,0,27419
20,Nancy Shukri,BN,PBB,14208,61.2,200,BATANG SADONG,Sarawak,1,17066
21,Othman Mustapha @ Mos,PH,AMANAH,1880,8.1,200,BATANG SADONG,Sarawak,0,17066
22,Asan Singkro,,PAS,978,4.2,200,BATANG SADONG,Sarawak,0,17066
23,Rohani Abdul Karim,BN,PBB,14204,47.6,201,BATANG LUPAR,Sarawak,1,20151
24,Wan Abdillah Wan Ahmad,,PAS,3927,13.2,201,BATANG LUPAR,Sarawak,0,20151
25,Narudin Mentali,PH,AMANAH,2020,6.8,201,BATANG LUPAR,Sarawak,0,20151
26,Masir Kujat,BN,PRS,14141,42.8,202,SRI AMAN,Sarawak,1,23000
27,Norina Umoi Utot,PH,PKR,8321,25.2,202,SRI AMAN,Sarawak,0,23000
28,Cobbold Lusoi,,PBDSB,538,1.6,202,SRI AMAN,Sarawak,0,23000
29,Tambat @ Jugah Muyang,,IND,5834,28.0,203,LUBOK ANTU,Sarawak,1,14551
30,Robert Pasang Alam,BN,PRS,4775,23.0,203,LUBOK ANTU,Sarawak,0,14551
31,Nicholas Bawin Anggat,PH,PKR,3942,19.0,203,LUBOK ANTU,Sarawak,0,14551
32,Robert Lawson Chuat,BN,PBB,12517,42.9,204,BETONG,Sarawak,1,20720
33,Abang Ahmad Abang Suni,,IND,4401,15.1,204,BETONG,Sarawak,0,20720
34,Noel Changgai Bucking,PH,PKR,3802,13.0,204,BETONG,Sarawak,0,20720
