,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes
0,Mohammad Mohamarin,,WARISAN,3613,32.7,167-001,BANGGI (P167),Sabah,1,7560
1,Abd Mijul Unaini,BN,UMNO,3234,29.3,167-001,BANGGI (P167),Sabah,0,7560
2,Norlaji Amir Hassan,,Sabah STAR,367,3.3,167-001,BANGGI (P167),Sabah,0,7560
3,Abidula Amsana,,PHRS,198,1.8,167-001,BANGGI (P167),Sabah,0,7560
4,Kusugan Ali,,PPRS,105,0.9,167-001,BANGGI (P167),Sabah,0,7560
5,Abdul Nasir Jamaluddin,,PKS,43,0.4,167-001,BANGGI (P167),Sabah,0,7560
6,Chong Chen Bin,,WARISAN,9124,38.1,167-002,TANJONG KAPOR (P167),Sabah,1,16800
7,Teo Chee Kang,BN,LDP,6132,25.6,167-002,TANJONG KAPOR (P167),Sabah,0,16800
8,Aliasgar Omolong,,PAS,617,2.6,167-002,TANJONG KAPOR (P167),Sabah,0,16800
9,Tsen Chou Yin @ Thomas Tsen Chau Yin,,PCS,481,2.0,167-002,TANJONG KAPOR (P167),Sabah,0,16800
10,Allaidly Poyon,,PPRS,446,1.9,167-002,TANJONG KAPOR (P167),Sabah,0,16800
11,Bolkiah Ismail,BN,UMNO,5606,32.5,167-003,PITAS (P167),Sabah,1,12627
12,Maklin Masiau,,WARISAN,4324,25.0,167-003,PITAS (P167),Sabah,0,12627
13,Bakir Mancaing,,PHRS,1527,8.8,167-003,PITAS (P167),Sabah,0,12627
14,Ramlah Nasir,,PKS,508,2.9,167-003,PITAS (P167),Sabah,0,12627
15,Pransol Tiying,,PKAN,400,2.3,167-003,PITAS (P167),Sabah,0,12627
16,Dausieh Queck @ Paraman,,PAS,262,1.5,167-003,PITAS (P167),Sabah,0,12627
17,Julita Mojungki,BN,PBS,6946,30.3,168-004,MATUNGGONG (P168),Sabah,1,16619
18,Sazalye Donol Abdullah,PH,PKR,5259,23.0,168-004,MATUNGGONG (P168),Sabah,0,16619
19,Marunsai Dawai,,Sabah STAR,2968,13.0,168-004,MATUNGGONG (P168),Sabah,0,16619
20,Jornah Mozihim,,PCS,1348,5.9,168-004,MATUNGGONG (P168),Sabah,0,16619
21,Rahim Madhakong,,PKS,98,0.4,168-004,MATUNGGONG (P168),Sabah,0,16619
22,Lasiah Baranting @ Anita,BN,UMNO,8877,36.8,168-005,TANDEK (P168),Sabah,1,17336
23,Baintin Adun,,WARISAN,4285,17.8,168-005,TANDEK (P168),Sabah,0,17336
24,Joel Masilung,,Sabah STAR,3621,15.0,168-005,TANDEK (P168),Sabah,0,17336
25,Johnson Assan @ Johnson Gaban,,PCS,553,2.3,168-005,TANDEK (P168),Sabah,0,17336
26,Musbah Jamli,BN,UMNO,7742,40.5,169-006,TEMPASUK (P169),Sabah,1,15235
27,Mustapha @ Mohd Yunus Sakmud,PH,PKR,5478,28.6,169-006,TEMPASUK (P169),Sabah,0,15235
28,Suwah Buleh @ Bulleh,,Sabah STAR,1494,7.8,169-006,TEMPASUK (P169),Sabah,0,15235
29,Mustaqim Aling,,PAS,521,2.7,169-006,TEMPASUK (P169),Sabah,0,15235
30,Ewon Benedick,BN,UPKO,6861,38.2,169-007,KADAMAIAN (P169),Sabah,1,14355
31,Lukia Indan,PH,PKR,3567,19.8,169-007,KADAMAIAN (P169),Sabah,0,14355
32,Rubbin Guribah,,Sabah STAR,3034,16.9,169-007,KADAMAIAN (P169),Sabah,0,14355
33,Mail Balinu,,PCS,764,4.2,169-007,KADAMAIAN (P169),Sabah,0,14355
34,Satail Manjungkat,,PAS,129,0.7,169-007,KADAMAIAN (P169),Sabah,0,14355
35,Japlin Akim @ Abd Hamid,BN,UMNO,8738,42.0,169-008,USUKAN (P169),Sabah,1,16676
36,Abd Bahtrin @ Abdul Bahkrin Mohd Yusof,,WARISAN,7513,36.1,169-008,USUKAN (P169),Sabah,0,16676
37,Adzmin Awang,,PAS,355,1.7,169-008,USUKAN (P169),Sabah,0,16676
38,Amsor Tuah,,IND,70,0.3,169-008,USUKAN (P169),Sabah,0,16676
39,Jahid @ Noordin Jahim,BN,PBS,6818,36.2,170-009,TAMPARULI (P170),Sabah,1,14998
40,Dausil Kundayong,PH,PKR,4738,25.2,170-009,TAMPARULI (P170),Sabah,0,14998
41,Mojilip Bumburing @ Wilfred,,PCS,2541,13.5,170-009,TAMPARULI (P170),Sabah,0,14998
42,Samin @ Jasmin Dulin,,Sabah STAR,901,4.8,170-009,TAMPARULI (P170),Sabah,0,14998
43,Hajiji Noor,BN,UMNO,12966,57.3,170-010,SULAMAN (P170),Sabah,1,18625
44,Abdullah Sani Daud,,WARISAN,5192,23.0,170-010,SULAMAN (P170),Sabah,0,18625
45,Arifin Harith,,PHRS,467,2.1,170-010,SULAMAN (P170),Sabah,0,18625
46,Joniston Lumai @ Bangkuai,BN,PBS,4336,33.5,170-011,KIULU (P170),Sabah,1,10229
47,Anna Sue Henley Rampas,,WARISAN,2893,22.3,170-011,KIULU (P170),Sabah,0,10229
48,Terence Sinti,,Sabah STAR,2457,19.0,170-011,KIULU (P170),Sabah,0,10229
49,Gaibin Ransoi,,PCS,543,4.2,170-011,KIULU (P170),Sabah,0,10229
50,Azhar Matussin,,WARISAN,14157,41.1,171-012,KARAMBUNAI (P171),Sabah,1,25902
51,Jainab Ahmad,BN,UMNO,8791,25.5,171-012,KARAMBUNAI (P171),Sabah,0,25902
52,Aspar Oyet @ Akbar,,PAS,1696,4.9,171-012,KARAMBUNAI (P171),Sabah,0,25902
53,Ahsim Oyok Jamat,,SAPP,1258,3.7,171-012,KARAMBUNAI (P171),Sabah,0,25902
54,Kenny Chua Teck Ho,PH,PKR,13633,48.8,171-013,INANAM (P171),Sabah,1,21871
55,Goh Chin Lok @ Johnny Goh,BN,PBS,5850,20.9,171-013,INANAM (P171),Sabah,0,21871
56,John Stephen Dionysius,,SAPP,1695,6.1,171-013,INANAM (P171),Sabah,0,21871
57,Terence Tsen Kim Fatt,,PKAN,480,1.7,171-013,INANAM (P171),Sabah,0,21871
58,Jakariah Janit,,PKS,156,0.6,171-013,INANAM (P171),Sabah,0,21871
59,Situl Mintow,,IND,57,0.2,171-013,INANAM (P171),Sabah,0,21871
60,Tan Lee Fatt,PH,DAP,9163,60.6,172-014,LIKAS (P172),Sabah,1,11097
61,Chin Shu Ying,BN,LDP,1261,8.3,172-014,LIKAS (P172),Sabah,0,11097
62,Yong We Kong,,SAPP,673,4.4,172-014,LIKAS (P172),Sabah,0,11097
63,Liew Chin Jin,PH,PKR,8174,42.4,172-015,API-API (P172),Sabah,1,14330
64,Yee Moh Chai,BN,PBS,5220,27.1,172-015,API-API (P172),Sabah,0,14330
65,Lim Kat Chung,,SAPP,598,3.1,172-015,API-API (P172),Sabah,0,14330
66,Len Lip Fong @ Land Lip Fong,,PKAN,244,1.3,172-015,API-API (P172),Sabah,0,14330
67,Chan Chee Ching,,IND,94,0.5,172-015,API-API (P172),Sabah,0,14330
68,Phoong Jin Zhe,PH,DAP,14237,65.3,172-016,LUYANG (P172),Sabah,1,16873
69,Pamela Yong,BN,MCA,1829,8.4,172-016,LUYANG (P172),Sabah,0,16873
70,Gee Tien Siong,,SAPP,807,3.7,172-016,LUYANG (P172),Sabah,0,16873
71,Wong Hong Jun,,WARISAN,9794,41.1,173-017,TANJONG ARU (P173),Sabah,1,17417
72,Yong Oui Fah,BN,PBS,5184,21.8,173-017,TANJONG ARU (P173),Sabah,0,17417
73,Hamid Ismail,,PAS,1379,5.8,173-017,TANJONG ARU (P173),Sabah,0,17417
74,Noraiza Mohammad Noor,,PHRS,566,2.4,173-017,TANJONG ARU (P173),Sabah,0,17417
75,Chong Wei Leung,,PKAN,494,2.1,173-017,TANJONG ARU (P173),Sabah,0,17417
76,Uda Sulai,,WARISAN,6526,37.3,173-018,PETAGAS (P173),Sabah,1,13604
77,Yahyah @ Yahya Hussin @ Ag Husin,BN,UMNO,6318,36.1,173-018,PETAGAS (P173),Sabah,0,13604
78,Ester Otion,,PHRS,760,4.3,173-018,PETAGAS (P173),Sabah,0,13604
79,Jannie Lasimbang,PH,DAP,19558,58.1,174-019,KAPAYAN (P174),Sabah,1,27184
80,Goh Fah Sun,BN,MCA,6308,18.7,174-019,KAPAYAN (P174),Sabah,0,27184
81,Chong Pit Fah,,Sabah STAR,1318,3.9,174-019,KAPAYAN (P174),Sabah,0,27184
82,Jenifer Lasimbang,,WARISAN,9745,50.1,174-020,MOYOG (P174),Sabah,1,15875
83,Donald Peter Mojuntin,BN,UPKO,5303,27.3,174-020,MOYOG (P174),Sabah,0,15875
84,Danim @ Aloysius Siap,,Sabah STAR,605,3.1,174-020,MOYOG (P174),Sabah,0,15875
85,Bandasan @ Dionisius Dennis J Tunding,,PCS,222,1.1,174-020,MOYOG (P174),Sabah,0,15875
86,Gulamhaidar @ Yusof Khan Bahadar,BN,UMNO,10388,45.0,175-021,KAWANG (P175),Sabah,1,18896
87,Salleh Eddris,,WARISAN,7526,32.6,175-021,KAWANG (P175),Sabah,0,18896
88,Matlin Jilon,,PHRS,781,3.4,175-021,KAWANG (P175),Sabah,0,18896
89,Wahid @ Harith Ismail,,PKAN,201,0.9,175-021,KAWANG (P175),Sabah,0,18896
90,Aidi Moktar,,WARISAN,9234,45.1,175-022,PANTAI MANIS (P175),Sabah,1,16937
91,Abdul Rahim Ismail,BN,UMNO,7126,34.8,175-022,PANTAI MANIS (P175),Sabah,0,16937
92,James @ Ebi Ghani,,PHRS,448,2.2,175-022,PANTAI MANIS (P175),Sabah,0,16937
93,Jawasing Mianus @ Herman J Mianus,,PCS,129,0.6,175-022,PANTAI MANIS (P175),Sabah,0,16937
94,Daud Yusof,,WARISAN,6912,42.6,176-023,BONGAWAN (P176),Sabah,1,13656
95,Mohamad Alamin,BN,UMNO,6117,37.7,176-023,BONGAWAN (P176),Sabah,0,13656
96,Jaafar Ismail,,PHRS,627,3.9,176-023,BONGAWAN (P176),Sabah,0,13656
97,Mohd Arifin Mohd Arif,BN,UMNO,6495,48.5,176-024,MEMBAKUT (P176),Sabah,1,11351
98,Abd Sani Marip @ Marif,,WARISAN,4092,30.6,176-024,MEMBAKUT (P176),Sabah,0,11351
99,Ali Omar Mohd Idris,,PHRS,456,3.4,176-024,MEMBAKUT (P176),Sabah,0,11351
100,Rosjelen Salimat,,PCS,223,1.7,176-024,MEMBAKUT (P176),Sabah,0,11351
101,Yahya Ahmad,,IND,85,0.6,176-024,MEMBAKUT (P176),Sabah,0,11351
102,Isnin Aliasnih @ Liasnih,BN,UMNO,6173,36.4,177-025,KLIAS (P177),Sabah,1,13735
103,Lajim Ukin,,PHRS,3837,22.6,177-025,KLIAS (P177),Sabah,0,13735
104,Johair Mat Lani,,WARISAN,3725,22.0,177-025,KLIAS (P177),Sabah,0,13735
105,Limus Jury,BN,UPKO,7352,44.8,177-026,KUALA PENYU (P177),Sabah,1,13456
106,Dikin Musah,PH,PKR,3807,23.2,177-026,KUALA PENYU (P177),Sabah,0,13456
107,Jonas Sungin @ Sunggim,,PHRS,1749,10.7,177-026,KUALA PENYU (P177),Sabah,0,13456
108,Nikol Tiunsu @ Herman Tiongsoh,,PCS,548,3.3,177-026,KUALA PENYU (P177),Sabah,0,13456
109,Matbali Musah,BN,UMNO,6836,45.5,178-027,LUMADAN (P178),Sabah,1,12068
110,Md Samlih Juaisin,,WARISAN,3901,26.0,178-027,LUMADAN (P178),Sabah,0,12068
111,Asmat Japar,,PHRS,1331,8.9,178-027,LUMADAN (P178),Sabah,0,12068
112,Yusof @ Josree Yacob,,WARISAN,6648,39.4,178-028,SINDUMIN (P178),Sabah,1,12809
113,Sapawi Amat Wasali @ Ahmad,BN,UMNO,5888,34.9,178-028,SINDUMIN (P178),Sabah,0,12809
114,Patrick Sadom,,PHRS,273,1.6,178-028,SINDUMIN (P178),Sabah,0,12809
115,Joachim Gunsalam,BN,PBS,3971,26.7,179-029,KUNDASANG (P179),Sabah,1,10691
116,Siriman @ Mohd Fazid Basir,,WARISAN,3716,25.0,179-029,KUNDASANG (P179),Sabah,0,10691
117,Japiril Suhaimin,,Sabah STAR,2105,14.2,179-029,KUNDASANG (P179),Sabah,0,10691
118,Henrynus Amin,,PKAN,733,4.9,179-029,KUNDASANG (P179),Sabah,0,10691
119,Jinus Sodiong,,PKS,166,1.1,179-029,KUNDASANG (P179),Sabah,0,10691
120,Masidi Manjun @ Masdi,BN,UMNO,6849,50.7,179-030,KARANAAN (P179),Sabah,1,10705
121,Chong Peck Hing @ Chong Poh Sing,PH,PKR,3067,22.7,179-030,KARANAAN (P179),Sabah,0,10705
122,Aman @ Adzman Manaf,,PHRS,685,5.1,179-030,KARANAAN (P179),Sabah,0,10705
123,Juhaili Sidek,,PKAN,104,0.8,179-030,KARANAAN (P179),Sabah,0,10705
124,Abidin Madingkir,BN,UPKO,5666,37.0,179-031,PAGINATAN (P179),Sabah,1,11602
125,Julian @ Paul Sidin,,WARISAN,3600,23.5,179-031,PAGINATAN (P179),Sabah,0,11602
126,Pedderin @ Feddrin Tuliang @ Tuling,,Sabah STAR,1870,12.2,179-031,PAGINATAN (P179),Sabah,0,11602
127,Satiol Indong,,PCS,362,2.4,179-031,PAGINATAN (P179),Sabah,0,11602
128,Mat Jaili Samat,,PPRS,104,0.7,179-031,PAGINATAN (P179),Sabah,0,11602
129,Jeffrey Kitingan,,Sabah STAR,6136,37.7,180-032,TAMBUNAN (P180),Sabah,1,13118
130,Joseph Pairin Kitingan,BN,PBS,5099,31.4,180-032,TAMBUNAN (P180),Sabah,0,13118
131,Justin Alip,,WARISAN,1427,8.8,180-032,TAMBUNAN (P180),Sabah,0,13118
132,Nestor Joannes,,PCS,456,2.8,180-032,TAMBUNAN (P180),Sabah,0,13118
133,Robert Tawik @ Nordin,,Sabah STAR,4552,25.6,180-033,BINGKOR (P180),Sabah,1,13713
134,Jino @ Peter Allion @ Alliun,BN,PBS,4387,24.7,180-033,BINGKOR (P180),Sabah,0,13713
135,Odom @ Peter Dhoms Saili @ Soili,PH,DAP,4233,23.8,180-033,BINGKOR (P180),Sabah,0,13713
136,Aisat @ Ellik Igau @ Iggau,,PKAN,290,1.6,180-033,BINGKOR (P180),Sabah,0,13713
137,Justin Guka,,IND,182,1.0,180-033,BINGKOR (P180),Sabah,0,13713
138,Uling @ Thomas Anggan,,PKS,69,0.4,180-033,BINGKOR (P180),Sabah,0,13713
139,Rasinin Koutis @ Kautis,,WARISAN,6387,37.2,180-034,LIAWAN (P180),Sabah,1,13377
140,Sapin @ Sairin Karano @ Karno,BN,UMNO,5005,29.2,180-034,LIAWAN (P180),Sabah,0,13377
141,Kong Fui Seng,,S'wak STAR,1809,10.5,180-034,LIAWAN (P180),Sabah,0,13377
142,Hussein @ Jaimis Kassim @ Madatin,,PCS,176,1.0,180-034,LIAWAN (P180),Sabah,0,13377
143,Peter Anthony,,WARISAN,5010,35.8,181-035,MELALAP (P181),Sabah,1,10702
144,Radin Malleh,BN,PBS,4717,33.7,181-035,MELALAP (P181),Sabah,0,10702
145,Jaineh Juata @ Jimmy Jawatah,,Sabah STAR,861,6.2,181-035,MELALAP (P181),Sabah,0,10702
146,Chinly Moniu @ Mah Tsen Li,,PCS,69,0.5,181-035,MELALAP (P181),Sabah,0,10702
147,Lidos Rabih @ George Rejos,,PKS,45,0.3,181-035,MELALAP (P181),Sabah,0,10702
148,afar,BN,UMNO,6093,40.1,181-036,KEMABONG (P181),Sabah,1,11567
149,Haris Bolos,,WARISAN,5198,34.2,181-036,KEMABONG (P181),Sabah,0,11567
150,Tay Jin Kiong @ Alfred,,PCS,152,1.0,181-036,KEMABONG (P181),Sabah,0,11567
151,Yahia @ Yahya Raimah,,PHRS,124,0.8,181-036,KEMABONG (P181),Sabah,0,11567
152,Ellron Angin,BN,PBRS,8042,42.1,182-037,SOOK (P182),Sabah,1,15114
