year,name,coalition,party,party_code,votes,vote_share,parliament_code_digits,dunCode,threeDunCode,constituency,state,total_votes,gender,results_added,spr_id,winner
2023,RAJENDARAN A/L NADARAJAN,BEBAS,BEBAS,BEBAS,364,0.6115591397849462,017,01734,034,PADANG SERAI,KEDAH,59520,M,1,,0
2023,PANNIR SELVAM A/L S SUPPIAH,BEBAS,BEBAS,BEBAS,148,0.24865591397849462,017,01734,034,PADANG SERAI,KEDAH,59520,M,1,,0
2023,ARICHINDAREM A/L SINAPPAYEN,BEBAS,BEBAS,BEBAS,417,0.7006048387096774,017,01734,034,PADANG SERAI,KEDAH,59520,M,1,,0
2023,ABDUL BIN RAMLI,BEBAS,BEBAS,BEBAS,312,1.4456491520711705,005,00503,003,JERLUN,KEDAH,21582,M,1,,0
2023,DINESH A/L MUNIANDY,BEBAS,BEBAS,BEBAS,375,0.6729354340882173,014,01425,025,MERBOK,KEDAH,55726,M,1,,0
2023,KU ABDUL HALIM BIN KU ISMAIL,BEBAS,BEBAS,BEBAS,176,0.7787955219257489,012,01221,021,JERAI,KEDAH,22599,M,1,,0
2023,MAZLAN BIN AHMAD,BEBAS,BEBAS,BEBAS,2013,9.69139665880314,004,00402,002,LANGKAWI,KEDAH,20771,M,1,,0
2023,SAFWAN HANIF BIN SHAFIE,BEBAS,BEBAS,BEBAS,6877,30.4009548649485,004,00401,001,LANGKAWI,KEDAH,22621,M,1,,0
2023,ZULFADLI BIN MOHD YUSOFF,BEBAS,BEBAS,BEBAS,134,0.5923699217541223,004,00401,001,LANGKAWI,KEDAH,22621,M,1,,0
2023,NOOR AZMAN BIN BASHARON @ CHE MAN,BEBAS,BEBAS,BEBAS,241,0.9471408921202594,008,00811,011,POKOK SENA,KEDAH,25445,M,1,,0
2023,TAN KOK YEW,PH,PAKATAN HARAPAN,PH,10771,42.330516800943215,008,00811,011,POKOK SENA,KEDAH,25445,M,1,,0
2023,BAU WONG A/L BAU EK,PH,PAKATAN HARAPAN,PH,21859,51.115424188569826,015,01529,029,SUNGAI PETANI,KEDAH,42764,M,1,,1
2023,TEH SWEE LEONG,PH,PAKATAN HARAPAN,PH,11178,66.91009218244942,009,00913,013,ALOR SETAR,KEDAH,16706,M,1,,1
2023,ZAINAL ABIDIN BIN SAAD,PH,PAKATAN HARAPAN,PH,5410,15.573274993523128,011,01118,018,PENDANG,KEDAH,34739,M,1,,0
2023,RIDZWAN BIN ABU BAKAR,PH,PAKATAN HARAPAN,PH,4215,17.653710839336572,007,00707,007,PADANG TERAP,KEDAH,23876,M,1,,0
2023,MAZLI BINTI SAIPI,PH,PAKATAN HARAPAN,PH,3626,16.937593423019432,013,01323,023,SIK,KEDAH,21408,F,1,,0
2023,MOHAMMED FIRDAUS BIN JOHARI,PH,PAKATAN HARAPAN,PH,11187,38.63181158919815,012,01222,022,JERAI,KEDAH,28958,M,1,,0
2023,HADZIR BIN MD.ZAIN,PH,PAKATAN HARAPAN,PH,4780,17.18126595018152,008,00810,010,POKOK SENA,KEDAH,27821,M,1,,0
2023,MOHD ASMIRUL ANUAR BIN ARIS,PH,PAKATAN HARAPAN,PH,12165,34.64232828340358,010,01016,016,KUALA KEDAH,KEDAH,35116,M,1,,0
2023,AHMAD FAUZI BIN CHIK,PH,PAKATAN HARAPAN,PH,5394,25.968898945645368,004,00402,002,LANGKAWI,KEDAH,20771,M,1,,0
2023,SUMMUGAM A/L RENGASAMY,PH,PAKATAN HARAPAN,PH,21843,39.19714316477048,014,01425,025,MERBOK,KEDAH,55726,M,1,,0
