,_id,id,tahun,institusi,gred
0,6358c3a25be697dfd6a2a308,675-X47,2016,"Anglia Ruskin University, UK",Masters of Business Administration
1,6358c3a25be697dfd6a2a308,675-X47,2021-kini,Universiti Sains Malaysia (USM),Sarjana Muda Sains Kemasyarakatan (Sains Politik) 
2,6358c3a25be697dfd6a2a308,675-X47,2012,"Vision International University, California (US)",Diploma in Arts
3,6358c3a25be697dfd6a2a308,675-X47,2021,"International Business Management Institute, Germany",Diploma in Global Governance
4,6358c3a25be697dfd6a2a308,675-X47,2020,Malaysian Qualification Agency (MQA),APEL T-6
5,6358c3a25be697dfd6a2a308,675-X47,2004,"Strategic Studies & Technology College, Malaysia",Certificate in Administrative Information System
6,6358c3a25be697dfd6a2a308,675-X47,2020,"Young Southeast Asian Leaders Initiative (YSAELI), United States ",Community Organizing for Action Certificate
7,6358c3a25be697dfd6a2a308,675-X47,2020,University of London & OAS University of London	,Global Diplomacy Certificate
8,6358c3a25be697dfd6a2a308,675-X47,2003,"SMK Desa Cemerlang (Ulu Tiram), Johor",SPM
9,6358c3a25be697dfd6a2a308,675-X47,1998,"SRJK (C) Sin Min Sg Besar, Selangor",UPSR
10,6358fa32bd5670fda2abc2c5,1183-T30,1981,"MRSM, KOTA BHARU",SPM
11,6358fa32bd5670fda2abc2c5,1183-T30,1982,"MRSM, SEREMBAN",MATRIKULASI UKM
12,6358fa32bd5670fda2abc2c5,1183-T30,1983-1989,FAKULTI PERUBATAN UKM,IJAZAH KEDOKTORAN (MD)
13,6358c3a45be697dfd6a2a378,133-B77,2004,UNIVERSITI SAINS MALAYSIA,2.8
14,6358c3a35be697dfd6a2a334,619-I59,1987-1988,"ST LOUIS UNIVERSITY, ST LOUIS, USA",MASTERS IN BUSINESS ADMINISTRATION
15,6358c3a35be697dfd6a2a334,619-I59,1982-1986,"UNIVERSITY OF WISCONSIN, GREEN BAY, USA",BACHELORS IN  BUSINESS ADMINISTRATION
16,6358c3a35be697dfd6a2a352,360-B68,2017,NIOSH MALAYSIA,CERTIFICATE TRAIN THE TRAINER
17,6358c3a35be697dfd6a2a352,360-B68,1988,OITA NATIONAL COLLEGE OF TECHNOLOGY,DIPLOMA KEJURUTERAAN AWAM
18,6358c3a35be697dfd6a2a352,360-B68,1984,POLITEKNIK KUANTAN,SIJIL KEJURUTERAAN AWAM
19,6358c3a35be697dfd6a2a352,360-B68,1979,"SEKOLAH MENENGAH TEKNIK, KUALA LUMPUR",SIJIL PELAJARAN MALAYSIA
20,635b16c5e2e59fe60b20491b,,2007-2011,"Doctor of Philosophy, Durham University, U.K",
21,635b16c5e2e59fe60b20491b,,2000-2004,"MA Islamic Jurisprudence, University of Malaya",
22,635b16c5e2e59fe60b20491b,,1994-1999,"BA Islamic Jurisprudence, Al al-Bayt University",
23,6358c3a35be697dfd6a2a324,625-Z05,2002,"Universiti Putra Malaysia (UPM), Serdang",Sarjana Sastera
24,6358c3a35be697dfd6a2a324,625-Z05,1994,"Universiti Sains Malaysia (USM), Pulau Pinang",Sarjana Muda Sastera Dengan Kepujian (Major Sastera Minor Sains Politik)
25,6358c3a35be697dfd6a2a324,625-Z05,1982,"Sekolah Menengah Seri Ampangan, Seremban, Negeri Sembilan",STPM
26,6358c3a35be697dfd6a2a324,625-Z05,1979,"Sekolah Menengah Dato' Onn, Batu Pahat, Johor",SPM
27,6358c3a35be697dfd6a2a324,625-Z05,1977,"Sekolah Menengah Dato' Onn, Batu Pahat, Johor",SRP
28,6358c3a25be697dfd6a2a306,769-M47,2004-2005,"Institut Teknologi Udara, Pusat Latihan Pendidikan Logistik, Kinrara, Selangor ",Lulus 
29,6358c3a25be697dfd6a2a306,769-M47,1988,"Sijil Pelajaran Malaysia, Sekolah Menengah Aminuddin Baki, Johor Bahru, JOHOR ",Gred 3 
30,6358c3a25be697dfd6a2a306,769-M47,1976,"Sekolah Rendah Jenis Kebangsaan ( C ) Foon Yew 5, Larkin, Johor bahru, JOHOR ",Lulus 
31,6358c3a35be697dfd6a2a326,953-W50,2006,LSE,Masters
32,6358c3a35be697dfd6a2a326,953-W50,1999,University of London,Degree
33,635aad7eea3371660a120fb4,1191-H25,N/A,"University of London, United Kingdom ",Sarjana Muda Undang-Undang Dengan Kepujian (LLB. Hons).
34,6358c3a45be697dfd6a2a382,902-I77,2009,"University of Wisconsin-Madison, Amerika Syarikat","BSC, Double Major in Actuarial Science and Eocnomics"
35,6358c3a45be697dfd6a2a382,902-I77,2003,"Kolej Melayu Kuala Kangsar, Perak",9A
36,6358c3a35be697dfd6a2a362,313-R42,2016,"UNIVERSITI SAINS MALAYSIA, PENANG",DOCTORAL(PHD)
37,6358c3a35be697dfd6a2a362,313-R42,2010,UNIVERSITI UTARA MALAYSIA,MBA
38,6358c3a35be697dfd6a2a362,313-R42,1996,"UNIVERSITY OF GLASGOW, SCOTLAND",BACHELOR (B.ENG)
39,6358c3a25be697dfd6a2a310,1026-R07,2005-2009 ,Universiti Tenaga Nasional (UNITEN) ,Bachelor of Civil Engineering (Hons.) 
