,_id,id,tahun,jawatan,parti_politik
0,6358c3a25be697dfd6a2a308,675-X47,2022-,Ahli Majlis Pimpinan Pusat,Parti Keadilan Rakyat
1,6358c3a25be697dfd6a2a308,675-X47,2022-,Ketua Cabang Keadilan TEBRAU,Parti Keadilan Rakyat
2,6358c3a25be697dfd6a2a308,675-X47,2022-,AJK Mobilisasi Pusat,Pakatan Harapan Nasional
3,6358c3a25be697dfd6a2a308,675-X47,2021-2022,Timbalan Ketua Cabang TEBRAU,Parti Keadilan Rakyat
4,6358c3a25be697dfd6a2a308,675-X47,2019-2022,Ketua Angkatan Muda Keadilan (AMK) Negeri Johor,Parti Keadilan Rakyat
5,6358c3a25be697dfd6a2a308,675-X47,2018-2022,Ketua AMK Cabang Tebrau,Parti Keadilan Rakyat
6,6358c3a25be697dfd6a2a308,675-X47,2020,Pegawai Khas Menteri Besar Johor,"Parti Keadilan Rakyat, Pejabat Menteri Besar Johor"
7,6358c3a25be697dfd6a2a308,675-X47,2019-2020,Penyelaras Kepenggunaan Parlimen TEBRAU,Kementerian Perdagangan Dalam Negeri & Hal Ehwal Pengguna
8,6358c3a25be697dfd6a2a308,675-X47,2019-2021,Timbalan Ketua Pemuda PH Negeri Johor,Pakatan Harapan Johor
9,6358c3a25be697dfd6a2a308,675-X47,2016-2018,Ahli Majlis Pimpinan Keadilan Negeri Johor,Parti Keadilan Rakyat
10,6358c3a25be697dfd6a2a308,675-X47,2017-2018,Pengarah Pilihan Raya Parlimen Segamat,Parti Keadilan Rakyat
11,6358c3a25be697dfd6a2a308,675-X47,2017-2019,Timbalan Setiausaha Pemuda PH Negeri Johor,Pakatan Harapan Johor
12,6358c3a25be697dfd6a2a308,675-X47,2015-2018,Naib Ketua AMK Negeri,Parti Keadilan Rakyat Johor
13,6358c3a25be697dfd6a2a308,675-X47,2015-2018,Timbalan Ketua AMK Cabang Tebrau,Parti Keadilan Rakyat
14,6358c3a25be697dfd6a2a308,675-X47,2012-2015,Setiausaha Kerja MPN Johor ,Parti Keadilan Rakyat Johor
15,6358c3a25be697dfd6a2a308,675-X47,2008,Anggota Keadilan TEBRAU,Parti Keadilan Rakyat
16,6358fa32bd5670fda2abc2c5,1183-T30,1999,KETUA WANITA JOHOR BAHRU,PARTI KEADILAN NASIONAL
17,6358fa32bd5670fda2abc2c5,1183-T30,2000,KETUA WANITA JOHOR,PARTI KEADILAN NASIONAL
18,6358fa32bd5670fda2abc2c5,1183-T30,2003,KETUA WANITA JOHOR,PARTI KEADILAN RAKYAT
19,6358fa32bd5670fda2abc2c5,1183-T30,2005,PENGERUSI JOHOR,PARTI KEADILAN RAKYAT
20,6358fa32bd5670fda2abc2c5,1183-T30,2007,NAIB KETUA WANITA,PARTI KEADILAN RAKYAT
21,6358fa32bd5670fda2abc2c5,1183-T30,2018,AHLI MAJLIS PIMPINAN PUSAT (DIPILIH),PARTI KEADILAN RAKYAT
22,6358fa32bd5670fda2abc2c5,1183-T30,2020,"PENGERUSI BIRO STRATEGI, DASAR & LATIHAN, MPWP",PARTI KEADILAN RAKYAT
23,6358fa32bd5670fda2abc2c5,1183-T30,2021,PENGARAH STRATEGI NEGERI JOHOR,PARTI KEADILAN RAKYAT
24,6358fa32bd5670fda2abc2c5,1183-T30,2022,PENGERUSI JK PEMILIHAN PUSAT,PARTI KEADILAN RAKYAT
25,6358fa32bd5670fda2abc2c5,1183-T30,2004,CALON DUN TANJUNG PUTERI,PARTI KEADILAN RAKYAT
26,6358fa32bd5670fda2abc2c5,1183-T30,2008,CALON PARLIMEN GELANG PATAH,PARTI KEADILAN RAKYAT
27,6358fa32bd5670fda2abc2c5,1183-T30,2009,PENGETUA AKADEMI KEADILAN (ARK),PARTI KEADILAN RAKYAT
28,6358c3a45be697dfd6a2a378,133-B77,2020,AHLI,PKR
29,6358c3a35be697dfd6a2a334,619-I59,2018-2022,AHLI PARLIMEN,PARTI KEADILAN RAKYAT
30,6358c3a35be697dfd6a2a334,619-I59,2022-2025,AHLI MAJLIS PIMPINAN PUSAT,PARTI KEADILAN RAKYAT
31,6358c3a35be697dfd6a2a334,619-I59,2022-2025,KETUA CABANG LEDANG,PARTI KEADILAN RAKYAT
32,6358c3a35be697dfd6a2a334,619-I59,2022-,TIMBALAN PENGERUSI MPN JOHOR,PARTI KEADILAN RAKYAT
33,6358c3a35be697dfd6a2a334,619-I59,2019-2022,PENGERUSI MPN JOHOR,PARTI KEADILAN RAKYAT
34,6358c3a35be697dfd6a2a334,619-I59,2014-2018,KETUA PENERANGAN PUSAT,PARTI KEADILAN RAKYAT
35,6358c3a35be697dfd6a2a352,360-B68,2022- KINI,AHLI MPN WP,PARTI KEADILAN RAKYAT
36,6358c3a35be697dfd6a2a352,360-B68,2018-2022,TIMBALAN PENGERUSI MPN WP,PARTI KEADILAN RAKYAT
37,6358c3a35be697dfd6a2a352,360-B68,2007-2022,KETUA CABANG PUTRAJAYA,PARTI KEADILAN RAKYAT
38,6358c3a35be697dfd6a2a352,360-B68,2008,AJK PILIHANRAYA CABANG BDR TUN RAZAK,PARTI KEADILAN RAKYAT
39,6358c3a35be697dfd6a2a352,360-B68,2004,AJK PILIHANRAYA CABANG BDR TUN RAZAK,PARTI KEADILAN RAKYAT
40,6358c3a35be697dfd6a2a352,360-B68,1999-2001,KETUA BAHAGIAN CHERAS,PARTI KEADILAN NASIONAL
41,6358c3a35be697dfd6a2a352,360-B68,1999-2001,KETUA PEMUDA KEADILAN WP,PARTI KEADILAN NASIONAL
42,635b16c5e2e59fe60b20491b,,2022-kini,Ahli Majlis Pimpinan Pusat (MPP),
43,635b16c5e2e59fe60b20491b,,2022-kini,Ketua Cabang Simpang Renggam,
44,6358c3a35be697dfd6a2a324,625-Z05,2022,Pengerusi ,"Pakatan Harapan (PH), Parit Sulong"
45,6358c3a35be697dfd6a2a324,625-Z05,2022,Setiausaha Pengelola,"Parti Keadilan Rakyat, Negeri Johor"
46,6358c3a35be697dfd6a2a324,625-Z05,2022,Ketua Cabang,"Parti Keadilan Rakyat, Parit Sulong"
47,6358c3a35be697dfd6a2a324,625-Z05,2014-2018,Ketua Penerangan,"Parti Keadilan Rakyat, Wilayah Persekutuan"
48,6358c3a35be697dfd6a2a324,625-Z05,2014-2018,Naib Ketua Cabang 2,"Parti Keadilan Rakyat, Putrajaya, Wilayah Persekutuan"
49,6358c3a25be697dfd6a2a306,769-M47,2022,Ketua Wanita Negeri ,Parti Keadilan Rakyat 
50,6358c3a25be697dfd6a2a306,769-M47,2019,Ahli jawatan kuasa ,Parti Keadilan Rakyat 
51,6358c3a35be697dfd6a2a326,953-W50,2014-2022,Timbalan Pengerusi MPN Johor,PKR
52,6358c3a35be697dfd6a2a326,953-W50,2018-2022,KC Pulai,PKR
53,635aad7eea3371660a120fb4,1191-H25,2019,Pengerusi Majlis Pimpinan (MPN) Parti Keadilan Rakyat Negeri Johor ,Parti Keadilan Rakyat
54,6358c3a45be697dfd6a2a382,902-I77,2022-,Pengarah Strategi,Parti Keadilan Rakyat
55,6358c3a45be697dfd6a2a382,902-I77,2019-2022,Ketua,Angkatan Muda Keadilan (AMK) Malaysia
56,6358c3a45be697dfd6a2a382,902-I77,2014-,Ketua Cabang,Cabang Johor Bahru
57,6358c3a35be697dfd6a2a362,313-R42,2022,TIMBALAN KETUA CABANG JERLUN,PARTI KEADILAN RAKYAT
58,6358c3a35be697dfd6a2a362,313-R42,2021,AJK TEAM DATA KEDAH,PARTI KEADILAN RAKYAT
59,6358c3a35be697dfd6a2a362,313-R42,2022,"TRAINER CISTA,SFC  KEDAH",PARTI KEADILAN RAKYAT
60,6358c3a25be697dfd6a2a310,1026-R07,2022,SETIAUSAHA KOMUNIKASI KEADILAN MALAYSIA ,PARTI KEADILAN RAKYAT
61,6358c3a25be697dfd6a2a310,1026-R07,2022,PENGARAH KOMUNIKASI KEADILAN KEDAH ,PARTI KEADILAN RAKYAT
62,6358c3a25be697dfd6a2a310,1026-R07,2022,TIMBALAN KETUA CABANG KUBANG PASU ,PARTI KEADILAN RAKYAT
63,6358c3a25be697dfd6a2a310,1026-R07,2020 – 2021,KETUA PENERANGAN ANGKATAN MUDA KEADILAN MALAYSIA ,PARTI KEADILAN RAKYAT
64,6358c3a25be697dfd6a2a310,1026-R07,2019,EXCO ANGKATAN MUDA KEADILAN MALAYSIA ,PARTI KEADILAN RAKYAT
65,6358c3a25be697dfd6a2a310,1026-R07,2019 – 2021,TIMBALAN KETUA ANGKATAN MUDA KEADILAN KEDAH ,PARTI KEADILAN RAKYAT
66,6358c3a25be697dfd6a2a310,1026-R07,2018,KETUA PEMUDA PAKATAN HARAPAN ALOR SETAR ,PARTI KEADILAN RAKYAT
67,6358c3a25be697dfd6a2a310,1026-R07,2014-2018,EXCO ANGKATAN MUDA KEADILAN KEDAH (PENGARAH STRATEGI ANGKATAN MUDA KEADILAN) ,PARTI KEADILAN RAKYAT
68,6358c3a25be697dfd6a2a310,1026-R07,2014 -2020,KETUA ANGKATAN MUDA KEADILAN ALOR SETAR,PARTI KEADILAN RAKYAT
69,6358c3a25be697dfd6a2a310,1026-R07,2013,"VOLUNTEER FOR PARTI KEADILAN RAKYAT PRU 13, PARLIMENT ALOR SETAR & DUN BAKAR BATA ",PARTI KEADILAN RAKYAT
70,6358c3a25be697dfd6a2a310,1026-R07,2008,"VOLUNTEER FOR PARTI KEADILAN RAKYAT PRU 12, LEMBAH PANTAI ",PARTI KEADILAN RAKYAT
71,6358c3a45be697dfd6a2a384,377-O86,2022,AHLI MAJLIS PIMPINAN PUSAT,KEADILAN
72,6358c3a45be697dfd6a2a384,377-O86,2022,KETUA CABANG SUNGAI PETANI,KEADILAN
73,6358c3a45be697dfd6a2a384,377-O86,2018-KINI,NAIB PENGERUSI MPN KEDAH,KEADILAN
74,6358c3a45be697dfd6a2a384,377-O86,2018-2022,BENDAHARI PUSAT AMK,KEADILAN
75,6358c3a45be697dfd6a2a370,805-R56,1999,PENGASAS KEADILAN CABANG KUALA KEDAH,PARTI KEADILAN RAKYAT
76,6358c3a35be697dfd6a2a360,1017-T49,2008,Timb. Ketua Cabang,Parti Keadilan Rakyat
77,6358c3a35be697dfd6a2a360,1017-T49,2010,Ketua Penerangan Negeri,Parti Keadilan Rakyat
78,6358c3a35be697dfd6a2a360,1017-T49,2018,Timb. Ketua Cabang,Parti Keadilan Rakyat
79,6358c3a35be697dfd6a2a360,1017-T49,2018,Bendahari Negeri ,Parti Keadilan Rakyat
80,6358c3a35be697dfd6a2a360,1017-T49,2022,Ketua Cabang,Parti Keadilan Rakyat
81,6358c3a35be697dfd6a2a360,1017-T49,2022,Naib 1 Pengerusi Negeri,Parti Keadilan Rakyat
82,6358c3a35be697dfd6a2a360,1017-T49,2022,Bendahari Mobilasi Pusat,Parti Keadilan Rakyat
83,6358c3a45be697dfd6a2a364,1123-O11,2000 - 2004,Setiausaha Wanita Bahagian Johor Bahru,KEADILAN
84,6358c3a45be697dfd6a2a364,1123-O11,2000 - 2004,Setiausaha Wanita Negeri Johor,KEADILAN
85,6358c3a45be697dfd6a2a364,1123-O11,2000 - 2004,Setiausaha Negeri Wanita Barisan Alternatif (BA),KEADILAN
86,6358c3a45be697dfd6a2a364,1123-O11,2004 - 2007,EXCO ANGKATA MUDA KEADILAN (AMK) PUSAT,KEADILAN
87,6358c3a45be697dfd6a2a364,1123-O11,2004 - 2007,KETUA ANGKATAN MUDA KEADILAN (AMK) NEGERI JOHOR,KEADILAN
88,6358c3a45be697dfd6a2a364,1123-O11,2004 - 2007,PENGERUSI BIRO PILIHANRAYA AMK PUSAT,KEADILAN
89,6358c3a45be697dfd6a2a364,1123-O11,2004 - 2007 ,TIMBALAN PENGERUSI PEMUDA BARISAN ALTERNATIF (BA) NEGERI JOHOR,KEADILAN
90,6358c3a45be697dfd6a2a364,1123-O11,2007 - 2010,EXCO WANITA KEADILAN PUSAT,KEADILAN
91,6358c3a45be697dfd6a2a364,1123-O11,2007 - 2010,TIMBALAN KETUA WANITA NEGERI KEDAH,KEADILAN
92,6358c3a45be697dfd6a2a364,1123-O11,2007 - 2010,TIMBALAN PENGERUSI BIRO LATIHAN NEGERI KEDAH,KEADILAN
93,6358c3a45be697dfd6a2a364,1123-O11,Sept 2010 - March 2013,EXCO WANITA KEADILAN PUSAT,KEADILAN
94,6358c3a45be697dfd6a2a364,1123-O11,Sept 2010 - March 2013,KETUA WANITA KEADILAN SUNGAI PETANI,KEADILAN
95,6358c3a45be697dfd6a2a364,1123-O11,Sept 2010 - March 2013,"TIMBALAN PENGARAH (2), JPRN KEDAH",KEADILAN
96,6358c3a45be697dfd6a2a364,1123-O11,Sept 2013 - Ogos 2018,EXCO WANITA KEADILAN PUSAT,KEADILAN
97,6358c3a45be697dfd6a2a364,1123-O11,Sept 2013 - Aug 2018,KETUA WANITA KEADILAN NEGERI KEDAH,KEDAH
98,6358c3a45be697dfd6a2a364,1123-O11,Sept 2013 - Aug 2018,KETUA WANITA CABANG MERBOK (PENAJA),KEADILAN
99,6358c3a45be697dfd6a2a364,1123-O11,2018 - 2021,KETUA WANITA PAKATAN HARAPAN KEDAH,KEADILAN
100,6358c3a45be697dfd6a2a364,1123-O11,2018 - 2022,AHLI MAJLIS PIMPINAN PUSAT (MPP),KEADILAN
101,6358c3a45be697dfd6a2a364,1123-O11,2018 - 2022,JURUCAKAP (MP KEADILAN) MINERAL DAN SUMBER ASLI,KEADILAN
102,6358c3a45be697dfd6a2a364,1123-O11,2022 - 2025,AHLI MAJLIS PIMPINAN PUSAT (MPP),KEADILAN
