,coalition,party,logo,name,gender,codeId,state,parName
0,gta,putra,pejuang,Ramle Mat Daly,L,16600,Sabah,Labuan
1,pn,bersatu,pn,Suhaili Abdul Rahman,L,16600,Sabah,Labuan
2,bn,umno,bn,Bashir Alias,L,16600,Sabah,Labuan
3,ph,amanah,ph,Ramli Tahir,L,16600,Sabah,Labuan
4,,warisan,warisan,Rozman Isli,L,16600,Sabah,Labuan
5,,pbm,pbm,Dayang Rusimah @ Raynie Bt Mohd Din,P,16600,Sabah,Labuan
6,bn,umno,bn,Sheikh Mohmed Puzi Sheikh Ali,L,08500,Pahang,Pekan
7,ph,pkr,ph,Mohd Naim Zainal Abidin,L,08500,Pahang,Pekan
8,,ind,ind,Tengku Hisham,L,08500,Pahang,Pekan
9,gta,pejuang,pejuang,Mohammad Radhi Abdul Razak,L,08500,Pahang,Pekan
10,pn,pas,pn,Mohd Fadhil Noor Abdul Karim,L,08500,Pahang,Pekan
11,pn,bersatu,pn,Ku Abd Rahman Ku Ismail,L,00600,Kedah,Kubang Pasu
12,ph,pkr,ph,Mohd Aizuddin Ariffin,L,00600,Kedah,Kubang Pasu
13,gta,pejuang,pejuang,Amiruddin Hamzah,L,00600,Kedah,Kubang Pasu
14,bn,umno,bn,Hasmuni Hassan,L,00600,Kedah,Kubang Pasu
15,ph,pkr,ph,Fadhlina Sidek,P,04700,Penang,Nibong Tebal
16,pn,bersatu,pn,Mansor Othman,L,04700,Penang,Nibong Tebal
17,bn,mmsp,bn,Thanenthiran Ramankutty,P,04700,Penang,Nibong Tebal
18,,ind,ind,Goh Kheng Huat,L,04700,Penang,Nibong Tebal
19,gta,pejuang,pejuang,Wan Marzudi Wan Omar,L,02800,Kelantan,Pasir Puteh
20,bn,umno,bn,Zawawi Othman,L,02800,Kelantan,Pasir Puteh
21,ph,amanah,ph,Muhammad Husain,L,02800,Kelantan,Pasir Puteh
22,pn,pas,pas,Nik Muhammad Zawawi Salleh,L,02800,Kelantan,Pasir Puteh
23,ph,pkr,ph,Jimmy Puah Wee Tse,L,15800,Johor,Tebrau
24,pn,bersatu,pn,Mohamad Isa Mohamad Basir,L,15800,Johor,Tebrau
25,bn,mca,bn,Wong Siaw Ting,P,15800,Johor,Tebrau
26,,ind,ind,Tawfik Ismail,L,07500,Perak,Bagan Datuk
27,pn,bersatu,pn,Muhammad Faiz Na’aman,L,07500,Perak,Bagan Datuk
28,ph,pkr,ph,Shamsul Iskandar,L,07500,Perak,Bagan Datuk
29,bn,umno,bn,Ahmad Zahid Hamidi,L,07500,Perak,Bagan Datuk
30,pn,pas,pn,Aireroshairi Roslan,L,08400,Pahang,Paya Besar
31,gta,pejuang,pejuang,Rosminahar Mohd Amin,L,08400,Pahang,Paya Besar
32,ph,amanah,ph,Ahmad Azam Mohamad Salleh,L,08400,Pahang,Paya Besar
33,bn,umno,bn,Mohd Shahar Abdullah,L,08400,Pahang,Paya Besar
34,gta,putra,pejuang,Ghazali Abu,L,13600,Melaka,Tangga Batu
35,,ind,ind,Shahril Mahmood,L,13600,Melaka,Tangga Batu
36,pn,pas,pn,Bakri Jamaluddin,L,13600,Melaka,Tangga Batu
37,ph,pkr,ph,Rusnah Aluai,P,13600,Melaka,Tangga Batu
38,bn,mca,bn,Lim Ban Hong,L,13600,Melaka,Tangga Batu
39,pn,bersatu,pn,Syed Abu Hussin Hafiz Syed Abdul Fasal,L,05900,Perak,Bukit Gantang
40,gta,pejuang,pejuang,Mohd Shukri Mohd Yusoff,L,05900,Perak,Bukit Gantang
41,ph,amanah,ph,Fakhruldin Mohd Hashim,L,05900,Perak,Bukit Gantang
42,bn,umno,bn,Mohammad Sollehin Mohamad Tajie,L,05900,Perak,Bukit Gantang
43,,ind,ind,Siti Kasim,P,11500,KL,Batu
44,,ind,ind,Tian Chua,L,11500,KL,Batu
45,ph,pkr,ph,P Prabakaran,L,11500,KL,Batu
46,,prm,prm,Mohd Zulkifli Abdul Fattah,L,11500,KL,Batu
47,,ind,ind,Too Cheng Huat,L,11500,KL,Batu
48,gta,pejuang,pejuang,Wan Azliana Wan Adnan,P,11500,KL,Batu
49,pn,pas,pn,Azhar Yahya,L,11500,KL,Batu
50,,warisan,warisan,Naganathan Pillai,L,11500,KL,Batu
51,bn,mic,bn,A Kohilan Pillay,L,11500,KL,Batu
52,,ind,ind,Nur Fathiah Syazwana @ Cleo,P,11500,KL,Batu
53,pn,bersatu,pn,Iskandar Dzulkarnain Abdul Khalid,L,06700,Perak,Kuala Kangsar
54,bn,umno,bn,Maslin Sham Razman,L,06700,Perak,Kuala Kangsar
55,gta,pejuang,pejuang,Yusmalia Muhammad Yusof,P,06700,Perak,Kuala Kangsar
56,ph,amanah,ph,Ahmad Termizi Ramli,L,06700,Perak,Kuala Kangsar
57,gta,berjasa,pejuang,Fahmi Bazlan Muda,L,11100,Selangor,Kota Raja
58,pn,pas,pn,Mohamed Diah Baharun,L,11100,Selangor,Kota Raja
59,,ind,ind,Kumar Karananedi,L,11100,Selangor,Kota Raja
60,bn,mic,bn,D Kajendran,L,11100,Selangor,Kota Raja
61,ph,amanah,ph,Mohamad Sabu,L,11100,Selangor,Kota Raja
62,,ind,ind,P Raveentharan A Periasamy,L,11100,Selangor,Kota Raja
63,,prm,prm,Sarah Afiqah Zainol Arif,P,11100,Selangor,Kota Raja
64,,ind,ind,Surendhar Selvaraju,L,11100,Selangor,Kota Raja
65,pn,pas,pas,Abdul Latiff Abdul Rahman,L,03100,Kelantan,Kuala Krai
66,bn,umno,bn,Mohamed Zulkepli Omar,L,03100,Kelantan,Kuala Krai
67,gta,pejuang,pejuang,Norashikin Che Omar,P,03100,Kelantan,Kuala Krai
68,ph,amanah,ph,Mohd Hisyamuddin,L,03100,Kelantan,Kuala Krai
69,ph,pkr,ph,Saifuddin Nasution Ismail,L,01800,Kedah,Kulim-Bandar Baharu
70,pn,bersatu,pn,Roslan Hashim,L,01800,Kedah,Kulim-Bandar Baharu
71,gta,direct,pejuang,Mohamad Yusrizal Yusoff,L,01800,Kedah,Kulim-Bandar Baharu
72,bn,umno,bn,Muhar Hussain,L,01800,Kedah,Kulim-Bandar Baharu
73,pn,bersatu,pn,Muhammad Noraffendy Mohd Salleh,L,12700,Negeri Sembilan,Jempol
74,gta,putra,pejuang,Mohd Khalid Muhd Yunus,L,12700,Negeri Sembilan,Jempol
75,bn,umno,bn,Shamsulkahar Mohd Deli,L,12700,Negeri Sembilan,Jempol
76,ph,amanah,ph,Norwani Ahmat,P,12700,Negeri Sembilan,Jempol
77,bn,mca,bn,Low Guo Nan,L,06500,Perak,Ipoh Barat
78,ph,dap,ph,M Kulasegaran,L,06500,Perak,Ipoh Barat
79,pn,gerakan,pn,Chek Kwong Weng,L,06500,Perak,Ipoh Barat
80,,ind,ind,M Kayveas,L,06500,Perak,Ipoh Barat
81,ph,dap,ph,Tan Kok Wai,L,12300,KL,Cheras
82,bn,mca,bn,Chong Yew Chuan,L,12300,KL,Cheras
83,pn,bersatu,pn,Chin Yoke Kheng,P,12300,KL,Cheras
84,pn,pas,pn,Awang Hashim,L,01100,Kedah,Pendang
85,ph,pkr,ph,Zulkifli Mohamad,L,01100,Kedah,Pendang
86,gta,direct,pejuang,Abdul Rashid Yop,L,01100,Kedah,Pendang
87,bn,umno,bn,Suraya Yaacob,P,01100,Kedah,Pendang
88,gta,direct,pejuang,Idris Md Yusof,L,09200,Selangor,Sabak Bernam
89,bn,umno,bn,Abd Rahman Bakri,L,09200,Selangor,Sabak Bernam
90,pn,bersatu,pn,Mohd Fasiah Mohd Fakeh,L,09200,Selangor,Sabak Bernam
91,ph,amanah,ph,Shamsul Ma'arif Ismail,L,09200,Selangor,Sabak Bernam
92,,warisan,warisan,Mohd Akmal Azhar,L,04200,Penang,Tasek Gelugor
93,ph,amanah,ph,Nik Abdul Razak Nik Md Ridzuan,L,04200,Penang,Tasek Gelugor
94,gta,direct,pejuang,Abdul Halim Sher Jung,L,04200,Penang,Tasek Gelugor
95,bn,umno,bn,Muhamad Yusoff Mohd Noor,L,04200,Penang,Tasek Gelugor
96,pn,bersatu,pn,Wan Saiful Wan Jan,L,04200,Penang,Tasek Gelugor
97,bn,umno,bn,Zambry Abd Kadir,L,07400,Perak,Lumut
98,ph,amanah,ph,Hatta Ramli,L,07400,Perak,Lumut
99,pn,bersatu,pn,Nordin Ahmad Ismail,L,07400,Perak,Lumut
100,,warisan,warisan,Mohd Isnin Ismail @ Ibrahim Khan,L,07400,Perak,Lumut
101,gta,pejuang,pejuang,Mazlan Abdul Ghani,L,07400,Perak,Lumut
102,pn,pas,pas,Alias Razak,L,03500,Terengganu,Kuala Nerus
103,bn,direct,bn,Khairuddin Aman Razali,L,03500,Terengganu,Kuala Nerus
104,gta,putra,pejuang,Azaha Wahid,L,03500,Terengganu,Kuala Nerus
105,ph,amanah,ph,Suhaimi Hashim,L,03500,Terengganu,Kuala Nerus
106,pn,pas,pas,Mohd Syahrir Che Sulaiman,L,02500,Kelantan,Bachok
107,ph,pkr,ph,Nor Azmiza Mamat,P,02500,Kelantan,Bachok
108,,ind,ind,Zu,L,02500,Kelantan,Bachok
109,gta,putra,putra,Kamarul Azam Osman,L,02500,Kelantan,Bachok
110,bn,umno,bn,Mohd Zain Yasim,L,02500,Kelantan,Bachok
111,ph,amanah,ph,Mujahid Yusof Rawa,L,05700,Perak,Parit Buntar
112,bn,umno,bn,Imran Mohd Yusof,L,05700,Perak,Parit Buntar
113,gta,pejuang,pejuang,Rohijas,L,05700,Perak,Parit Buntar
114,pn,pas,pn,Mohd Misbahul Munir Masduki,L,05700,Perak,Parit Buntar
115,gta,pejuang,pejuang,Razali Lebai Salleh,L,00700,Kedah,Padang Terap
116,bn,umno,bn,Mahdzir Khalid,L,00700,Kedah,Padang Terap
117,ph,amanah,ph,Muaz Abdullah,L,00700,Kedah,Padang Terap
118,pn,pas,pn,Nurul Amin Hamid,L,00700,Kedah,Padang Terap
119,ph,amanah,ph,Wan Ahmad Kamil Wan Abdullah,L,02400,Kelantan,Kubang Kerian
120,gta,pejuang,pejuang,Mohamad Rizal Razali,L,02400,Kelantan,Kubang Kerian
121,bn,umno,bn,Nurul Amal Mohd Fauzi,P,02400,Kelantan,Kubang Kerian
122,pn,pas,pas,Tuan Ibrahim Tuan Man,L,02400,Kelantan,Kubang Kerian
123,gta,putra,pejuang,Mohamad Abu Bakar Muda,L,03600,Terengganu,Kuala Terengganu
124,bn,umno,bn,Mohd Zubir Embong,L,03600,Terengganu,Kuala Terengganu
125,ph,amanah,ph,Raja Kamarul Bahrin Shah,L,03600,Terengganu,Kuala Terengganu
126,pn,pas,pas,Ahmad Amzad Mohamed,L,03600,Terengganu,Kuala Terengganu
127,gta,berjasa,pejuang,Hamidi Abu Hassan,L,04100,Penang,Kepala Batas
128,pn,pas,pn,Siti Mastura Mohamad,P,04100,Penang,Kepala Batas
129,ph,muda,muda,Danial Abdul Majeed,L,04100,Penang,Kepala Batas
130,bn,umno,bn,Reezal Merican Naina Merican,L,04100,Penang,Kepala Batas
131,,ind,ind,Indrani,P,06200,Perak,Sungai Siput
132,,ind,ind,Haji Baha,L,06200,Perak,Sungai Siput
133,bn,mic,bn,S Vigneswaran M Sanasee,L,06200,Perak,Sungai Siput
134,ph,pkr,ph,S Kesavan,L,06200,Perak,Sungai Siput
135,gta,pejuang,pejuang,Ahmad Fauzi Mohd Jaafar,L,06200,Perak,Sungai Siput
136,,ind,ind,Rajah Narasaim,L,06200,Perak,Sungai Siput
137,pn,bersatu,pn,Irudianathan Gabriel,L,06200,Perak,Sungai Siput
138,pn,bersatu,pn,Azmin Ali,L,09800,Selangor,Gombak
