,year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes,gender,results_added,coal_or_party
0,2022,RAMLE MAT DALY,GTA,PUTRA,0,0,166,LABUAN,Sabah,0,0,F,0,PUTRA
1,2022,SUHAILI ABDUL RAHMAN,PN,BERSATU,0,0,166,LABUAN,Sabah,0,0,F,0,PN
2,2022,BASHIR ALIAS,BN,UMNO,0,0,166,LABUAN,Sabah,0,0,F,0,BN
3,2022,RAMLI TAHIR,PH,AMANAH,0,0,166,LABUAN,Sabah,0,0,F,0,PH
4,2022,ROZMAN ISLI,,WARISAN,0,0,166,LABUAN,Sabah,0,0,F,0,WARISAN
5,2022,DAYANG RUSIMAH @ RAYNIE BT MOHD DIN,,PBM,0,0,166,LABUAN,Sabah,0,0,M,0,PBM
6,2022,SHEIKH MOHMED PUZI SHEIKH ALI,BN,UMNO,0,0,085,PEKAN,Pahang,0,0,F,0,BN
7,2022,MOHD NAIM ZAINAL ABIDIN,PH,PKR,0,0,085,PEKAN,Pahang,0,0,F,0,PH
8,2022,TENGKU HISHAM,,IND,0,0,085,PEKAN,Pahang,0,0,F,0,BEBAS
9,2022,MOHAMMAD RADHI ABDUL RAZAK,GTA,PEJUANG,0,0,085,PEKAN,Pahang,0,0,F,0,PEJUANG
10,2022,MOHD FADHIL NOOR ABDUL KARIM,PN,PAS,0,0,085,PEKAN,Pahang,0,0,F,0,PAS
11,2022,KU ABD RAHMAN KU ISMAIL,PN,BERSATU,0,0,006,KUBANG PASU,Kedah,0,0,F,0,PN
12,2022,MOHD AIZUDDIN ARIFFIN,PH,PKR,0,0,006,KUBANG PASU,Kedah,0,0,F,0,PH
13,2022,AMIRUDDIN HAMZAH,GTA,PEJUANG,0,0,006,KUBANG PASU,Kedah,0,0,F,0,PEJUANG
14,2022,HASMUNI HASSAN,BN,UMNO,0,0,006,KUBANG PASU,Kedah,0,0,F,0,BN
15,2022,FADHLINA SIDEK,PH,PKR,0,0,047,NIBONG TEBAL,Penang,0,0,M,0,PH
