,year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes,gender,results_added,fuzzy,spr_id,id_x,t,kid,a,ju,mj
0,2022,RAMLE MAT DALY,GTA,PUTRA,90,0,166,LABUAN,Sabah,0,0,F,0,1,606.0,606.0,RAMLE,16600,PEJUANG,90.0,708.0
1,2022,SUHAILI ABDUL RAHMAN,PN,BERSATU,8124,0,166,LABUAN,Sabah,0,0,F,0,0,203.0,203.0,DATO' DR. SUHAILI ABDUL RAHMAN,16600,PN,8124.0,708.0
2,2022,BASHIR ALIAS,BN,UMNO,7416,0,166,LABUAN,Sabah,0,0,F,0,0,347.0,347.0,BASHIR BIN ALIAS,16600,BN,7416.0,708.0
3,2022,RAMLI TAHIR,PH,AMANAH,5307,0,166,LABUAN,Sabah,0,0,F,0,0,508.0,508.0,DATUK WIRA DR RAMLI,16600,PH,5307.0,708.0
4,2022,ROZMAN ISLI,,WARISAN,7310,0,166,LABUAN,Sabah,0,0,F,0,0,432.0,432.0,DATUK ROZMAN ISLI,16600,WARISAN,7310.0,708.0
5,2022,DAYANG RUSIMAH @ RAYNIE BT MOHD DIN,,PBM,202,0,166,LABUAN,Sabah,0,0,M,0,0,808.0,808.0,DAYANG RUSIMAH @ RAYNIE BINTI DATUK HJ. MOHD. DIN,16600,PBM,202.0,708.0
6,2022,SHEIKH MOHMED PUZI SHEIKH ALI,BN,UMNO,47418,0,085,PEKAN,Pahang,0,0,F,0,0,1059.0,1059.0,SH MOHMED PUZI BIN SH ALI,08500,BN,47418.0,8949.0
7,2022,MOHD NAIM ZAINAL ABIDIN,PH,PKR,6316,0,085,PEKAN,Pahang,0,0,F,0,0,1320.0,1320.0,MOHD NAIM ZAINAL ABIDIN,08500,PH,6316.0,8949.0
8,2022,TENGKU HISHAM,,IND,366,0,085,PEKAN,Pahang,0,0,F,0,1,1311.0,1311.0,TENGKU DATO' HISHAM,08500,BEBAS,366.0,8949.0
9,2022,MOHAMMAD RADHI ABDUL RAZAK,GTA,PEJUANG,472,0,085,PEKAN,Pahang,0,0,F,0,0,1307.0,1307.0,DATO' RADHI ABDUL RAZAK,08500,PEJUANG,472.0,8949.0
10,2022,MOHD FADHIL NOOR ABDUL KARIM,PN,PAS,38469,0,085,PEKAN,Pahang,0,0,F,0,0,373.0,373.0,USTAZ MOHD FADHIL NOOR,08500,PN,38469.0,8949.0
11,2022,KU ABD RAHMAN KU ISMAIL,PN,BERSATU,47584,0,006,KUBANG PASU,Kedah,0,0,F,0,0,535.0,535.0,DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,00600,PN,47584.0,31584.0
12,2022,MOHD AIZUDDIN ARIFFIN,PH,PKR,16000,0,006,KUBANG PASU,Kedah,0,0,F,0,0,238.0,238.0,AIZUDDIN ARIFFIN,00600,PH,16000.0,31584.0
13,2022,AMIRUDDIN HAMZAH,GTA,PEJUANG,5329,0,006,KUBANG PASU,Kedah,0,0,F,0,0,838.0,838.0,AMIRUDDIN HAMZAH (TOK MET),00600,PEJUANG,5329.0,31584.0
14,2022,HASMUNI HASSAN,BN,UMNO,14489,0,006,KUBANG PASU,Kedah,0,0,F,0,0,161.0,161.0,HASMUNI BIN HASSAN (TOK MUNI),00600,BN,14489.0,31584.0
15,2022,FADHLINA SIDEK,PH,PKR,42188,0,047,NIBONG TEBAL,Penang,0,0,M,0,0,631.0,631.0,FADHLINA BINTI SIDEK,04700,PH,42188.0,16293.0
16,2022,MANSOR OTHMAN,PN,BERSATU,25895,0,047,NIBONG TEBAL,Penang,0,0,F,0,0,315.0,315.0,DATO' MANSOR BIN OTHMAN,04700,PN,25895.0,16293.0
17,2022,THANENTHIRAN RAMANKUTTY,BN,MMSP,10660,0,047,NIBONG TEBAL,Penang,0,0,M,0,0,534.0,534.0,DATUK SERI THANENTHIRAN,04700,BN,10660.0,16293.0
18,2022,GOH KHENG HUAT,,IND,565,0,047,NIBONG TEBAL,Penang,0,0,F,0,1,94.0,94.0,GOH KHENG HUAT,04700,BEBAS,565.0,16293.0
19,2022,WAN MARZUDI WAN OMAR,GTA,PEJUANG,349,0,028,PASIR PUTEH,Kelantan,0,0,F,0,0,463.0,463.0,KAPTEN WAN MARZUDI,02800,PEJUANG,349.0,29109.0
20,2022,ZAWAWI OTHMAN,BN,UMNO,23828,0,028,PASIR PUTEH,Kelantan,0,0,F,0,0,557.0,557.0,DATUK CIKGU AWI,02800,BN,23828.0,29109.0
21,2022,MUHAMMAD HUSAIN,PH,AMANAH,3864,0,028,PASIR PUTEH,Kelantan,0,0,F,0,0,362.0,362.0,USTAZ MUHAMMAD HUSAIN,02800,PH,3864.0,29109.0
22,2022,NIK MUHAMMAD ZAWAWI SALLEH,PN,PAS,52937,0,028,PASIR PUTEH,Kelantan,0,0,F,0,0,49.0,49.0,USTAZ NIK ZAWAWI,02800,PAS,52937.0,29109.0
23,2022,JIMMY PUAH WEE TSE,PH,PKR,83959,0,158,TEBRAU,Johor,0,0,F,0,0,474.0,474.0,JIMMY PUAH WEE TSE,15800,PH,83959.0,30720.0
24,2022,MOHAMAD ISA MOHAMAD BASIR,PN,BERSATU,53239,0,158,TEBRAU,Johor,0,0,F,0,0,126.0,126.0,MOHAMAD ISA BIN MOHAMAD BASIR,15800,PN,53239.0,30720.0
25,2022,WONG SIAW TING,BN,MCA,30767,0,158,TEBRAU,Johor,0,0,M,0,0,314.0,314.0,NICOLE WONG,15800,BN,30767.0,30720.0
26,2022,TAWFIK ISMAIL,,IND,226,0,075,BAGAN DATUK,Perak,0,0,F,0,1,1236.0,1236.0,TAWFIK TUN DR ISMAIL,07500,BEBAS,226.0,348.0
27,2022,MUHAMMAD FAIZ NA’AMAN,PN,BERSATU,8822,0,075,BAGAN DATUK,Perak,0,0,F,0,0,791.0,791.0,DR. FAIZ NA'AMAN,07500,PN,8822.0,348.0
28,2022,SHAMSUL ISKANDAR,PH,PKR,16230,0,075,BAGAN DATUK,Perak,0,0,F,0,0,908.0,908.0,DATUK SERI HAJI SHAMSUL ISKANDAR,07500,PH,16230.0,348.0
29,2022,AHMAD ZAHID HAMIDI,BN,UMNO,16578,0,075,BAGAN DATUK,Perak,0,0,F,0,0,829.0,829.0,ZAHID HAMIDI,07500,BN,16578.0,348.0
30,2022,AIREROSHAIRI ROSLAN,PN,PAS,25582,0,084,PAYA BESAR,Pahang,0,0,F,0,0,1201.0,1201.0,USTAZ AIRE ROSLAN,08400,PN,25582.0,1317.0
31,2022,ROSMINAHAR MOHD AMIN,GTA,PEJUANG,310,0,084,PAYA BESAR,Pahang,0,0,F,0,0,1239.0,1239.0,Ir. ROSMINAHAR,08400,PEJUANG,310.0,1317.0
32,2022,AHMAD AZAM MOHAMAD SALLEH,PH,AMANAH,9192,0,084,PAYA BESAR,Pahang,0,0,F,0,0,1192.0,1192.0,AHMAD AZAM,08400,PH,9192.0,1317.0
33,2022,MOHD SHAHAR ABDULLAH,BN,UMNO,26899,0,084,PAYA BESAR,Pahang,0,0,F,0,0,101.0,101.0,DATO' INDERA MOHD SHAHAR BIN ABDULLAH,08400,BN,26899.0,1317.0
34,2022,GHAZALI ABU,GTA,PUTRA,702,0,136,TANGGA BATU,Melaka,0,0,F,0,1,164.0,164.0,GHAZALI BIN ABU,13600,PEJUANG,702.0,8849.0
35,2022,SHAHRIL MAHMOOD,,IND,267,0,136,TANGGA BATU,Melaka,0,0,F,0,1,403.0,403.0,SHAHRIL MAHMOOD,13600,BEBAS,267.0,8849.0
36,2022,BAKRI JAMALUDDIN,PN,PAS,37406,0,136,TANGGA BATU,Melaka,0,0,F,0,0,507.0,507.0,BAKRI JAMALUDDIN,13600,PN,37406.0,8849.0
37,2022,RUSNAH ALUAI,PH,PKR,28557,0,136,TANGGA BATU,Melaka,0,0,M,0,0,283.0,283.0,PROF. MADYA RUSNAH ALUAI,13600,PH,28557.0,8849.0
38,2022,LIM BAN HONG,BN,MCA,25095,0,136,TANGGA BATU,Melaka,0,0,F,0,0,676.0,676.0,DATUK LIM BAN HONG,13600,BN,25095.0,8849.0
39,2022,SYED ABU HUSSIN HAFIZ SYED ABDUL FASAL,PN,BERSATU,32625,0,059,BUKIT GANTANG,Perak,0,0,F,0,0,1185.0,1185.0,DATO' SYED ABU HUSSIN,05900,PN,32625.0,12756.0
40,2022,MOHD SHUKRI MOHD YUSOFF,GTA,PEJUANG,508,0,059,BUKIT GANTANG,Perak,0,0,F,0,0,1156.0,1156.0,MOHD SHUKRI,05900,PEJUANG,508.0,12756.0
41,2022,FAKHRULDIN MOHD HASHIM,PH,AMANAH,18565,0,059,BUKIT GANTANG,Perak,0,0,F,0,0,636.0,636.0,DR. FAKHRULDIN MOHD HASHIM,05900,PH,18565.0,12756.0
42,2022,MOHAMMAD SOLLEHIN MOHAMAD TAJIE,BN,UMNO,19869,0,059,BUKIT GANTANG,Perak,0,0,F,0,0,1162.0,1162.0,MOHAMMAD SOLLEHIN,05900,BN,19869.0,12756.0
43,2022,SITI KASIM,,IND,653,0,115,BATU,KL,0,0,M,0,1,983.0,983.0,SITI KASIM,11500,BEBAS,653.0,22241.0
44,2022,TIAN CHUA,,IND,4603,0,115,BATU,KL,0,0,F,0,1,262.0,262.0,TIAN CHUA,11500,BEBAS,4603.0,22241.0
45,2022,P PRABAKARAN,PH,PKR,45716,0,115,BATU,KL,0,0,F,0,0,533.0,533.0,PRABAKARAN PARAMESWARAN,11500,PH,45716.0,22241.0
46,2022,MOHD ZULKIFLI ABDUL FATTAH,,PRM,137,0,115,BATU,KL,0,0,F,0,0,787.0,787.0,ZULKIFLI FATTAH,11500,PRM,137.0,22241.0
47,2022,TOO GAO LAN,,IND,112,0,115,BATU,KL,0,0,F,0,1,542.0,542.0,TOO GAO LAN,11500,BEBAS,112.0,22241.0
48,2022,WAN AZLIANA WAN ADNAN,GTA,PEJUANG,849,0,115,BATU,KL,0,0,M,0,0,734.0,734.0,WAN AZLIANA,11500,PEJUANG,849.0,22241.0
49,2022,AZHAR YAHYA,PN,PAS,23475,0,115,BATU,KL,0,0,F,0,0,411.0,411.0,USTAZ AZHAR YAHYA,11500,PN,23475.0,22241.0
50,2022,NAGANATHAN PILLAI,,WARISAN,575,0,115,BATU,KL,0,0,F,0,0,894.0,894.0,NATHAN BATU,11500,WARISAN,575.0,22241.0
51,2022,A KOHILAN PILLAY,BN,MIC,10398,0,115,BATU,KL,0,0,F,0,0,641.0,641.0,A. KOHILAN PILLAY,11500,BN,10398.0,22241.0
52,2022,NUR FATHIAH SYAZWANA @ CLEO,,IND,628,0,115,BATU,KL,0,0,M,0,1,970.0,970.0,NUR FATHIAH SYAZWANA @ CLEO,11500,BEBAS,628.0,22241.0
53,2022,ISKANDAR DZULKARNAIN ABDUL KHALID,PN,BERSATU,14380,0,067,KUALA KANGSAR,Perak,0,0,F,0,0,1049.0,1049.0,ISKANDAR DZULKARNAIN,06700,PN,14380.0,3566.0
54,2022,MASLIN SHAM RAZMAN,BN,UMNO,10814,0,067,KUALA KANGSAR,Perak,0,0,F,0,0,1083.0,1083.0,MASLIN SHAM BIN RAZMAN,06700,BN,10814.0,3566.0
55,2022,YUSMALIA MUHAMMAD YUSOF,GTA,PEJUANG,204,0,067,KUALA KANGSAR,Perak,0,0,M,0,0,1012.0,1012.0,DR YUSMALIA BT MOHAMAD YUSOF,06700,PEJUANG,204.0,3566.0
56,2022,AHMAD TERMIZI RAMLI,PH,AMANAH,10356,0,067,KUALA KANGSAR,Perak,0,0,F,0,0,1037.0,1037.0,DR. AHMAD TERMIZI RAMLI,06700,PH,10356.0,3566.0
57,2022,FAHMI BAZLAN MUDA,GTA,BERJASA,2063,0,111,KOTA RAJA,Selangor,0,0,F,0,1,581.0,581.0,FAHMI BAZLAN MUDA,11100,PEJUANG,2063.0,73998.0
58,2022,MOHAMED DIAH BAHARUN,PN,PAS,49308,0,111,KOTA RAJA,Selangor,0,0,F,0,0,280.0,280.0,HAJI MOHAMED DIAH BAHARUN,11100,PN,49308.0,73998.0
59,2022,KUMAR KARANANEDI,,IND,163,0,111,KOTA RAJA,Selangor,0,0,F,0,1,993.0,993.0,KUMAR KARANANEDI,11100,BEBAS,163.0,73998.0
60,2022,D KAJENDRAN,BN,MIC,22225,0,111,KOTA RAJA,Selangor,0,0,F,0,0,439.0,439.0,KAJENDRAN,11100,BN,22225.0,73998.0
61,2022,MOHAMAD SABU,PH,AMANAH,123306,0,111,KOTA RAJA,Selangor,0,0,F,0,0,116.0,116.0,MOHD SABU,11100,PH,123306.0,73998.0
