,coalition,party,logo,name,gender,codeId,state,parName
0,,warisan,warisan,Khaw Hock Kong,L,00101,Perlis,Padang Besar
1,ph,dap,ph,Teh Seng Chuan,L,00101,Perlis,Padang Besar
2,pn,bersatu,pn,Izizam Ibrahim,L,00101,Perlis,Padang Besar
3,,ind,ind,Zahidi Zainul Abidin,L,00101,Perlis,Padang Besar
4,gta,pejuang,pejuang,Mohd Shahril Md Sarif,L,00101,Perlis,Padang Besar
5,bn,mca,bn,Teh Chai Aan,L,00101,Perlis,Padang Besar
6,ph,amanah,ph,Mat Safar Saad,L,00102,Perlis,Padang Besar
7,pn,pas,pn,Haziq Asyraf Dun,L,00102,Perlis,Padang Besar
8,bn,umno,bn,Ruzaini Rais,L,00102,Perlis,Padang Besar
9,,warisan,warisan,Mohd Shamim M Nordin,L,00102,Perlis,Padang Besar
10,ph,pkr,ph,Natthavuth Seng,L,00103,Perlis,Padang Besar
11,pn,pas,pn,Saad Seman,L,00103,Perlis,Padang Besar
12,bn,umno,bn,Asmaiza Ahmad,P,00103,Perlis,Padang Besar
13,pn,pas,pn,Wan Badariyah Wan Saad,P,00104,Perlis,Padang Besar
14,ph,pkr,ph,Amran Kamarudin,L,00104,Perlis,Padang Besar
15,bn,umno,bn,Siti Berenee Yahaya,P,00104,Perlis,Padang Besar
16,ph,amanah,ph,Che Mazlina Che Yob,P,00105,Perlis,Padang Besar
17,pn,pas,pn,Azmir Azizan,L,00105,Perlis,Padang Besar
18,bn,umno,bn,Azizan Sulaiman,L,00105,Perlis,Padang Besar
19,gta,pejuang,pejuang,Shazwan Suban,L,00206,Perlis,Kangar
20,bn,umno,bn,Azlan Man,L,00206,Perlis,Kangar
21,ph,amanah,ph,Azhari Ahmad,L,00206,Perlis,Kangar
22,,ind,ind,Hashim Suboh,L,00206,Perlis,Kangar
23,,warisan,warisan,Mohamad Khair bin Mohd Noor,L,00206,Perlis,Kangar
24,pn,pas,pn,Fakhrul Anwar Ismail,L,00206,Perlis,Kangar
25,bn,umno,bn,Saiful Daniel Mohd Yusof,L,00207,Perlis,Kangar
26,ph,pkr,ph,Asrul Nizam Abd Jalil,L,00207,Perlis,Kangar
27,pn,bersatu,pn,Marzita Mansor,P,00207,Perlis,Kangar
28,gta,pejuang,pejuang,Mohd Faizal Yunus,L,00207,Perlis,Kangar
29,ph,pkr,ph,Gan Ay Ling,P,00208,Perlis,Kangar
30,bn,mca,bn,Lim Weng Khee,L,00208,Perlis,Kangar
31,pn,bersatu,pn,Pramoot Puan,L,00208,Perlis,Kangar
32,,warisan,warisan,Atan Jasin,L,00208,Perlis,Kangar
33,,ind,ind,Azahar Ahmad,L,00209,Perlis,Kangar
34,pn,bersatu,pn,Abu Bakar Hamzah,L,00209,Perlis,Kangar
35,,warisan,warisan,Muhamad Hairi Noordin,L,00209,Perlis,Kangar
36,bn,umno,bn,Kamarudin Malek,L,00209,Perlis,Kangar
37,ph,pkr,ph,Nor Azam Karap,L,00209,Perlis,Kangar
38,pn,pas,pn,Akan Diumumkan,L,00210,Perlis,Kangar
39,bn,umno,bn,Hamizan Hassan,L,00210,Perlis,Kangar
40,,warisan,warisan,Khairuddin Abdullah,L,00210,Perlis,Kangar
41,ph,amanah,ph,Wan Kharizal Wan Khazim,L,00210,Perlis,Kangar
42,pn,bersatu,pn,Megat Hashirat Hassan,L,00311,Perlis,Arau
43,ph,pkr,ph,Azhar Ameir,L,00311,Perlis,Arau
44,bn,umno,bn,Syed Atif Syed Abu Bakar,L,00311,Perlis,Arau
45,,warisan,warisan,Mohd Khalid bin Ahmad,L,00311,Perlis,Arau
46,pn,bersatu,pn,Wan Zikri Afthar Ishak,L,00312,Perlis,Arau
47,bn,umno,bn,Ismail Kassim,L,00312,Perlis,Arau
48,ph,pkr,ph,Muhammad Syahmi Suhaimi,L,00312,Perlis,Arau
49,gta,pejuang,pejuang,Maton Din,L,00312,Perlis,Arau
50,ph,pkr,ph,Hasparizal Hassan,L,00313,Perlis,Arau
