,parCode,codeId,state,ge14WonParty,ge14WonCoalition,ge14Majority,parName,zhParName,voters,incumbentName,zhName,incumbentCoalition,incumbentParty,forLiveSite
0,P166,16600,Sabah,umno,bn,1450,Labuan,纳闽,44484,Rozman Isli,罗兹曼,,warisan,WARISAN
1,P085,08500,Pahang,umno,bn,24859,Pekan,北根,119443,Najib Abdul Razak,纳吉,bn,umno,BN
2,P006,00600,Kedah,bersatu,ph,13009,Kubang Pasu,古邦巴素,108217,Amiruddin Hamzah,阿米鲁丁,gta,pejuang,GTA
3,P047,04700,Penang,pkr,ph,15817,Nibong Tebal,高渊,100062,Mansor Othman,曼梳,pn,bersatu,PN
4,P028,02800,Kelantan,pas,gagasan,1360,Pasir Puteh,巴西富地,113070,Nik Muhammad Zawawi Salleh,聂莫哈末扎瓦威,pn,pas,PN
5,P158,15800,Johor,pkr,ph,37225,Tebrau,地不佬,223301,Steven Choong Shiau Yoon,钟少云,,pbm,PBM
6,P075,07500,Perak,umno,bn,5073,Bagan Datuk,峇眼拿督,58183,Ahmad Zahid Hamidi,阿末扎希,bn,umno,BN
7,P084,08400,Pahang,umno,bn,5742,Paya Besar,巴耶勿刹,79744,Mohd Shahar Abdullah,沙哈尔,bn,umno,BN
8,P136,13600,Melaka,pkr,ph,4659,Tangga Batu,冬牙峇株,115998,Rusnah Aluai,鲁斯娜,ph,pkr,HARAPAN
9,P059,05900,Perak,umno,bn,4089,Bukit Gantang,武吉干当,94253,Syed Abu Hussin Hafiz Syed Abdul Fasal,赛阿布胡先,pn,bersatu,PN
10,P115,11500,KL,bebas(ph),ph,24438,Batu,峇都,113863,P Prabakaran,巴拉卡兰,ph,pkr,HARAPAN
11,P067,06700,Perak,umno,bn,731,Kuala Kangsar,江沙,46985,Mastura Mohd Yazid,玛斯图拉,bn,umno,BN
12,P111,11100,Selangor,amanah,ph,71142,Kota Raja,哥打拉惹,244712,Mohamad Sabu,莫哈末沙布,ph,amanah,HARAPAN
13,P031,03100,Kelantan,pas,gagasan,7992,Kuala Krai,瓜拉吉赖,92335,Abdul Latiff Abdul Rahman,阿都拉迪夫,pn,pas,PN
14,P018,01800,Kedah,pkr,ph,4860,Kulim-Bandar Baharu,居林万拉峇鲁,90141,Saifuddin Nasution Ismail,赛夫丁,ph,pkr,HARAPAN
15,P127,12700,Negeri Sembilan,umno,bn,1631,Jempol,仁保,95813,Mohd Salim Sharif,沙林,bn,umno,BN
16,P065,06500,Perak,dap,ph,45724,Ipoh Barat,怡保西区,114654,M Kulasegaran,古拉,ph,dap,HARAPAN
17,P123,12300,KL,dap,ph,49665,Cheras,蕉赖,101184,Tan Kok Wai,陈国伟,ph,dap,HARAPAN
18,P011,01100,Kedah,pas,gagasan,5808,Pendang,本同,94547,Awang Hashim,阿旺,pn,pas,PN
19,P092,09200,Selangor,umno,bn,1674,Sabak Bernam,沙白安南,51609,Mohd Fasiah Mohd Fakeh,法西亚,pn,bersatu,PN
20,P042,04200,Penang,umno,bn,81,Tasek Gelugor,打昔牛汝莪,80868,Shabudin Yahaya,沙布丁,pn,bersatu,PN
21,P074,07400,Perak,amanah,ph,400,Lumut,红土坎,92972,Mohd Hatta Md Ramli,哈达蓝利,ph,amanah,HARAPAN
22,P035,03500,Terengganu,pas,gagasan,8447,Kuala Nerus,瓜拉尼鲁斯,105952,Khairuddin Aman Razali,凯鲁丁阿曼,,independent,INDEPENDENT
23,P025,02500,Kelantan,pas,gagasan,3292,Bachok,万捷,123183,Nik Abduh Nik Abdul Aziz,聂阿都,pn,pas,PN
24,P057,05700,Perak,amanah,ph,3098,Parit Buntar,巴力文打,68502,Mujahid Yusof Rawa,姆加希,ph,amanah,HARAPAN
25,P007,00700,Kedah,umno,bn,1099,Padang Terap,巴东得腊,59806,Mahdzir Khalid,马哈基尔卡立,bn,umno,BN
26,P024,02400,Kelantan,pas,gagasan,19369,Kubang Kerian,古邦阁亮,113640,Tuan Ibrahim Tuan Man,端依布拉欣,pn,pas,PN
27,P036,03600,Terengganu,pas,gagasan,14773,Kuala Terengganu,瓜拉登嘉楼,123305,Ahmad Amzad Mohamed,安扎,pn,pas,PN
28,P041,04100,Penang,umno,bn,4736,Kepala Batas,甲抛峇底,83081,Reezal Merican Naina Merican,利查玛力肯,bn,umno,BN
29,P062,06200,Perak,pkr,ph,5607,Sungai Siput,和丰,72395,S Kesavan,柯沙文,ph,pkr,HARAPAN
30,P098,09800,Selangor,pkr,ph,48721,Gombak,鹅唛,206744,Azmin Ali,阿兹敏,pn,bersatu,PN
31,P051,05100,Penang,dap,ph,55951,Bukit Gelugor,武吉牛汝莪,117134,Ramkarpal Singh,蓝卡巴,ph,dap,HARAPAN
32,P083,08300,Pahang,pkr,ph,8111,Kuantan,关丹,87597,Fuziah Salleh,傅芝雅,ph,pkr,HARAPAN
33,P021,02100,Kelantan,pas,gagasan,5869,Kota Bharu,哥打巴鲁,115450,Takiyuddin Hassan,达基尤丁,pn,pas,PN
34,P138,13800,Melaka,dap,ph,49175,Kota Melaka,马六甲市,164140,Khoo Poay Tiong,邱培栋,ph,dap,HARAPAN
35,P121,12100,KL,pkr,ph,5598,Lembah Pantai,班底谷,101828,Fahmi Fadzil,法米,ph,pkr,HARAPAN
36,P164,16400,Johor,umno,bn,833,Pontian,笨珍,75212,Ahmad Maslan,阿末玛斯兰,bn,umno,BN
37,P160,16000,Johor,pkr,ph,19782,Johor Bahru,新山,136368,Akmal Nasrullah Mohd Nasir,阿克玛,ph,pkr,HARAPAN
38,P131,13100,Negeri Sembilan,umno,bn,4364,Rembau,林茂,133555,Khairy Jamaludin Abu Bakar,凯里,bn,umno,BN
