,parCode,dunCode,codeId,state,ge14WonParty,ge14WonCoalition,ge14Majority,parName,zhParName,dunName,zhDunName,voters,incumbentName,incumbentCoalition,incumbentParty
0,P001,N01,00101,Perlis,mca,bn,142,Padang Besar,巴当勿刹,Titi Tinggi,知知丁宜,13403,Teh Chai Aan,bn,mca
1,P001,N02,00102,Perlis,umno,bn,416,Padang Besar,巴当勿刹,Beseri,柏斯里,12128,Ruzaini Rais,bn,umno
2,P001,N03,00103,Perlis,umno,bn,1367,Padang Besar,巴当勿刹,Chuping,朱宾,14248,Asmaiza Ahmad,bn,umno
3,P001,N04,00104,Perlis,umno,bn,720,Padang Besar,巴当勿刹,Mata Ayer,马打亚逸,9662,Siti Berenee Yahaya,bn,umno
4,P001,N05,00105,Perlis,umno,bn,949,Padang Besar,巴当勿刹,Santan,山丹,10751,Azizan Sulaiman,bn,umno
5,P002,N06,00206,Perlis,umno,bn,847,Kangar,加央,Bintong,敏东,16366,Azlan Man,bn,umno
6,P002,N07,00207,Perlis,pkr,ph,314,Kangar,加央,Sena,仙那,15870,Asrul Nizan Abd Jalil,ph,pkr
7,P002,N08,00208,Perlis,pkr,ph,3177,Kangar,加央,Indera Kayangan,英特拉加央岸,14465,Gan Ay Ling,ph,pkr
8,P002,N09,00209,Perlis,pkr,ph,1254,Kangar,加央,Kuala Perlis,玻璃市港口,14717,Nor Azam Karap,ph,pkr
9,P002,N10,00210,Perlis,umno,bn,435,Kangar,加央,Kayang,稼秧,13441,Hamizan Hassan,bn,umno
10,P003,N11,00311,Perlis,umno,bn,143,Arau,亚娄,Pauh,玻州新路,14797,Rozieana Ahmad,bn,umno
11,P003,N12,00312,Perlis,umno,bn,1180,Arau,亚娄,Tambun Tulang,淡汶都浪,13451,Ismail Kassim,bn,umno
12,P003,N13,00313,Perlis,pas,gagasan,328,Arau,亚娄,Guar Sanji,瓜山芝,11510,Mohd Ridzuan Hashim,pn,pas
13,P003,N14,00314,Perlis,umno,bn,82,Arau,亚娄,Simpang Empat,十字港,10697,Nurulhisham Yaakob,bn,umno
14,P003,N15,00315,Perlis,pas,gagasan,42,Arau,亚娄,Sanglang,双弄,10421,Mohd Shukri Ramli,pn,pas
15,P054,N01,05401,Perak,umno,bn,2375,Gerik,宜力,Pengkalan Hulu,彭卡兰乌鲁,20157,Aznel Ibrahim,bn,umno
16,P054,N02,05402,Perak,umno,bn,3935,Gerik,宜力,Temengor,天猛莪,27408,Salbiah Mohamed,bn,umno
17,P055,N03,05503,Perak,umno,bn,3268,Lenggong,玲珑,Kenering,肯纳宁,21596,Mohd Tarmizi Idris,bn,umno
18,P055,N04,05504,Perak,umno,bn,2302,Lenggong,玲珑,Kota Tampan,哥打淡板,15354,Saarani Mohamad,bn,umno
19,P056,N05,05605,Perak,pas,gagasan,289,Larut,拉律,Selama,司南马,22339,Mohd Akmal Kamaruddin,pn,pas
20,P056,N06,05606,Perak,pas,gagasan,180,Larut,拉律,Kubu Gajah,古布牙也,21358,Khalil Yahaya,pn,pas
21,P056,N07,05607,Perak,umno,bn,2308,Larut,拉律,Batu Kurau,峇都古楼,22022,Muhammad Amin Zakaria,bn,umno
22,P057,N08,05708,Perak,amanah,ph,140,Parit Buntar,巴力文打,Titi Serong,迪迪西容,35900,Hasnul Zulkarnain Abdul Munaim,,ind
23,P057,N09,05709,Perak,pkr,ph,2643,Parit Buntar,巴力文打,Kuala Kurau,瓜拉古楼,32602,Abdul Yunus Jamahri,pn,bersatu
24,P058,N10,05810,Perak,umno,bn,1162,Bagan Serai,峇眼色海,Alor Pongsu,亚罗邦苏,28656,Sham Mat Sahat,bn,umno
25,P058,N11,05811,Perak,pas,gagasan,1903,Bagan Serai,峇眼色海,Gunong Semanggol,新芒魏,27396,Razman Zakaria,pn,pas
26,P058,N12,05812,Perak,umno,bn,97,Bagan Serai,峇眼色海,Selinsing,昔林星,24241,Mohamad Noor Dawoo,bn,umno
27,P059,N13,05913,Perak,umno,bn,329,Bukit Gantang,武吉干当,Kuala Sepetang,十八丁,40222,Mohd Kamaruddin Abu Bakar,bn,umno
28,P059,N14,05914,Perak,umno,bn,1922,Bukit Gantang,武吉干当,Changkat Jering,章吉遮令,37003,Ahmad Saidi Mohamad Daud,bn,umno
29,P059,N15,05915,Perak,umno,bn,1898,Bukit Gantang,武吉干当,Trong,直弄,17028,Jamilah Zakaria,bn,umno
30,P060,N16,06016,Perak,amanah,ph,1780,Taiping,太平,Kamunting,甘文丁,39850,Muhd Fadhil Nuruddin,ph,amanah
31,P060,N17,06017,Perak,dap,ph,12032,Taiping,太平,Pokok Assam,保阁亚三,36513,Leow Thye Yih,ph,dap
32,P060,N18,06018,Perak,dap,ph,12064,Taiping,太平,Aulong,后廊,45203,Nga Kor Ming,ph,dap
33,P061,N19,06119,Perak,umno,bn,2370,Padang Rengas,硝山,Chenderoh,贞德洛,17782,Zainun Mat Noor,bn,umno
34,P061,N20,06120,Perak,umno,bn,409,Padang Rengas,硝山,Lubok Merbau,鲁博马鲍,20904,Jurij Jalaluddin,bn,umno
35,P062,N21,06221,Perak,umno,bn,4582,Sungai Siput,和丰,Lintang,连登,33107,Mohd Zolkafly Harun,bn,umno
36,P062,N22,06222,Perak,dap,ph,9602,Sungai Siput,和丰,Jalong,也廊,39288,Loh Sze Yee,ph,dap
37,P063,N23,06323,Perak,amanah,ph,3532,Tambun,打扪,Manjoi,万锐,86266,Asmuni Awi,ph,amanah
38,P063,N24,06324,Perak,pkr,ph,3713,Tambun,打扪,Hulu Kinta,乌鲁近打,74292,Muhamad Arafat Varisai Mahamad,ph,pkr
39,P064,N25,06425,Perak,dap,ph,18292,Ipoh Timor,怡保东区,Canning,桂和园,41021,Jenny Choy Tsi Jen,ph,dap
40,P064,N26,06426,Perak,dap,ph,3927,Ipoh Timor,怡保东区,Tebing Tinggi,德彬丁宜,37223,Abdul Aziz Bari,ph,dap
41,P064,N27,06427,Perak,dap,ph,20856,Ipoh Timor,怡保东区,Pasir Pinji,兵如港,39934,Lee Chuan How,ph,dap
42,P065,N28,06528,Perak,dap,ph,20709,Ipoh Barat,怡保西区,Bercham,巴占,52750,Ong Boon Piow,ph,dap
43,P065,N29,06529,Perak,dap,ph,9495,Ipoh Barat,怡保西区,Kepayang,甲巴央,25190,Ko Chung Sen,ph,dap
44,P065,N30,06530,Perak,dap,ph,15323,Ipoh Barat,怡保西区,Buntong,文冬,36714,Sivasubramaniam Athinarayanan,pn,bersatu
45,P066,N31,06631,Perak,dap,ph,15187,Batu Gajah,华都牙也,Jelapang,九洞,35088,Cheah Pou Hian,ph,dap
46,P066,N32,06632,Perak,dap,ph,17948,Batu Gajah,华都牙也,Menglembu,万里望,38689,Chaw Kam Foon,ph,dap
47,P066,N33,06633,Perak,dap,ph,10501,Batu Gajah,华都牙也,Tronoh,端洛,38119,Yong Choo Kiong,,pbm
48,P067,N34,06734,Perak,umno,bn,464,Kuala Kangsar,江沙,Bukit Chandan,武吉章当,22194,Maslin Sham Razman,bn,umno
49,P067,N35,06735,Perak,umno,bn,571,Kuala Kangsar,江沙,Manong,万浓,24791,Mohd Zuraimi Razali,bn,umno
50,P068,N36,06836,Perak,umno,bn,1624,Beruas,木威,Pengkalan Baharu,孟加兰巴鲁,22573,Abdul Manaf Hashim,bn,umno
51,P068,N37,06837,Perak,dap,ph,13316,Beruas,木威,Pantai Remis,班台,44432,Wong May Ing,ph,dap
52,P068,N38,06838,Perak,dap,ph,15176,Beruas,木威,Astaka,阿斯达卡,41244,Teoh Yee Chern,ph,dap
53,P069,N39,06939,Perak,umno,bn,2729,Parit,木威,Belanja,不兰查,17767,Khairudin Abu Hanipah,bn,umno
54,P069,N40,06940,Perak,umno,bn,1822,Parit,巴力,Bota,波达,30148,Khairul Shahril Mohamed,bn,umno
55,P070,N41,07041,Perak,dap,ph,6082,Kampar,巴力,Malim Nawar,双溪古月,29701,Leong Cheok Keng,,pbm
56,P070,N42,07042,Perak,dap,ph,8041,Kampar,金宝,Keranji,可兰芝,28248,Chong Zhemin,ph,dap
57,P070,N43,07043,Perak,umno,bn,1099,Kampar,金宝,Tulang Sekah,督亚冷塞卡,31945,Nolee Ashilin Mohamed Radzi,pn,bersatu
58,P071,N44,07144,Perak,amanah,ph,3614,Gopeng,金宝,Sungai Rapat,双溪喇叭,47931,Mohammad Nizar Jamaluddin,ph,amanah
59,P071,N45,07145,Perak,pkr,ph,20689,Gopeng,务边,Simpang Pulai,新邦波赖,62756,Tan Kar Hing,ph,pkr
60,P071,N46,07146,Perak,pkr,ph,4390,Gopeng,务边,Teja,迪遮,32970,Ng Shy Ching,ph,pkr
61,P072,N47,07247,Perak,bersatu,ph,39,Tapah,务边,Chenderiang,积莪营,30006,Ahmad Faizal Azumu,pn,bersatu
62,P072,N48,07248,Perak,umno,bn,2087,Tapah,打巴,Ayer Kuning,亚亦君令,31940,Samsudin Abu Hassan,bn,umno
63,P073,N49,07349,Perak,umno,bn,1939,Pasir Salak,打巴,Sungai Manik,双溪马立,35520,Zainol Fadzi Paharudin,pn,bersatu
64,P073,N50,07350,Perak,umno,bn,3345,Pasir Salak,巴西沙叻,Kampong Gajah,甘榜牙也,39241,Wan Norashikin Wan Noordin,bn,umno
65,P074,N51,07451,Perak,amanah,ph,1219,Lumut,红土坎,Pasir Panjang,巴西班让,62418,Yahaya Mat Nor,ph,amanah
66,P074,N52,07452,Perak,umno,bn,1626,Lumut,红土坎,Pangkor,邦咯,30554,Zambry Abdul Kadir,bn,umno
67,P075,N53,07553,Perak,umno,bn,3069,Bagan Datuk,峇眼拿督,Rungkup,龙谷,19670,Shahrul Zaman Yahya,bn,umno
68,P075,N54,07554,Perak,umno,bn,741,Bagan Datuk,峇眼拿督,Hutan Melintang,半港,38513,Khairuddin Tarmizi,bn,umno
