,parliament_type,state,seat_name,seat_id,parliament_code,name,party
0,states,PERAK,PENGKALAN HULU,05401,N.01,ABG MAN,PAKATAN HARAPAN (PH)
1,states,PERAK,PENGKALAN HULU,05401,N.01,AMIN ROSLAN,PERIKATAN NASIONAL (PN)
2,states,PERAK,PENGKALAN HULU,05401,N.01,HAJI AZNEL B HAJI IBRAHIM,BARISAN NASIONAL (BN)
3,states,PERAK,TEMENGOR,05402,N.02,SALBIAH MOHAMED,BARISAN NASIONAL (BN)
4,states,PERAK,TEMENGOR,05402,N.02,MOHD NOOR,PERIKATAN NASIONAL (PN)
5,states,PERAK,TEMENGOR,05402,N.02,DR SAFWAN,PAKATAN HARAPAN (PH)
6,states,PERAK,KENERING,05503,N.03,USTAZ HUSAIRI ARIFFIN,PERIKATAN NASIONAL (PN)
7,states,PERAK,KENERING,05503,N.03,ROHAIDA BINTI MOHAMAD YAAKUB,BARISAN NASIONAL (BN)
8,states,PERAK,KENERING,05503,N.03,MOHAMAD JAMEAN,PAKATAN HARAPAN (PH)
9,states,PERAK,KOTA TAMPAN,05504,N.04,HAJI JAMIL YAHYA,PERIKATAN NASIONAL (PN)
10,states,PERAK,KOTA TAMPAN,05504,N.04,SAARANI MOHAMAD,BARISAN NASIONAL (BN)
11,states,PERAK,KOTA TAMPAN,05504,N.04,MOHD SABRI BIN ABDUL MANAF,PAKATAN HARAPAN (PH)
12,states,PERAK,SELAMA,05605,N.05,RAZALI ISMAIL,PAKATAN HARAPAN (PH)
13,states,PERAK,SELAMA,05605,N.05,USTAZ AKMAL HJ. KAMARUDIN,PERIKATAN NASIONAL (PN)
14,states,PERAK,SELAMA,05605,N.05,OSMAN BIN SIDEK,BEBAS (KUNCI)
15,states,PERAK,SELAMA,05605,N.05,CIKGU FAIZUL RIZAL,BARISAN NASIONAL (BN)
16,states,PERAK,KUBU GAJAH,05606,N.06,KHALIL BIN YAHAYA,PERIKATAN NASIONAL (PN)
17,states,PERAK,KUBU GAJAH,05606,N.06,CIKGU MAN,BARISAN NASIONAL (BN)
18,states,PERAK,KUBU GAJAH,05606,N.06,FUADDIN BIN KAMARUDDIN,PARTI PEJUANG TANAHAIR (PEJUANG)
19,states,PERAK,KUBU GAJAH,05606,N.06,RUSLI BAKAR,PAKATAN HARAPAN (PH)
20,states,PERAK,BATU KURAU,05607,N.07,MAKLONG LIZA,BARISAN NASIONAL (BN)
21,states,PERAK,BATU KURAU,05607,N.07,CIKGU ZULKIFLI,PARTI PEJUANG TANAHAIR (PEJUANG)
22,states,PERAK,BATU KURAU,05607,N.07,KAPT (B) DATO NAJMUDDIN,PERIKATAN NASIONAL (PN)
23,states,PERAK,BATU KURAU,05607,N.07,MUHAMAD AIMAN AIZUDDIN BIN MD HUSIN,PAKATAN HARAPAN (PH)
24,states,PERAK,TITI SERONG,05708,N.08,USTAZ HAKIMI,PERIKATAN NASIONAL (PN)
25,states,PERAK,TITI SERONG,05708,N.08,PENGHULU SHAHRUL,BARISAN NASIONAL (BN)
26,states,PERAK,TITI SERONG,05708,N.08,MUHAMAD NAKHAIE ABD WAHAB,PAKATAN HARAPAN (PH)
27,states,PERAK,KUALA KURAU,05709,N.09,CIKGU ANUAR,PAKATAN HARAPAN (PH)
28,states,PERAK,KUALA KURAU,05709,N.09,DATO' YUNUS JAMHARI,PERIKATAN NASIONAL (PN)
29,states,PERAK,KUALA KURAU,05709,N.09,CIKGU JAMIL,BARISAN NASIONAL (BN)
30,states,PERAK,ALOR PONGSU,05810,N.10,HJ KHAIRUL,PAKATAN HARAPAN (PH)
31,states,PERAK,ALOR PONGSU,05810,N.10,HAJI NOOR AZMAN BIN GHAZALI,PERIKATAN NASIONAL (PN)
32,states,PERAK,ALOR PONGSU,05810,N.10,DATO' HJ. SHAM MAT SAHAT,BARISAN NASIONAL (BN)
33,states,PERAK,GUNONG SEMANGGOL,05811,N.11,HAJI RAZMAN BIN ZAKARIA,PERIKATAN NASIONAL (PN)
34,states,PERAK,GUNONG SEMANGGOL,05811,N.11,NAZIRUL BIN JAMALUDDIN,BARISAN NASIONAL (BN)
35,states,PERAK,GUNONG SEMANGGOL,05811,N.11,SHEIKH KHUZAIFAH,PAKATAN HARAPAN (PH)
36,states,PERAK,SELINSING,05812,N.12,CIKGU MOHAMAD NOOR,BARISAN NASIONAL (BN)
37,states,PERAK,SELINSING,05812,N.12,USTAZ SALLEHUDDIN,PERIKATAN NASIONAL (PN)
38,states,PERAK,SELINSING,05812,N.12,USTAZ SAQIF ANSORULLAH,PAKATAN HARAPAN (PH)
39,states,PERAK,KUALA SEPETANG,05913,N.13,DATO ZAINAL AZMAN BIN ABU SEMAN,PAKATAN HARAPAN (PH)
40,states,PERAK,KUALA SEPETANG,05913,N.13,ZAZA,PARTI PEJUANG TANAHAIR (PEJUANG)
41,states,PERAK,KUALA SEPETANG,05913,N.13,CIKGU MAD,PERIKATAN NASIONAL (PN)
42,states,PERAK,KUALA SEPETANG,05913,N.13,MOHD KAMARUDDIN BIN ABU BAKAR,BARISAN NASIONAL (BN)
43,states,PERAK,CHANGKAT JERING,05914,N.14,AHMAD SAIDI,BARISAN NASIONAL (BN)
44,states,PERAK,CHANGKAT JERING,05914,N.14,MEJAR (B) NAZAR BIN TALIB,PARTI PEJUANG TANAHAIR (PEJUANG)
45,states,PERAK,CHANGKAT JERING,05914,N.14,IR. HAJI MEGAT SHARIFFUDIN,PAKATAN HARAPAN (PH)
46,states,PERAK,CHANGKAT JERING,05914,N.14,HAJI RAHIM ISMAIL,PERIKATAN NASIONAL (PN)
47,states,PERAK,TRONG,05915,N.15,USTAZ FAISAL BIN ABDUL RAHMAN,PERIKATAN NASIONAL (PN)
48,states,PERAK,TRONG,05915,N.15,CIKGU JAMILAH BT ZAKARIA,BARISAN NASIONAL (BN)
49,states,PERAK,TRONG,05915,N.15,JUNAIDA JAMALUDIN,PAKATAN HARAPAN (PH)
50,states,PERAK,TRONG,05915,N.15,MUSTAFAA KAMAL,PARTI PEJUANG TANAHAIR (PEJUANG)
51,states,PERAK,KAMUNTING,06016,N.16,USTAZ FAKHRUDIN,PERIKATAN NASIONAL (PN)
52,states,PERAK,KAMUNTING,06016,N.16,DR. FADHIL,PAKATAN HARAPAN (PH)
53,states,PERAK,KAMUNTING,06016,N.16,AHMAD SHALIMIN,BARISAN NASIONAL (BN)
54,states,PERAK,POKOK ASSAM,06017,N.17,MOHD YUSOFF BIN ABDULL HAMID,BEBAS (MEJA)
55,states,PERAK,POKOK ASSAM,06017,N.17,ONG SENG GUAN,PAKATAN HARAPAN (PH)
56,states,PERAK,POKOK ASSAM,06017,N.17,HAJI JUHARI,PERIKATAN NASIONAL (PN)
57,states,PERAK,POKOK ASSAM,06017,N.17,LEOW THYE YIH,BEBAS (CERMIN MATA)
58,states,PERAK,POKOK ASSAM,06017,N.17,ANG SUI ENG,BARISAN NASIONAL (BN)
59,states,PERAK,AULONG,06018,N.18,LEE SENG YAP,BEBAS (CINCIN)
60,states,PERAK,AULONG,06018,N.18,ABU BAKAR BIN ABDUL RAHMAN,BEBAS (KERUSI)
61,states,PERAK,AULONG,06018,N.18,TEH KOK LIM,PAKATAN HARAPAN (PH)
62,states,PERAK,AULONG,06018,N.18,KOAY BOON HUI,PERIKATAN NASIONAL (PN)
63,states,PERAK,AULONG,06018,N.18,CIKGU SHANMUGANELLOO,BARISAN NASIONAL (BN)
64,states,PERAK,CHENDEROH,06119,N.19,MOHD KHAIROL IWAN,PAKATAN HARAPAN (PH)
65,states,PERAK,CHENDEROH,06119,N.19,KHAIRUDDIN BIN MOHAMED AZAHARI,BARISAN NASIONAL (BN)
66,states,PERAK,CHENDEROH,06119,N.19,AHMAD RODZI ABDUL RAHIM,PARTI PEJUANG TANAHAIR (PEJUANG)
67,states,PERAK,CHENDEROH,06119,N.19,SYED LUKMAN HAKIM,PERIKATAN NASIONAL (PN)
68,states,PERAK,LUBOK MERBAU,06120,N.20,USTAZ AZIZI,PERIKATAN NASIONAL (PN)
69,states,PERAK,LUBOK MERBAU,06120,N.20,CIKGU ZAITON,PAKATAN HARAPAN (PH)
70,states,PERAK,LUBOK MERBAU,06120,N.20,MOHAMAD AZIR BIN ISMAIL,BARISAN NASIONAL (BN)
71,states,PERAK,LINTANG,06221,N.21,AHMAD DASLIE BIN OSMAN,PERIKATAN NASIONAL (PN)
72,states,PERAK,LINTANG,06221,N.21,ZAIM SIDQI,PAKATAN HARAPAN (PH)
73,states,PERAK,LINTANG,06221,N.21,DATO HJ. MOHD ZOLKAFLY HJ. HARUN,BARISAN NASIONAL (BN)
74,states,PERAK,JALONG,06222,N.22,DATO NARAN SINGH,PERIKATAN NASIONAL (PN)
75,states,PERAK,JALONG,06222,N.22,PAN CHEAN CHANG,BARISAN NASIONAL (BN)
76,states,PERAK,JALONG,06222,N.22,LOH SZE YEE,PAKATAN HARAPAN (PH)
77,states,PERAK,JALONG,06222,N.22,INDRANI,BEBAS (KUNCI)
78,states,PERAK,MANJOI,06323,N.23,ASMUNI AWI,PAKATAN HARAPAN (PH)
79,states,PERAK,MANJOI,06323,N.23,AZIZUL KAMA ABD AZIZ,BARISAN NASIONAL (BN)
80,states,PERAK,MANJOI,06323,N.23,USTAZ HAFEZ SABRI,PERIKATAN NASIONAL (PN)
81,states,PERAK,HULU KINTA,06324,N.24,MURUGIAH SUBRAMANIAM,BEBAS (GAJAH)
82,states,PERAK,HULU KINTA,06324,N.24,PUTERI HOLIJAH,PERIKATAN NASIONAL (PN)
83,states,PERAK,HULU KINTA,06324,N.24,MUHAMAD ARAFAT,PAKATAN HARAPAN (PH)
84,states,PERAK,HULU KINTA,06324,N.24,DATUK MAZLAN BIN ABD RAHMAN,BARISAN NASIONAL (BN)
85,states,PERAK,CANNING,06425,N.25,PANG BOON YANG,PERIKATAN NASIONAL (PN)
86,states,PERAK,CANNING,06425,N.25,JENNY CHOY TSI JEN,PAKATAN HARAPAN (PH)
87,states,PERAK,CANNING,06425,N.25,WOO KOK TOONG,BARISAN NASIONAL (BN)
88,states,PERAK,TEBING TINGGI,06426,N.26,ISKANDAR CIKGU RAHMAN,PERIKATAN NASIONAL (PN)
89,states,PERAK,TEBING TINGGI,06426,N.26,TONY KHOO BOON CHUAN,BARISAN NASIONAL (BN)
90,states,PERAK,TEBING TINGGI,06426,N.26,AZIZ BARI,PAKATAN HARAPAN (PH)
91,states,PERAK,TEBING TINGGI,06426,N.26,MIOR HAIDIR,PARTI PEJUANG TANAHAIR (PEJUANG)
92,states,PERAK,PASIR PINJI,06427,N.27,GOH SEE HUA,PAKATAN HARAPAN (PH)
93,states,PERAK,PASIR PINJI,06427,N.27,LAM KIN YIP,PERIKATAN NASIONAL (PN)
94,states,PERAK,PASIR PINJI,06427,N.27,SOO POH YEOW,BARISAN NASIONAL (BN)
95,states,PERAK,BERCHAM,06528,N.28,ALBERT HO,BARISAN NASIONAL (BN)
96,states,PERAK,BERCHAM,06528,N.28,ONG BOON PIOW,PAKATAN HARAPAN (PH)
97,states,PERAK,BERCHAM,06528,N.28,LIM JIN SHENG,PERIKATAN NASIONAL (PN)
98,states,PERAK,KEPAYANG,06529,N.29,DR. RICHARD NG,PERIKATAN NASIONAL (PN)
99,states,PERAK,KEPAYANG,06529,N.29,LIM HUEY SHAN,BARISAN NASIONAL (BN)
100,states,PERAK,KEPAYANG,06529,N.29,NGA KOR MING,PAKATAN HARAPAN (PH)
101,states,PERAK,BUNTONG,06530,N.30,SIVASUBRAMANIAM,PERIKATAN NASIONAL (PN)
102,states,PERAK,BUNTONG,06530,N.30,S. JAYAGOPI,BARISAN NASIONAL (BN)
103,states,PERAK,BUNTONG,06530,N.30,THULSI MANOGARAN,PAKATAN HARAPAN (PH)
104,states,PERAK,BUNTONG,06530,N.30,SEBASTIAR,BEBAS (JAM)
105,states,PERAK,BUNTONG,06530,N.30,MUHAMMAD FAIZ ABDULLAH,BEBAS (POKOK)
106,states,PERAK,JELAPANG,06631,N.31,HAMIDAH BINTI MUHAMAD,BARISAN NASIONAL (BN)
107,states,PERAK,JELAPANG,06631,N.31,NAVINTEN A/L SUNDARAJAN,PERIKATAN NASIONAL (PN)
108,states,PERAK,JELAPANG,06631,N.31,CHEAH POU HIAN,PAKATAN HARAPAN (PH)
109,states,PERAK,MENGLEMBU,06632,N.32,WONG KEAN RONG,PERIKATAN NASIONAL (PN)
110,states,PERAK,MENGLEMBU,06632,N.32,CHAW KAM FOON,PAKATAN HARAPAN (PH)
111,states,PERAK,MENGLEMBU,06632,N.32,PHOON KAI MUN,BARISAN NASIONAL (BN)
112,states,PERAK,TRONOH,06633,N.33,STEVEN TIW,PAKATAN HARAPAN (PH)
113,states,PERAK,TRONOH,06633,N.33,BRYAN YONG WU SEAN,PARTI BANGSA MALAYSIA (PBM)
114,states,PERAK,TRONOH,06633,N.33,MEOR SHAHIMUDIN BIN HJ HASIM,BEBAS (TRAKTOR)
