,id_x,t,jp,pid,s,kid,kt,i_x,st,mi,nc,ju,mj,ut,id_y,n,a,i_y,c
0,20,MOHAMMAD RAFFI BERAN,,25,L,15900,parlimen,,HD,2022-11-05T10:25:28.890Z,4,1003,31558,1298.0,25,PARTI PEJUANG TANAHAIR,PEJUANG,pejuang.png,#09618A
1,68,NOOR AZLEEN AMBROS,,1,L,15900,parlimen,,KLH,2022-11-05T10:25:28.890Z,1,37369,31558,1298.0,1,BARISAN NASIONAL OF MALAYSIA,BN,bn.png,#031A93
2,170,HASSAN ABDUL KARIM,,31,L,15900,parlimen,,MNG,2022-11-05T10:25:28.890Z,2,71233,31558,1298.0,31,PAKATAN HARAPAN,PH,ph.png,#D7292F
3,384,MOHAMAD FARID BIN ABDUL RAZAK,,27,L,15900,parlimen,,KLH,2022-11-05T10:25:28.890Z,3,39675,31558,1298.0,27,PERIKATAN NASIONAL,PN,pn.png,#043253
4,332,ROSLI,TIADA,25,L,04000,parlimen,,HD,2022-11-05T10:29:18.173Z,1,506,27179,1288.0,25,PARTI PEJUANG TANAHAIR,PEJUANG,pejuang.png,#09618A
5,468,HASUNI BIN SUDIN,TIADA,31,L,04000,parlimen,,HD,2022-11-05T10:29:18.173Z,4,8340,27179,1288.0,31,PAKATAN HARAPAN,PH,ph.png,#D7292F
6,24,DATO' SERI HJ AHMAD BIN SAID,TIADA,1,L,04000,parlimen,,KLH,2022-11-05T10:29:18.173Z,3,38535,27179,1288.0,1,BARISAN NASIONAL OF MALAYSIA,BN,bn.png,#031A93
7,107,USTAZ CHE ALIAS HAMID,TIADA,2,L,04000,parlimen,,MNG,2022-11-05T10:29:18.173Z,2,65714,27179,1288.0,2,PARTI ISLAM SE MALAYSIA,PAS,pas.png,#6CB332
8,131,DATUK HAJI AMZAD HASHIM,TIADA,2,L,03600,parlimen,,MNG,2022-11-05T10:29:30.463Z,4,63016,40907,767.0,2,PARTI ISLAM SE MALAYSIA,PAS,pas.png,#6CB332
9,53,DATO' RAJA BAHRIN,ARKITEK,31,L,03600,parlimen,,HD,2022-11-05T10:29:30.463Z,3,10946,40907,767.0,31,PAKATAN HARAPAN,PH,ph.png,#D7292F
10,231,MOHAMAD ABU BAKAR BIN MUDA,TIADA,25,L,03600,parlimen,,HD,2022-11-05T10:29:30.463Z,1,481,40907,767.0,25,PARTI PEJUANG TANAHAIR,PEJUANG,pejuang.png,#09618A
11,341,DATO' CIKGU ZUBIR,TIADA,1,L,03600,parlimen,,KLH,2022-11-05T10:29:30.463Z,2,22109,40907,767.0,1,BARISAN NASIONAL OF MALAYSIA,BN,bn.png,#031A93
12,314,NICOLE WONG,,1,P,15800,parlimen,,KLH,2022-11-05T10:33:10.220Z,3,30767,30720,1014.0,1,BARISAN NASIONAL OF MALAYSIA,BN,bn.png,#031A93
13,474,JIMMY PUAH WEE TSE,,31,L,15800,parlimen,,MNG,2022-11-05T10:33:10.220Z,1,83959,30720,1014.0,31,PAKATAN HARAPAN,PH,ph.png,#D7292F
14,126,MOHAMAD ISA BIN MOHAMAD BASIR,,27,L,15800,parlimen,,KLH,2022-11-05T10:33:10.220Z,2,53239,30720,1014.0,27,PERIKATAN NASIONAL,PN,pn.png,#043253
15,33,DATO' DR. HAJI ALIAS RAZAK,YANG BERHORMAT AHLI MAJLIS MESYUARAT KERAJAAN,2,L,03500,parlimen,,MNG,2022-11-05T10:34:30.083Z,1,56697,29765,736.0,2,PARTI ISLAM SE MALAYSIA,PAS,pas.png,#6CB332
16,189,UST. DATO' DR. KHAIRUDDIN TAKIRI,TIADA,1,L,03500,parlimen,,KLH,2022-11-05T10:34:30.083Z,2,26932,29765,736.0,1,BARISAN NASIONAL OF MALAYSIA,BN,bn.png,#031A93
17,321,AZAHA,TIADA,25,L,03500,parlimen,,HD,2022-11-05T10:34:30.083Z,3,291,29765,736.0,25,PARTI PEJUANG TANAHAIR,PEJUANG,pejuang.png,#09618A
18,425,DATO' SERI SUHAIMI HASHIM,PENGARAH SYARIKAT,31,L,03500,parlimen,,HD,2022-11-05T10:34:30.083Z,4,3708,29765,736.0,31,PAKATAN HARAPAN,PH,ph.png,#D7292F
19,440,NORAINI AHMAD,,1,P,14700,parlimen,,MNG,2022-11-05T10:35:29.863Z,1,25740,2021,499.0,1,BARISAN NASIONAL OF MALAYSIA,BN,bn.png,#031A93
20,239,DR KARIM,,27,L,14700,parlimen,,KLH,2022-11-05T10:35:29.863Z,2,23719,2021,499.0,27,PERIKATAN NASIONAL,PN,pn.png,#043253
