,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
0,"72,696","51,628",323,0,"61,812 (85%)",Malay 4.55%; Chinese 88.76%; Indian 6.03%; B/P Sabah 0.3%; B/P Sarawak 0.05%; Others 0.32%,P114,KEPONG,parliament,FederalTerritories
1,"76,328","24,438",498,0,"63,600 (83.3%)",Malay 42.52%; Chinese 38.28%; Indian 17.46%; B/P Sabah 0.32%; B/P Sarawak 0.44%; Orang Asli (Pen. Msia) 0.02%; Others 0.96%,P115,BATU,parliament,FederalTerritories
2,"88,482","24,238",525,0,"74,509 (84.2%)",Malay 59.82%; Chinese 29.57%; Indian 8.18%; B/P Sabah 0.45%; B/P Sarawak 0.59%; Orang Asli (Pen. Msia) 0.04%; Others 1.36%,P116,WANGSA MAJU,parliament,FederalTerritories
3,"77,956","45,702",289,0,"65,265 (83.7%)",Malay 27.53%; Chinese 58.93%; Indian 11.77%; B/P Sabah 0.14%; B/P Sarawak 0.12%; Orang Asli (Pen. Msia) 0.01%; Others 1.5%,P117,SEGAMBUT,parliament,FederalTerritories
4,"72,136","14,372",693,0,"61,983 (85.9%)",Malay 61.09%; Chinese 25.87%; Indian 10.38%; B/P Sabah 0.76%; B/P Sarawak 1.08%; Orang Asli (Pen. Msia) 0.04%; Others 0.77%,P118,SETIAWANGSA,parliament,FederalTerritories
5,"61,598","4,139",323,0,"50,858 (82.6%)",Malay 70.49%; Chinese 17.3%; Indian 9.42%; B/P Sabah 0.5%; B/P Sarawak 0.37%; Orang Asli (Pen. Msia) 0.01%; Others 1.91%,P119,TITIWANGSA,parliament,FederalTerritories
6,"69,526","37,260",254,0,"52,765 (75.9%)",Malay 12.53%; Chinese 75.12%; Indian 10.95%; B/P Sabah 0.37%; B/P Sarawak 0.28%; Orang Asli (Pen. Msia) 0.02%; Others 0.73%,P120,BUKIT BINTANG,parliament,FederalTerritories
7,"80,346","5,598",538,0,"67,059 (83.5%)",Malay 62.12%; Chinese 18.91%; Indian 16.24%; B/P Sabah 0.68%; B/P Sarawak 0.48%; Orang Asli (Pen. Msia) 0.02%; Others 1.54%,P121,LEMBAH PANTAI,parliament,FederalTerritories
8,"86,256","56,059",294,0,"70,583 (81.8%)",Malay 9.04%; Chinese 82.03%; Indian 7.87%; B/P Sabah 0.23%; B/P Sarawak 0.08%; Others 0.75%,P122,SEPUTEH,parliament,FederalTerritories
9,"78,819","49,665",275,0,"64,074 (81.3%)",Malay 9.68%; Chinese 82.93%; Indian 6.73%; B/P Sabah 0.22%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 0.01%; Others 0.38%,P123,CHERAS,parliament,FederalTerritories
10,"83,650","19,930",444,0,"71,180 (85.1%)",Malay 61.08%; Chinese 29.1%; Indian 8.27%; B/P Sabah 0.42%; B/P Sarawak 0.53%; Orang Asli (Pen. Msia) 0.01%; Others 0.58%,P124,BANDAR TUN RAZAK,parliament,FederalTerritories
11,"27,306","3,372",146,0,"24,881 (91.1%)",Malay 94.17%; Chinese 0.89%; Indian 3.18%; B/P Sabah 0.85%; B/P Sarawak 0.42%; Orang Asli (Pen. Msia) 0.04%; Others 0.47%,P125,PUTRAJAYA,parliament,FederalTerritories
12,"28,356","1,450",302,0,"28,356 (100%)",Malay 42.07%; Chinese 20.67%; Indian 1.36%; B/P Sabah 31.16%; B/P Sarawak 1.7%; Orang Asli (Pen. Msia) 0.01%; Others 3.03%,P166,LABUAN,parliament,FederalTerritories
