,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Santhara Kumar Ramanaidu (PH - PKR),"43.5% (24,060)",P140,SEGAMAT,parliament,Johor
1,Subramaniam K V Sathasivam (BN - MIC),"33.6% (18,584)",P140,SEGAMAT,parliament,Johor
2,Khairul Faizi Ahmad Kamil (PAS),"4.8% (2,676)",P140,SEGAMAT,parliament,Johor
3,Natrah Ismail (PH - PKR),"42.9% (19,559)",P141,SEKIJANG,parliament,Johor
4,Ayub Rahmat (BN - UMNO),"40.1% (18,278)",P141,SEKIJANG,parliament,Johor
5,Pang Hok Liong (PH - DAP),"41.4% (16,709)",P142,LABIS,parliament,Johor
6,Chua Tee Yong (BN - MCA),"33.0% (13,301)",P142,LABIS,parliament,Johor
7,Sarchu Sawal (PAS),"5.0% (2,020)",P142,LABIS,parliament,Johor
8,Muhyiddin Yassin (PH - PPBM),"45.7% (23,558)",P143,PAGOH,parliament,Johor
9,Ismail Mohamed (BN - UMNO),"32.3% (16,631)",P143,PAGOH,parliament,Johor
10,Ahmad Nawfal Mahfodz (PAS),"4.8% (2,483)",P143,PAGOH,parliament,Johor
11,Syed Ibrahim Syed Nor (PH - PKR),"44.8% (34,706)",P144,LEDANG,parliament,Johor
12,Hamim Samuri (BN - UMNO),"33.6% (26,040)",P144,LEDANG,parliament,Johor
13,Rusman Kemin (PAS),"6.0% (4,668)",P144,LEDANG,parliament,Johor
14,Yeo Bee Yin (PH - DAP),"52.4% (38,718)",P145,BAKRI,parliament,Johor
15,Koh Chon Chai (BN - MCA),"21.0% (15,507)",P145,BAKRI,parliament,Johor
16,Zarul @ Mohammad Zahrul Salleh (PAS),"10.3% (7,575)",P145,BAKRI,parliament,Johor
17,Syed Saddiq Syed Abdul Rahman (PH - PPBM),"43.9% (22,341)",P146,MUAR,parliament,Johor
18,Razali Ibrahim (BN - UMNO),"30.3% (15,388)",P146,MUAR,parliament,Johor
19,Abdul Aziz Talib (PAS),"8.6% (4,354)",P146,MUAR,parliament,Johor
20,Noraini Ahmad (BN - UMNO),"41.1% (24,481)",P147,PARIT SULONG,parliament,Johor
21,Anis Afida Mohd Azli (PH - AMANAH),"30.4% (18,140)",P147,PARIT SULONG,parliament,Johor
22,Ahmad Rosdi Bahari (PAS),"12.0% (7,148)",P147,PARIT SULONG,parliament,Johor
23,Wee Ka Siong (BN - MCA),"37.0% (17,076)",P148,AYER HITAM,parliament,Johor
24,Liew Chin Tong (PH - DAP),"36.3% (16,773)",P148,AYER HITAM,parliament,Johor
25,Mardi Marwan (PAS),"10.8% (4,975)",P148,AYER HITAM,parliament,Johor
26,Sharuddin Md Salleh (PH - PPBM),"41.3% (21,511)",P149,SRI GADING,parliament,Johor
27,Ab Aziz Kaprawi (BN - UMNO),"35.0% (18,223)",P149,SRI GADING,parliament,Johor
28,M Ashari Sidon (PAS),"8.7% (4,548)",P149,SRI GADING,parliament,Johor
29,Mohd Rashid Hasnon (PH - PKR),"46.6% (45,929)",P150,BATU PAHAT,parliament,Johor
30,Haliza Abdullah (BN - UMNO),"28.4% (28,035)",P150,BATU PAHAT,parliament,Johor
31,Mahfodz Mohamed (PAS),"8.3% (8,173)",P150,BATU PAHAT,parliament,Johor
32,Maszlee Malik (PH - PPBM),"41.3% (18,157)",P151,SIMPANG RENGGAM,parliament,Johor
33,Liang Teck Meng (BN - GERAKAN),"33.4% (14,682)",P151,SIMPANG RENGGAM,parliament,Johor
34,Mohd Jubri Selamat (PAS),"6.8% (2,983)",P151,SIMPANG RENGGAM,parliament,Johor
35,Wong Shu Qi (PH - DAP),"49.2% (47,671)",P152,KLUANG,parliament,Johor
36,Gan Ping Shou @ Gan Ping Sieu (BN - MCA),"25.4% (24,618)",P152,KLUANG,parliament,Johor
37,Muhammad Hasbullah Md Najib (PAS),"8.5% (8,242)",P152,KLUANG,parliament,Johor
38,Hishammuddin Hussein (BN - UMNO),"48.4% (21,353)",P153,SEMBRONG,parliament,Johor
39,Onn Abu Bakar (PH - PKR),"33.3% (14,691)",P153,SEMBRONG,parliament,Johor
40,Abd. Latiff Ahmad (BN - UMNO),"41.1% (19,806)",P154,MERSING,parliament,Johor
41,Md. Nasir Hashim (PH - PPBM),"23.6% (11,347)",P154,MERSING,parliament,Johor
42,A. Rahman A. Hamid (PAS),"12.9% (6,215)",P154,MERSING,parliament,Johor
43,Adham Baba (BN - UMNO),"45.0% (20,142)",P155,TENGGARA,parliament,Johor
