,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Juhari Bulat (PH - PPBM),"35.5% (7,550)",N1,AYER HANGAT (P4),state,Kedah
1,Mohd Rawi Abd Hamid (BN - UMNO),"28.3% (6,018)",N1,AYER HANGAT (P4),state,Kedah
2,Azlina Azinan (PAS),"18.9% (4,034)",N1,AYER HANGAT (P4),state,Kedah
3,Mohd Firdaus Ahmad (PH - PPBM),"38.7% (8,276)",N2,KUAH (P4),state,Kedah
4,Nor Saidi Nanyan (BN - UMNO),"27.2% (5,824)",N2,KUAH (P4),state,Kedah
5,Mazlan Ahmad (PAS),"12.5% (2,685)",N2,KUAH (P4),state,Kedah
6,Mohamad Ratu Mansor (IND),0.4% (86),N2,KUAH (P4),state,Kedah
7,Salmee Said (PH - AMANAH),"30.9% (7,265)",N3,KOTA SIPUTEH (P5),state,Kedah
8,Mat Rejab Md Akhir (PAS),"24.6% (5,798)",N3,KOTA SIPUTEH (P5),state,Kedah
9,Ahmad Azhar Abdullah (BN - UMNO),"24.6% (5,795)",N3,KOTA SIPUTEH (P5),state,Kedah
10,Azhar Ibrahim (PAS),"30.2% (9,229)",N4,AYER HITAM (P5),state,Kedah
11,A. Aziz Mohamod (PH - PPBM),"28.4% (8,692)",N4,AYER HITAM (P5),state,Kedah
12,Abu Hassan Sarif (BN - UMNO),"23.6% (7,220)",N4,AYER HITAM (P5),state,Kedah
13,Halimahton Saadiah Saad (PH - PPBM),"33.8% (11,027)",N5,BUKIT KAYU HITAM (P6),state,Kedah
14,Ahmad Zaini Japar (BN - UMNO),"27.2% (8,874)",N5,BUKIT KAYU HITAM (P6),state,Kedah
15,Habshah Bakar (PAS),"20.0% (6,528)",N5,BUKIT KAYU HITAM (P6),state,Kedah
16,Mukhriz Mahathir (PH - PPBM),"45.7% (18,852)",N6,JITRA (P6),state,Kedah
17,Aminuddin Omar (BN - UMNO),"19.4% (8,003)",N6,JITRA (P6),state,Kedah
18,Zulhazmi Osman (PAS),"17.1% (7,064)",N6,JITRA (P6),state,Kedah
19,Munir Zakaria (PAS),"37.8% (9,118)",N7,KUALA NERANG (P7),state,Kedah
20,Badrol Hisham Hashim (BN - UMNO),"31.1% (7,499)",N7,KUALA NERANG (P7),state,Kedah
21,Pak Tuan Syed Fadzil (PH - PPBM),"14.0% (3,376)",N7,KUALA NERANG (P7),state,Kedah
22,Mohd Radzi Md Amin (PAS),"36.2% (8,164)",N8,PEDU (P7),state,Kedah
23,Kama Noriah Ibrahim (BN - UMNO),"33.2% (7,494)",N8,PEDU (P7),state,Kedah
24,Hashim Idris (PH - PKR),"14.5% (3,272)",N8,PEDU (P7),state,Kedah
25,Salim Mahmood Al-Hafiz (PAS),"31.9% (9,573)",N9,BUKIT LADA (P8),state,Kedah
26,Ariffin Man (BN - UMNO),"27.6% (8,288)",N9,BUKIT LADA (P8),state,Kedah
27,Mohd Aizad Roslan (PH - PPBM),"21.1% (6,337)",N9,BUKIT LADA (P8),state,Kedah
28,Mohd Ismail Othman (IND),1.5% (444),N9,BUKIT LADA (P8),state,Kedah
29,Wan Romani Wan Salim (PAS),"35.9% (10,432)",N10,BUKIT PINANG (P8),state,Kedah
30,Che Mat Dzaher Ahmad (PH - PKR),"24.9% (7,220)",N10,BUKIT PINANG (P8),state,Kedah
31,Mohammad Nawar Ariffin (BN - UMNO),"21.7% (6,289)",N10,BUKIT PINANG (P8),state,Kedah
32,Tan Kok Yew (PH - DAP),"40.3% (11,232)",N11,DERGA (P8),state,Kedah
33,Yahya Saad (PAS),"21.4% (5,967)",N11,DERGA (P8),state,Kedah
34,Cheah Soon Hai (BN - GERAKAN),"17.7% (4,916)",N11,DERGA (P8),state,Kedah
35,Zamri Yusuf (PH - PKR),"42.5% (13,301)",N12,SUKA MENANTI (P9),state,Kedah
36,Ahmad Bashah Md Hanipah (BN - UMNO),"22.5% (7,050)",N12,SUKA MENANTI (P9),state,Kedah
37,Mohd Sabri Omar (PAS),"14.6% (4,580)",N12,SUKA MENANTI (P9),state,Kedah
38,Teh Swee Leong (PH - DAP),"53.8% (11,737)",N13,KOTA DARUL AMAN (P9),state,Kedah
39,Tan Eng Hwa (BN - MCA),"15.0% (3,269)",N13,KOTA DARUL AMAN (P9),state,Kedah
40,Zulkifli Che Haron (PAS),"7.9% (1,732)",N13,KOTA DARUL AMAN (P9),state,Kedah
41,Tan Kang Yap (PRM),0.1% (32),N13,KOTA DARUL AMAN (P9),state,Kedah
42,Phahrolrazi Mohd Zawawi (PH - AMANAH),"32.6% (8,840)",N14,ALOR MENGKUDU (P9),state,Kedah
43,Ahmad Saad @ Yahaya (PAS),"25.7% (6,964)",N14,ALOR MENGKUDU (P9),state,Kedah
44,Abdul Malik Saad (BN - UMNO),"23.7% (6,434)",N14,ALOR MENGKUDU (P9),state,Kedah
45,Amiruddin Hamzah (PH - PPBM),"34.8% (9,810)",N15,ANAK BUKIT (P10),state,Kedah
46,Hamdi Ishak (PAS),"29.2% (8,231)",N15,ANAK BUKIT (P10),state,Kedah
47,Johari Aziz (BN - UMNO),"18.4% (5,200)",N15,ANAK BUKIT (P10),state,Kedah
48,Mohd Asmirul Anuar Aris (PH - PKR),"38.6% (14,004)",N16,KUBANG ROTAN (P10),state,Kedah
49,Abdul Muthalib Harun (BN - UMNO),"20.6% (7,469)",N16,KUBANG ROTAN (P10),state,Kedah
50,Omar Saad (PAS),"20.1% (7,303)",N16,KUBANG ROTAN (P10),state,Kedah
51,Ismail Salleh (PH - AMANAH),"34.8% (11,578)",N17,PENGKALAN KUNDOR (P10),state,Kedah
52,Ahmad Fakhruddin Fakhrurazi (PAS),"27.3% (9,088)",N17,PENGKALAN KUNDOR (P10),state,Kedah
