,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Wan Roslan Wan Hamat (PAS),"37.0% (10,142)",N1,PENGKALAN KUBOR (P19),state,Kelantan
1,Mat Razi Mat Ail (BN - UMNO),"31.3% (8,563)",N1,PENGKALAN KUBOR (P19),state,Kelantan
2,Wan Rosdi Mat Rasik (PH - PKR),"5.8% (1,583)",N1,PENGKALAN KUBOR (P19),state,Kelantan
3,Adanan Hassan (PAS),"43.6% (12,422)",N2,KELABORAN (P19),state,Kelantan
4,Hashim Mohamad (BN - UMNO),"26.3% (7,493)",N2,KELABORAN (P19),state,Kelantan
5,Nik Faizah Nik Othman (PH - AMANAH),"6.9% (1,970)",N2,KELABORAN (P19),state,Kelantan
6,Ahmad Yakob (PAS),"50.9% (14,298)",N3,PASIR PEKAN (P19),state,Kelantan
7,Wan Mohd Sanusi Wan Yunus (BN - UMNO),"21.2% (5,946)",N3,PASIR PEKAN (P19),state,Kelantan
8,Wan Mohd Johari Wan Omar (PH - PPBM),"7.6% (2,140)",N3,PASIR PEKAN (P19),state,Kelantan
9,Rusli Abdullah (PAS),"38.2% (10,287)",N4,WAKAF BHARU (P19),state,Kelantan
10,Mohd Rosdi Ab Aziz (BN - UMNO),"36.7% (9,900)",N4,WAKAF BHARU (P19),state,Kelantan
11,Mohd Khir Zahri (PH - AMANAH),"7.4% (1,999)",N4,WAKAF BHARU (P19),state,Kelantan
12,Izani Husin (PAS),"45.1% (9,998)",N5,KIJANG (P20),state,Kelantan
13,Wan Shahrul Azuan Wan Ab Aziz (BN - UMNO),"23.8% (5,281)",N5,KIJANG (P20),state,Kelantan
14,Nik Azmi Nik Man @ Nik Osman (PH - PKR),"8.2% (1,828)",N5,KIJANG (P20),state,Kelantan
15,Ahmad Fathan Mahmood @ Mahamad (PAS),"42.7% (10,549)",N6,CHEMPAKA (P20),state,Kelantan
16,Mohamad Fareez Noor Amran (BN - UMNO),"28.6% (7,075)",N6,CHEMPAKA (P20),state,Kelantan
17,Nik Omar Nik Ab Aziz (PH - AMANAH),"9.8% (2,418)",N6,CHEMPAKA (P20),state,Kelantan
18,Mohd Amar Abdullah (PAS),"47.7% (13,597)",N7,PANCHOR (P20),state,Kelantan
19,Zarina Md Eusope (BN - UMNO),"22.1% (6,309)",N7,PANCHOR (P20),state,Kelantan
20,Zulhazmi Hassan (PH - AMANAH),"8.4% (2,394)",N7,PANCHOR (P20),state,Kelantan
21,Rohani Ibrahim (PAS),"41.0% (13,154)",N8,TANJONG MAS (P21),state,Kelantan
22,Hafidzah Mustakim (PH - AMANAH),"19.1% (6,139)",N8,TANJONG MAS (P21),state,Kelantan
23,Madihah Ab Aziz (BN - UMNO),"15.4% (4,945)",N8,TANJONG MAS (P21),state,Kelantan
24,Anuar Tan Abdullah (PAS),"29.9% (8,410)",N9,KOTA LAMA (P21),state,Kelantan
25,Ab Rashid Ab Rahman (PH - PPBM),"24.7% (6,965)",N9,KOTA LAMA (P21),state,Kelantan
26,Chua Hock Kuan (BN - MCA),"19.5% (5,502)",N9,KOTA LAMA (P21),state,Kelantan
27,Khairul Nizam Abd Ghani (PSM),0.2% (54),N9,KOTA LAMA (P21),state,Kelantan
28,Izat Bukhary Ismail Bukhary (IND),0.1% (29),N9,KOTA LAMA (P21),state,Kelantan
29,Ramli Mamat (PAS),"38.4% (10,921)",N10,BUNUT PAYONG (P21),state,Kelantan
30,Mohamed Hasnan Che Hussin (BN - UMNO),"22.1% (6,294)",N10,BUNUT PAYONG (P21),state,Kelantan
31,Sanusi Othman (PH - AMANAH),"16.1% (4,586)",N10,BUNUT PAYONG (P21),state,Kelantan
32,Rozi Muhamad (PAS),"37.4% (8,951)",N11,TENDONG (P22),state,Kelantan
33,Yahaya Mamat (BN - UMNO),"28.0% (6,700)",N11,TENDONG (P22),state,Kelantan
34,Ibrahim Ali (IND),"6.2% (1,479)",N11,TENDONG (P22),state,Kelantan
35,Wan Zulkhairi Wan Md Zain (PH - PPBM),"5.7% (1,360)",N11,TENDONG (P22),state,Kelantan
36,Hanifa Ahmad (PAS),"39.3% (10,143)",N12,PENGKALAN PASIR (P22),state,Kelantan
37,Che Johan Che Pa (BN - UMNO),"21.5% (5,545)",N12,PENGKALAN PASIR (P22),state,Kelantan
38,Mohd Sharani Mohd Naim (PH - AMANAH),"10.0% (2,570)",N12,PENGKALAN PASIR (P22),state,Kelantan
39,Suharto Mat Nasir (IND),3.2% (826),N12,PENGKALAN PASIR (P22),state,Kelantan
40,Mohd Nassuruddin Daud (PAS),"48.0% (10,318)",N13,MERANTI (P22),state,Kelantan
41,Ahmad Anuar Hussin (BN - UMNO),"19.6% (4,218)",N13,MERANTI (P22),state,Kelantan
42,Mohd Romizu Mohd Ali (PH - AMANAH),4.5% (971),N13,MERANTI (P22),state,Kelantan
43,Che Daud Che Man (IND),2.4% (512),N13,MERANTI (P22),state,Kelantan
44,Zuraidin Abdullah (PAS),"39.3% (8,701)",N14,CHETOK (P23),state,Kelantan
45,Muhammad Afifi Muhammad Noor (BN - UMNO),"27.3% (6,044)",N14,CHETOK (P23),state,Kelantan
46,Ali Abdu Rahman Hasan (PH - AMANAH),"8.7% (1,928)",N14,CHETOK (P23),state,Kelantan
47,Zakaria Hasan (IND),0.1% (25),N14,CHETOK (P23),state,Kelantan
48,Mohamad Awang (PAS),"35.9% (8,632)",N15,GUAL PERIOK (P23),state,Kelantan
49,Ghazali Ismail (BN - UMNO),"27.1% (6,509)",N15,GUAL PERIOK (P23),state,Kelantan
50,Mohd Ridzuan Muhamad (PH - AMANAH),"6.5% (1,570)",N15,GUAL PERIOK (P23),state,Kelantan
51,Abdul Rasul Muhamed (PAS),"35.8% (7,134)",N16,APAM PUTRA (P23),state,Kelantan
52,Akbar Salim (BN - UMNO),"34.1% (6,786)",N16,APAM PUTRA (P23),state,Kelantan
53,Mohd Hisyamuddin Ghazali (PH - AMANAH),"5.4% (1,082)",N16,APAM PUTRA (P23),state,Kelantan
54,Saiful Adli Abd Bakar (PAS),"41.3% (11,206)",N17,SALOR (P24),state,Kelantan
55,Mohamad Noordin Awang (BN - UMNO),"24.1% (6,540)",N17,SALOR (P24),state,Kelantan
56,Husam Musa (PH - AMANAH),"13.3% (3,617)",N17,SALOR (P24),state,Kelantan
57,Abdul Rahman Yunus (PAS),"47.5% (12,470)",N18,PASIR TUMBOH (P24),state,Kelantan
58,Bakri Yusoff (BN - UMNO),"19.2% (5,049)",N18,PASIR TUMBOH (P24),state,Kelantan
59,Mohd Noor Mat Yajid (PH - AMANAH),"10.5% (2,759)",N18,PASIR TUMBOH (P24),state,Kelantan
60,Mumtaz Md Nawi (PAS),"47.6% (13,621)",N19,DEMIT (P24),state,Kelantan
61,Nurul Amal Mohd Fauzi (BN - UMNO),"15.9% (4,553)",N19,DEMIT (P24),state,Kelantan
62,Wan Ahmad Kamil Wan Abdullah (PH - AMANAH),"12.6% (3,601)",N19,DEMIT (P24),state,Kelantan
63,Hassan Mahmood (PAS),"47.7% (14,991)",N20,TAWANG (P25),state,Kelantan
64,Mohd Radzuan Abdullah (BN - UMNO),"33.1% (10,408)",N20,TAWANG (P25),state,Kelantan
65,Mohd Huzaimy Che Husin (PAS),"41.8% (12,827)",N21,PANTAI IRAMA (P25),state,Kelantan
66,Ilias Husain (BN - UMNO),"33.7% (10,348)",N21,PANTAI IRAMA (P25),state,Kelantan
67,Ismail Ghani (PH - AMANAH),"4.7% (1,445)",N21,PANTAI IRAMA (P25),state,Kelantan
68,Abd Azziz Kadir (PAS),"40.9% (12,463)",N22,JELAWAT (P25),state,Kelantan
69,Mohd Radzuan Hamat (BN - UMNO),"32.7% (9,968)",N22,JELAWAT (P25),state,Kelantan
70,Mohd Fami Zakaria (PH - PPBM),"4.7% (1,425)",N22,JELAWAT (P25),state,Kelantan
71,Md Yusnan Yusof (PAS),"36.8% (7,820)",N23,MELOR (P26),state,Kelantan
72,Azmi Ishak (BN - UMNO),"33.8% (7,173)",N23,MELOR (P26),state,Kelantan
73,Ab Aziz Ab Kadir (PH - PKR),"10.0% (2,122)",N23,MELOR (P26),state,Kelantan
74,Azami Mohd Nor (PAS),"42.4% (7,025)",N24,KADOK (P26),state,Kelantan
75,Mohammad Azam Ismail (BN - UMNO),"31.1% (5,161)",N24,KADOK (P26),state,Kelantan
76,Che Ibrahim Mohamed (PH - AMANAH),"7.5% (1,246)",N24,KADOK (P26),state,Kelantan
77,Md Alwi Che Ahmad (BN - UMNO),"39.8% (10,921)",N25,KOK LANAS (P26),state,Kelantan
78,Nik Mahadi Nik Mahmood (PAS),"35.7% (9,799)",N25,KOK LANAS (P26),state,Kelantan
79,Mohd Hanapi Ismail (PH - AMANAH),"6.5% (1,779)",N25,KOK LANAS (P26),state,Kelantan
80,Abdul Fattah Mahmood (PAS),"41.3% (14,506)",N26,BUKIT PANAU (P27),state,Kelantan
81,Dayang Saniah Awang Hamid (BN - UMNO),"29.1% (10,215)",N26,BUKIT PANAU (P27),state,Kelantan
82,Hisham Fauzi (PH - AMANAH),"8.4% (2,963)",N26,BUKIT PANAU (P27),state,Kelantan
83,Bakri @ Mohd Bakri Mustapha (BN - UMNO),"42.4% (8,509)",N27,GUAL IPOH (P27),state,Kelantan
84,Wan Yusoff W Mustafa (PAS),"35.4% (7,094)",N27,GUAL IPOH (P27),state,Kelantan
85,Mohd Soba Hussin (PH - AMANAH),2.5% (499),N27,GUAL IPOH (P27),state,Kelantan
86,Md Anizam Ab Rahman (PAS),"40.4% (7,261)",N28,KEMAHANG (P27),state,Kelantan
87,Wan Rakemi Wan Zahari (BN - UMNO),"35.2% (6,338)",N28,KEMAHANG (P27),state,Kelantan
88,Bahari Mohamad Nor (PH - PPBM),4.1% (737),N28,KEMAHANG (P27),state,Kelantan
89,Tuan Saripudin Tuan Ismail (PAS),"45.2% (9,640)",N29,SELISING (P28),state,Kelantan
90,Zulkifle Ali (BN - UMNO),"30.5% (6,520)",N29,SELISING (P28),state,Kelantan
