,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Mas Ermieyati Samsudin (BN - UMNO),"44.5% (22,898)",P134,MASJID TANAH,parliament,Melaka
1,Sabirin Ja'afar (PH - PPBM),"28.7% (14,739)",P134,MASJID TANAH,parliament,Melaka
2,Mohd Nasir Othman (PAS),"9.1% (4,688)",P134,MASJID TANAH,parliament,Melaka
3,Mohd Redzuan Md Yusof (PH - PPBM),"41.7% (29,330)",P135,ALOR GAJAH,parliament,Melaka
4,Wong Nai Chee (BN - MCA),"31.8% (22,350)",P135,ALOR GAJAH,parliament,Melaka
5,Mohammad Nazree Mohammad Aris (PAS),"8.7% (6,135)",P135,ALOR GAJAH,parliament,Melaka
6,Rusnah Aluai (PH - PKR),"39.0% (32,420)",P136,TANGGA BATU,parliament,Melaka
7,Zali Mat Yasin (BN - UMNO),"33.4% (27,761)",P136,TANGGA BATU,parliament,Melaka
8,Zulkifli Ismail (PAS),"10.8% (8,961)",P136,TANGGA BATU,parliament,Melaka
9,Shamsul Iskandar @ Yusre Mohd Akin (PH - PKR),"43.7% (39,067)",P137,HANG TUAH JAYA,parliament,Melaka
10,Mohd Ali Mohd Rustam (BN - UMNO),"34.0% (30,427)",P137,HANG TUAH JAYA,parliament,Melaka
11,Md Khalid Kassim (PAS),"7.9% (7,089)",P137,HANG TUAH JAYA,parliament,Melaka
12,Khoo Poay Tiong (PH - DAP),"60.3% (76,518)",P138,KOTA MELAKA,parliament,Melaka
13,Choo Wei Sern (BN - MCA),"21.6% (27,343)",P138,KOTA MELAKA,parliament,Melaka
14,Goh Leong San (IND),"1.1% (1,415)",P138,KOTA MELAKA,parliament,Melaka
15,Ahmad Hamzah (BN - UMNO),"36.2% (26,560)",P139,JASIN,parliament,Melaka
16,Khairuddin Abu Hassan (PH - AMANAH),"35.9% (26,341)",P139,JASIN,parliament,Melaka
17,Abd Alim Shapie (PAS),"12.1% (8,860)",P139,JASIN,parliament,Melaka
