,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Jalaludin Alias (BN - UMNO),"39.3% (19,062)",P126,JELEBU,parliament,NegriSembilan
1,Mustafar Ab Kadir (PH - AMANAH),"35.1% (17,017)",P126,JELEBU,parliament,NegriSembilan
2,Norman Ipin (PAS),"5.9% (2,878)",P126,JELEBU,parliament,NegriSembilan
3,Mohd Salim Sharif (BN - UMNO),"37.2% (26,819)",P127,JEMPOL,parliament,NegriSembilan
4,Kamarulzaman Kamdias (PH - PPBM),"34.9% (25,188)",P127,JEMPOL,parliament,NegriSembilan
5,Mustaffa Daharun (PAS),"7.3% (5,267)",P127,JEMPOL,parliament,NegriSembilan
6,Loke Siew Fook (PH - DAP),"50.4% (55,503)",P128,SEREMBAN,parliament,NegriSembilan
7,Chong Sin Woon (BN - MCA),"22.5% (24,809)",P128,SEREMBAN,parliament,NegriSembilan
8,Shariffuddin Ahmad (PAS),"10.4% (11,506)",P128,SEREMBAN,parliament,NegriSembilan
9,Eddin Syazlee Shith (PH - PPBM),"36.2% (18,045)",P129,KUALA PILAH,parliament,NegriSembilan
10,Hasan Malek (BN - UMNO),"35.8% (17,845)",P129,KUALA PILAH,parliament,NegriSembilan
11,Rafiei Mustapha (PAS),"8.7% (4,347)",P129,KUALA PILAH,parliament,NegriSembilan
12,Cha Kee Chin (PH - DAP),"60.1% (61,806)",P130,RASAH,parliament,NegriSembilan
13,Ng Kian Nam (BN - MCA),"14.5% (14,939)",P130,RASAH,parliament,NegriSembilan
14,Mohd Khairil Anuar Mohd Wafa (PAS),"8.0% (8,260)",P130,RASAH,parliament,NegriSembilan
15,David Dass Aseerpatham (PAP),0.3% (302),P130,RASAH,parliament,NegriSembilan
16,Khairy Jamaludin Abu Bakar (BN - UMNO),"40.8% (36,096)",P131,REMBAU,parliament,NegriSembilan
17,Roseli Abdul Gani (PH - PKR),"35.9% (31,732)",P131,REMBAU,parliament,NegriSembilan
18,Mustafa Dolah (PAS),"6.8% (6,028)",P131,REMBAU,parliament,NegriSembilan
19,Danyal Balagopal Abdullah (PH - PKR),"48.2% (36,225)",P132,PORT DICKSON,parliament,NegriSembilan
20,Mogan Velayatham (BN - MIC),"24.6% (18,515)",P132,PORT DICKSON,parliament,NegriSembilan
21,Mahfuz Roslan (PAS),"8.8% (6,594)",P132,PORT DICKSON,parliament,NegriSembilan
22,Hasan Bahrom (PH - AMANAH),"36.9% (22,435)",P133,TAMPIN,parliament,NegriSembilan
23,Shaziman Abu Mansor (BN - UMNO),"35.3% (21,433)",P133,TAMPIN,parliament,NegriSembilan
24,Abdul Halim Abu Bakar (PAS),"7.6% (4,598)",P133,TAMPIN,parliament,NegriSembilan
