,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Anthony Loke Siew Fook (PH - DAP),"41.5% (5,031)",N1,CHENNAH (P126),state,NegriSembilan
1,Seet Tee Gee (BN - MCA),"32.0% (3,876)",N1,CHENNAH (P126),state,NegriSembilan
2,Jamalus Mansor (PAS),8.0% (975),N1,CHENNAH (P126),state,NegriSembilan
3,Noor Azmi Yusof (BN - UMNO),"38.5% (4,008)",N2,PERTANG (P126),state,NegriSembilan
4,Osman Mohd Dusa (PH - PPBM),"34.5% (3,593)",N2,PERTANG (P126),state,NegriSembilan
5,Hamran Abu Hassan (PAS),5.6% (578),N2,PERTANG (P126),state,NegriSembilan
6,Mohd Razi Mohd Ali (BN - UMNO),"49.5% (7,795)",N3,SUNGAI LUI (P126),state,NegriSembilan
7,Zainal Fikri Abd Kadir (PH - PKR),"21.6% (3,396)",N3,SUNGAI LUI (P126),state,NegriSembilan
8,Abdul Karim Shahimi Abdul Razak (PAS),"8.1% (1,269)",N3,SUNGAI LUI (P126),state,NegriSembilan
9,Bakri Sawir (PH - AMANAH),"41.9% (4,296)",N4,KLAWANG (P126),state,NegriSembilan
10,Baharudin Jali (BN - UMNO),"32.3% (3,320)",N4,KLAWANG (P126),state,NegriSembilan
11,Mazly Yasin (PAS),7.2% (744),N4,KLAWANG (P126),state,NegriSembilan
12,Shamsulkahar Mohd Deli (BN - UMNO),"44.2% (9,782)",N5,SERTING (P127),state,NegriSembilan
13,Abd Rahman Ramli (PH - AMANAH),"27.2% (6,014)",N5,SERTING (P127),state,NegriSembilan
14,Muhammad Alzukri Muhammad Yasin (PAS),"8.3% (1,837)",N5,SERTING (P127),state,NegriSembilan
15,Mustapha Nagoor (BN - UMNO),"52.7% (9,575)",N6,PALONG (P127),state,NegriSembilan
16,Abdul Rahman Jaafar (PH - PKR),"18.3% (3,329)",N6,PALONG (P127),state,NegriSembilan
17,Masdi Musa (PAS),"8.6% (1,571)",N6,PALONG (P127),state,NegriSembilan
18,Manickam Letchuman (BN - MIC),"30.0% (3,702)",N7,JERAM PADANG (P127),state,NegriSembilan
19,Surash Sreenivasan (IND),"21.4% (2,640)",N7,JERAM PADANG (P127),state,NegriSembilan
20,S Musliadi Sabtu (PH - PKR),"18.7% (2,302)",N7,JERAM PADANG (P127),state,NegriSembilan
21,Mohd Fairuz Mohd Isa (PAS),6.4% (785),N7,JERAM PADANG (P127),state,NegriSembilan
22,Teo Kok Seong (PH - DAP),"51.8% (10,094)",N8,BAHAU (P127),state,NegriSembilan
23,Chong Wan Yu (BN - MCA),"20.5% (3,985)",N8,BAHAU (P127),state,NegriSembilan
24,Mustafar Bakri Abdul Aziz (PAS),"7.8% (1,512)",N8,BAHAU (P127),state,NegriSembilan
25,Suhaimi Kassim (PH - AMANAH),"40.0% (7,456)",N9,LENGGENG (P128),state,NegriSembilan
26,Mazalan Maarop (BN - UMNO),"34.7% (6,470)",N9,LENGGENG (P128),state,NegriSembilan
27,Mohammad Ghazali Abu Bakar (PAS),"8.6% (1,612)",N9,LENGGENG (P128),state,NegriSembilan
28,Arul Kumar Jambunathan (PH - DAP),"57.7% (14,219)",N10,NILAI (P128),state,NegriSembilan
29,Leaw Kok Chan (BN - MCA),"17.8% (4,394)",N10,NILAI (P128),state,NegriSembilan
30,Mohd Abu Zahrim Abdul Rahman (PAS),"8.7% (2,151)",N10,NILAI (P128),state,NegriSembilan
31,Chew Seh Yong (PH - DAP),"71.4% (13,647)",N11,LOBAK (P128),state,NegriSembilan
32,Lim Kok Kian (BN - MCA),"9.8% (1,865)",N11,LOBAK (P128),state,NegriSembilan
33,Balamurugan Shanmugam (PAP),0.5% (92),N11,LOBAK (P128),state,NegriSembilan
34,Ng Chin Tsai (PH - DAP),"52.7% (5,894)",N12,TEMIANG (P128),state,NegriSembilan
35,Siow Koi Voon (BN - MCA),"25.3% (2,831)",N12,TEMIANG (P128),state,NegriSembilan
36,Yaw Con Seng (PAS),3.3% (369),N12,TEMIANG (P128),state,NegriSembilan
37,Aminuddin Harun (PH - PKR),"47.3% (9,832)",N13,SIKAMAT (P128),state,NegriSembilan
38,Syamsul Amri Ismail (BN - UMNO),"30.9% (6,419)",N13,SIKAMAT (P128),state,NegriSembilan
39,Rahim Yusof (PAS),"6.4% (1,331)",N13,SIKAMAT (P128),state,NegriSembilan
40,Bujang Abu (IND),0.1% (15),N13,SIKAMAT (P128),state,NegriSembilan
41,Mohamad Rafie Ab Malek (PH - PKR),"43.1% (6,801)",N14,AMPANGAN (P128),state,NegriSembilan
42,Abu Ubaidah Redza (BN - UMNO),"34.5% (5,441)",N14,AMPANGAN (P128),state,NegriSembilan
43,Mustaffa Daharun (PAS),6.2% (983),N14,AMPANGAN (P128),state,NegriSembilan
44,Ismail Lasim (BN - UMNO),"41.1% (4,146)",N15,JUASSEH (P129),state,NegriSembilan
45,Rosli Omar (PH - PKR),"34.2% (3,454)",N15,JUASSEH (P129),state,NegriSembilan
46,Hassan Mohamed (PAS),6.2% (624),N15,JUASSEH (P129),state,NegriSembilan
47,Abdul Samad Ibrahim (BN - UMNO),"41.2% (3,362)",N16,SERI MENANTI (P129),state,NegriSembilan
48,Jamali Salam (PH - PPBM),"33.9% (2,767)",N16,SERI MENANTI (P129),state,NegriSembilan
49,Rafiei Mustapha (PAS),6.6% (535),N16,SERI MENANTI (P129),state,NegriSembilan
50,Adnan Abu Hassan (BN - UMNO),"42.8% (3,456)",N17,SENALING (P129),state,NegriSembilan
51,Md Rais Mohamad @ Basiron (PH - AMANAH),"30.8% (2,484)",N17,SENALING (P129),state,NegriSembilan
52,Fazilah Abu Samah (PAS),7.4% (598),N17,SENALING (P129),state,NegriSembilan
53,Mohamad Nazaruddin Sabtu (PH - PKR),"41.5% (5,643)",N18,PILAH (P129),state,NegriSembilan
54,Norhayati Omar (BN - UMNO),"28.2% (3,837)",N18,PILAH (P129),state,NegriSembilan
55,Ahmad Fadzil Othman (PAS),"10.4% (1,413)",N18,PILAH (P129),state,NegriSembilan
56,Saiful Yazan Sulaiman (BN - UMNO),"39.5% (3,907)",N19,JOHOL (P129),state,NegriSembilan
