,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
0,"32,048",597,790,0,"25,326 (79%)",Malay 33.5%; Chinese 29.48%; Indian 14.91%; B/P Sabah 0.12%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 21.56%; Others 0.37%,P78,CAMERON HIGHLANDS,parliament,Pahang
1,"35,294","6,569",462,0,"28,666 (81.2%)",Malay 78.02%; Chinese 15.64%; Indian 5.23%; B/P Sabah 0.05%; B/P Sarawak 0.07%; Orang Asli (Pen. Msia) 0.77%; Others 0.22%,P79,LIPIS,parliament,Pahang
2,"57,723","3,159",766,0,"46,971 (81.4%)",Malay 52.07%; Chinese 38.11%; Indian 6.15%; B/P Sabah 0.05%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 3.25%; Others 0.32%,P80,RAUB,parliament,Pahang
3,"63,609","5,908",941,0,"51,414 (80.8%)",Malay 81.76%; Chinese 13.02%; Indian 2.63%; B/P Sabah 0.06%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 2.24%; Others 0.23%,P81,JERANTUT,parliament,Pahang
4,"77,208","10,950",622,0,"64,612 (83.7%)",Malay 66.62%; Chinese 26.89%; Indian 5.68%; B/P Sabah 0.27%; B/P Sarawak 0.16%; Orang Asli (Pen. Msia) 0.04%; Others 0.33%,P82,INDERA MAHKOTA,parliament,Pahang
5,"62,696","8,111",798,0,"52,167 (83.2%)",Malay 66.39%; Chinese 29.58%; Indian 3.34%; B/P Sabah 0.11%; B/P Sarawak 0.09%; Orang Asli (Pen. Msia) 0.17%; Others 0.32%,P83,KUANTAN,parliament,Pahang
6,"55,135","5,742",671,0,"44,942 (81.5%)",Malay 83.36%; Chinese 12.86%; Indian 1.94%; B/P Sabah 0.06%; B/P Sarawak 0.07%; Orang Asli (Pen. Msia) 1.4%; Others 0.32%,P84,PAYA BESAR,parliament,Pahang
7,"88,899","24,859","1,393",0,"72,308 (81.3%)",Malay 87.79%; Chinese 2.01%; Indian 0.82%; B/P Sabah 0.23%; B/P Sarawak 0.48%; Orang Asli (Pen. Msia) 7.86%; Others 0.81%,P85,PEKAN,parliament,Pahang
8,"41,036","3,763",482,0,"33,363 (81.3%)",Malay 90.16%; Chinese 6.16%; Indian 1.45%; B/P Sabah 0.05%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 1.83%; Others 0.3%,P86,MARAN,parliament,Pahang
9,"47,264","2,876",613,0,"39,102 (82.7%)",Malay 89.86%; Chinese 2.77%; Indian 2.29%; B/P Sabah 0.04%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 4.78%; Others 0.21%,P87,KUALA KRAU,parliament,Pahang
10,"75,081","1,904",865,0,"62,204 (82.8%)",Malay 66.47%; Chinese 22.52%; Indian 8.11%; B/P Sabah 0.29%; B/P Sarawak 0.61%; Orang Asli (Pen. Msia) 1.25%; Others 0.75%,P88,TEMERLOH,parliament,Pahang
11,"67,359","2,032",783,0,"56,173 (83.4%)",Malay 46.5%; Chinese 41.69%; Indian 9.16%; B/P Sabah 0.09%; B/P Sarawak 0.17%; Orang Asli (Pen. Msia) 2.08%; Others 0.31%,P89,BENTONG,parliament,Pahang
12,"58,711","2,311",767,0,"48,339 (82.3%)",Malay 61.89%; Chinese 29.17%; Indian 3.71%; B/P Sabah 0.2%; B/P Sarawak 0.17%; Orang Asli (Pen. Msia) 4.59%; Others 0.28%,P90,BERA,parliament,Pahang
13,"61,918","11,395",917,0,"50,905 (82.2%)",Malay 87.71%; Chinese 2.31%; Indian 1.03%; B/P Sabah 0.08%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 8.45%; Others 0.35%,P91,ROMPIN,parliament,Pahang
