,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
0,"60,523","4,736",715,0,"53,127 (87.8%)",Malay 78.56%; Chinese 17.02%; Indian 4.17%; B/P Sabah 0.06%; B/P Sarawak 0.06%; Others 0.13%,P41,KEPALA BATAS,parliament,Penang
1,"60,850",81,689,0,0 (0%),Malay 78.23%; Chinese 14.71%; Indian 6.59%; B/P Sabah 0.12%; B/P Sarawak 0.15%; Others 0.21%,P42,TASEK GELUGOR,parliament,Penang
2,"71,583","43,902",463,0,"60,642 (84.7%)",Malay 13.35%; Chinese 71.27%; Indian 15.03%; B/P Sabah 0.05%; B/P Sarawak 0.03%; Others 0.28%,P43,BAGAN,parliament,Penang
3,"81,789","15,668",658,0,"70,686 (86.4%)",Malay 71.94%; Chinese 21.41%; Indian 6.16%; B/P Sabah 0.07%; B/P Sarawak 0.06%; Others 0.36%,P44,PERMATANG PAUH,parliament,Penang
4,"88,998","52,877","1,109",0,"75,977 (85.4%)",Malay 19.34%; Chinese 70.36%; Indian 9.95%; B/P Sabah 0.06%; B/P Sarawak 0.03%; Others 0.26%,P45,BUKIT MERTAJAM,parliament,Penang
5,"65,394","33,553",675,0,"55,479 (84.8%)",Malay 20.94%; Chinese 55.87%; Indian 22.76%; B/P Sabah 0.08%; B/P Sarawak 0.06%; Others 0.3%,P46,BATU KAWAN,parliament,Penang
6,"73,383","15,817",860,0,"63,199 (86.1%)",Malay 47.7%; Chinese 35.03%; Indian 16.95%; B/P Sabah 0.07%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.01%; Others 0.2%,P47,NIBONG TEBAL,parliament,Penang
7,"75,069","40,731",512,0,"60,429 (80.5%)",Malay 14.65%; Chinese 72.83%; Indian 11.29%; B/P Sabah 0.09%; B/P Sarawak 0.09%; Others 1.05%,P48,BUKIT BENDERA,parliament,Penang
8,"49,586","29,599",347,0,"40,130 (80.9%)",Malay 5.89%; Chinese 84.17%; Indian 9.55%; B/P Sabah 0.04%; B/P Sarawak 0.03%; Others 0.31%,P49,TANJONG,parliament,Penang
9,"76,991","38,171",720,0,"64,584 (83.9%)",Malay 22.62%; Chinese 65.21%; Indian 11.67%; B/P Sabah 0.06%; B/P Sarawak 0.04%; Others 0.39%,P50,JELUTONG,parliament,Penang
10,"91,595","55,951",528,0,"76,489 (83.5%)",Malay 14.33%; Chinese 73.86%; Indian 11.27%; B/P Sabah 0.06%; B/P Sarawak 0.04%; Others 0.45%,P51,BUKIT GELUGOR,parliament,Penang
11,"90,780","37,751",762,0,"75,884 (83.6%)",Malay 39.6%; Chinese 48.51%; Indian 11.02%; B/P Sabah 0.19%; B/P Sarawak 0.18%; Others 0.49%,P52,BAYAN BARU,parliament,Penang
12,"59,086","6,464",631,0,"50,564 (85.6%)",Malay 64.9%; Chinese 30.16%; Indian 4.43%; B/P Sabah 0.15%; B/P Sarawak 0.1%; Others 0.27%,P53,BALIK PULAU,parliament,Penang
