,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
0,"35,903","5,528",595,0,"28,032 (78.1%)",Malay 69.1%; Chinese 14.05%; Indian 3.29%; B/P Sabah 0.55%; B/P Sarawak 0.84%; Orang Asli (Pen. Msia) 9.07%; Others 3.09%,P54,GERIK,parliament,Perak
1,"29,752","5,773",405,0,"23,719 (79.7%)",Malay 83.46%; Chinese 12.69%; Indian 1.44%; B/P Sabah 0.07%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 2.13%; Others 0.16%,P55,LENGGONG,parliament,Perak
2,"49,453","4,486",722,0,"40,470 (81.8%)",Malay 89.69%; Chinese 4.34%; Indian 5.64%; B/P Sabah 0.05%; B/P Sarawak 0.04%; Others 0.23%,P56,LARUT,parliament,Perak
3,"51,860","3,098",536,0,"43,347 (83.6%)",Malay 69.35%; Chinese 25.7%; Indian 4.76%; B/P Sabah 0.05%; B/P Sarawak 0.02%; Others 0.13%,P57,PARIT BUNTAR,parliament,Perak
4,"59,293",172,865,0,"48,381 (81.6%)",Malay 77.89%; Chinese 12.89%; Indian 9.01%; B/P Sabah 0.04%; B/P Sarawak 0.04%; Others 0.14%,P58,BAGAN SERAI,parliament,Perak
5,"69,873","4,089",761,0,"57,867 (82.8%)",Malay 72.39%; Chinese 18.9%; Indian 8.41%; B/P Sabah 0.04%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.01%; Others 0.2%,P59,BUKIT GANTANG,parliament,Perak
6,"90,729","27,384","1,092",0,"71,297 (78.6%)",Malay 38.81%; Chinese 46.41%; Indian 13.45%; B/P Sabah 0.23%; B/P Sarawak 0.62%; Orang Asli (Pen. Msia) 0.03%; Others 0.44%,P60,TAIPING,parliament,Perak
7,"30,996","2,548",315,0,"25,698 (82.9%)",Malay 77.75%; Chinese 15.42%; Indian 6.65%; B/P Sabah 0.02%; B/P Sarawak 0.04%; Others 0.13%,P61,PADANG RENGAS,parliament,Perak
8,"55,002","5,607",814,0,0 (0%),Malay 34.28%; Chinese 36.28%; Indian 20.89%; B/P Sabah 0.05%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 8.3%; Others 0.16%,P62,SUNGAI SIPUT,parliament,Perak
9,"107,763","5,320",960,0,"88,920 (82.5%)",Malay 66.32%; Chinese 20.22%; Indian 11.42%; B/P Sabah 0.18%; B/P Sarawak 0.33%; Orang Asli (Pen. Msia) 1.08%; Others 0.45%,P63,TAMBUN,parliament,Perak
10,"91,486","42,797","1,023",0,"71,726 (78.4%)",Malay 21%; Chinese 72.01%; Indian 6.4%; B/P Sabah 0.08%; B/P Sarawak 0.09%; Orang Asli (Pen. Msia) 0.02%; Others 0.39%,P64,IPOH TIMOR,parliament,Perak
11,"84,874","45,724",878,0,"66,852 (78.8%)",Malay 11.83%; Chinese 63.16%; Indian 24.42%; B/P Sabah 0.04%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 0.03%; Others 0.47%,P65,IPOH BARAT,parliament,Perak
12,"81,399","43,868",733,0,"63,804 (78.4%)",Malay 9.95%; Chinese 75%; Indian 14.61%; B/P Sabah 0.04%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.05%; Others 0.3%,P66,BATU GAJAH,parliament,Perak
13,"36,954",731,511,0,"30,701 (83.1%)",Malay 70.36%; Chinese 21.6%; Indian 6.61%; B/P Sabah 0.07%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 1.05%; Others 0.25%,P67,KUALA KANGSAR,parliament,Perak
14,"79,794","27,954","1,009",0,"61,617 (77.2%)",Malay 26.33%; Chinese 59.25%; Indian 14.06%; B/P Sabah 0.09%; B/P Sarawak 0.07%; Orang Asli (Pen. Msia) 0.01%; Others 0.19%,P68,BERUAS,parliament,Perak
15,"35,910","6,320",425,0,"29,547 (82.3%)",Malay 93%; Chinese 2.24%; Indian 2.54%; B/P Sabah 0.07%; B/P Sarawak 0.08%; Orang Asli (Pen. Msia) 1.86%; Others 0.21%,P69,PARIT,parliament,Perak
16,"69,436","11,801",858,0,"53,567 (77.1%)",Malay 33.39%; Chinese 55.37%; Indian 9.16%; B/P Sabah 0.05%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 1.74%; Others 0.24%,P70,KAMPAR,parliament,Perak
17,"99,167","29,778",853,0,"80,532 (81.2%)",Malay 42.37%; Chinese 46.01%; Indian 9.12%; B/P Sabah 0.07%; B/P Sarawak 0.07%; Orang Asli (Pen. Msia) 2.09%; Others 0.26%,P71,GOPENG,parliament,Perak
18,"47,128",614,760,0,"37,113 (78.7%)",Malay 46.24%; Chinese 25.83%; Indian 14.29%; B/P Sabah 0.08%; B/P Sarawak 0.1%; Orang Asli (Pen. Msia) 12.96%; Others 0.5%,P72,TAPAH,parliament,Perak
19,"54,671","7,712",895,0,"44,508 (81.4%)",Malay 80.65%; Chinese 12.86%; Indian 3.49%; B/P Sabah 0.04%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 2.75%; Others 0.15%,P73,PASIR SALAK,parliament,Perak
20,"67,157",400,"1,081",0,"55,042 (82%)",Malay 72.05%; Chinese 14.96%; Indian 11.44%; B/P Sabah 0.56%; B/P Sarawak 0.66%; Orang Asli (Pen. Msia) 0.03%; Others 0.3%,P74,LUMUT,parliament,Perak
21,"47,309","5,073",814,0,"37,796 (79.9%)",Malay 58.99%; Chinese 17.72%; Indian 21.63%; B/P Sabah 0.36%; B/P Sarawak 0.15%; Orang Asli (Pen. Msia) 0.02%; Others 1.14%,P75,BAGAN DATUK,parliament,Perak
22,"66,487","11,179",742,0,"54,601 (82.1%)",Malay 40.67%; Chinese 40.09%; Indian 18.64%; B/P Sabah 0.02%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.21%; Others 0.33%,P76,TELUK INTAN,parliament,Perak
23,"68,468","5,358","1,051",0,"55,613 (81.2%)",Malay 55.56%; Chinese 25.56%; Indian 13.02%; B/P Sabah 0.06%; B/P Sarawak 0.07%; Orang Asli (Pen. Msia) 5.31%; Others 0.43%,P77,TANJONG MALIM,parliament,Perak
