,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Hasbullah Osman (BN - UMNO),"36.9% (13,243)",P54,GERIK,parliament,Perak
1,Mohd Dahalan Ismail (PAS),"21.5% (7,715)",P54,GERIK,parliament,Perak
2,Ibrahim Mohd Hanafiah (PH - PPBM),"17.7% (6,353)",P54,GERIK,parliament,Perak
3,Shamsul Anuar Nasarah (BN - UMNO),"42.1% (12,523)",P55,LENGGONG,parliament,Perak
4,Muhammad Mujahid Mohammad Fadzil (PAS),"22.7% (6,750)",P55,LENGGONG,parliament,Perak
5,Amirul Fairuzzeen Jamaluddin (PH - PPBM),"13.2% (3,932)",P55,LENGGONG,parliament,Perak
6,Hamzah Zainudin (BN - UMNO),"36.8% (18,184)",P56,LARUT,parliament,Perak
7,Abu Husin Mohmmad (PAS),"27.7% (13,698)",P56,LARUT,parliament,Perak
8,Khairil Anuar Akhiruddin (PH - PPBM),"15.6% (7,738)",P56,LARUT,parliament,Perak
9,Mujahid Yusof (PH - AMANAH),"32.3% (16,753)",P57,PARIT BUNTAR,parliament,Perak
10,Abdul Puhat Mat Nayan (BN - UMNO),"26.3% (13,655)",P57,PARIT BUNTAR,parliament,Perak
11,Ahmad Azhar Sharin (PAS),"23.7% (12,312)",P57,PARIT BUNTAR,parliament,Perak
12,Noor Azmi Ghazali (BN - UMNO),"29.0% (17,220)",P58,BAGAN SERAI,parliament,Perak
13,Rohaya Bakar (PAS),"28.8% (17,048)",P58,BAGAN SERAI,parliament,Perak
14,Adam Asmuni (PH - PPBM),"21.9% (12,987)",P58,BAGAN SERAI,parliament,Perak
15,Syed Abu Hussin Hafiz Syed Abdul Fasal (BN - UMNO),"32.1% (22,450)",P59,BUKIT GANTANG,parliament,Perak
16,Khadri Khalid (PH - PPBM),"26.3% (18,361)",P59,BUKIT GANTANG,parliament,Perak
17,Idris Ahmad (PAS),"23.0% (16,052)",P59,BUKIT GANTANG,parliament,Perak
18,Teh Kok Lim (PH - DAP),"47.4% (42,997)",P60,TAIPING,parliament,Perak
19,Tan Keng Liang (BN - GERAKAN),"17.2% (15,613)",P60,TAIPING,parliament,Perak
20,Ibrahim Ismail (PAS),"12.3% (11,133)",P60,TAIPING,parliament,Perak
21,Mohamed Nazri Abdul Aziz (BN - UMNO),"33.8% (10,491)",P61,PADANG RENGAS,parliament,Perak
22,Ejazi Yahaya (PH - PKR),"25.6% (7,943)",P61,PADANG RENGAS,parliament,Perak
23,Mohamad Azalan Mohamad Radzi (PAS),"22.1% (6,847)",P61,PADANG RENGAS,parliament,Perak
24,Kesavan Subramaniam (PH - PKR),"37.8% (20,817)",P62,SUNGAI SIPUT,parliament,Perak
25,Devamany Krishnasamy (BN - MIC),"27.7% (15,210)",P62,SUNGAI SIPUT,parliament,Perak
26,Ishak Ibrahim (PAS),"9.4% (5,194)",P62,SUNGAI SIPUT,parliament,Perak
27,Michael Jeyakumar Devaraj (PSM),"2.7% (1,505)",P62,SUNGAI SIPUT,parliament,Perak
28,Ahmad Faizal Azumu (PH - PPBM),"35.9% (38,661)",P63,TAMBUN,parliament,Perak
29,Ahmad Husni Mohamad Hanadzlah (BN - UMNO),"30.9% (33,341)",P63,TAMBUN,parliament,Perak
30,Muhamad Zulkifli Mohamad Zakaria (PAS),"13.9% (14,948)",P63,TAMBUN,parliament,Perak
31,Wong Kah Woh (PH - DAP),"61.8% (56,519)",P64,IPOH TIMOR,parliament,Perak
32,Kathleen Wong Mei Yin (BN - MCA),"15.0% (13,722)",P64,IPOH TIMOR,parliament,Perak
33,Kulasegaran Murugeson (PH - DAP),"65.5% (55,613)",P65,IPOH BARAT,parliament,Perak
34,Cheng Wei Yee (BN - MCA),"11.7% (9,889)",P65,IPOH BARAT,parliament,Perak
35,Sivakumar Varatharaju Naidu (PH - DAP),"64.9% (52,850)",P66,BATU GAJAH,parliament,Perak
36,Leong Chee Wai (BN - MCA),"11.0% (8,982)",P66,BATU GAJAH,parliament,Perak
37,Kunasekaran Krishnan (PSM),1.2% (955),P66,BATU GAJAH,parliament,Perak
38,Mastura Mohd Yazid (BN - UMNO),"32.7% (12,102)",P67,KUALA KANGSAR,parliament,Perak
39,Ahmad Termizi Ramli (PH - AMANAH),"30.8% (11,371)",P67,KUALA KANGSAR,parliament,Perak
40,Khalil Idham Lim Abdullah (PAS),"17.8% (6,583)",P67,KUALA KANGSAR,parliament,Perak
41,Ngeh Koo Ham (PH - DAP),"51.7% (41,231)",P68,BERUAS,parliament,Perak
42,Pang Chok King (BN - GERAKAN),"16.6% (13,277)",P68,BERUAS,parliament,Perak
43,Mohamad Nazeer M K M Hameed (PAS),"7.2% (5,759)",P68,BERUAS,parliament,Perak
44,Mohd Nizar Zakaria (BN - UMNO),"39.1% (14,035)",P69,PARIT,parliament,Perak
45,Najihatussalehah Ahmad (PAS),"21.5% (7,715)",P69,PARIT,parliament,Perak
