,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
0,"15,369","2,375",307,0,0 (0%),Malay 74.05%; Chinese 8.59%; Indian 5.3%; B/P Sabah 0.63%; B/P Sarawak 0.87%; Orang Asli (Pen. Msia) 3.73%; Others 6.83%,N1,PENGKALAN HULU (P54),state,Perak
1,"20,534","3,935",339,0,0 (0%),Malay 65.39%; Chinese 18.15%; Indian 1.79%; B/P Sabah 0.49%; B/P Sarawak 0.82%; Orang Asli (Pen. Msia) 13.07%; Others 0.3%,N2,TEMENGOR (P54),state,Perak
2,"16,965","3,268",241,0,"13,622 (80.3%)",Malay 84.49%; Chinese 10.75%; Indian 0.73%; B/P Sabah 0.04%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 3.73%; Others 0.21%,N3,KENERING (P55),state,Perak
3,"12,787","2,302",150,0,"10,097 (79%)",Malay 82.1%; Chinese 15.26%; Indian 2.38%; B/P Sabah 0.1%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.02%; Others 0.09%,N4,KOTA TAMPAN (P55),state,Perak
4,"16,483",289,235,0,"13,653 (82.8%)",Malay 86.06%; Chinese 7.91%; Indian 5.78%; B/P Sabah 0.08%; B/P Sarawak 0.05%; Others 0.11%,N5,SELAMA (P56),state,Perak
5,"16,615",180,293,0,"13,407 (80.7%)",Malay 94.37%; Chinese 1.86%; Indian 3.38%; B/P Sabah 0.04%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.01%; Others 0.29%,N6,KUBU GAJAH (P56),state,Perak
6,"16,355","2,308",269,0,"13,406 (82%)",Malay 88.6%; Chinese 3.27%; Indian 7.81%; B/P Sabah 0.03%; B/P Sarawak 0.01%; Orang Asli (Pen. Msia) 0.01%; Others 0.28%,N7,BATU KURAU (P56),state,Perak
7,"26,726",140,265,0,"22,369 (83.7%)",Malay 74.96%; Chinese 16.88%; Indian 7.89%; B/P Sabah 0.06%; B/P Sarawak 0.01%; Others 0.19%,N8,TITI SERONG (P57),state,Perak
8,"25,134","2,643",273,0,"20,976 (83.5%)",Malay 63.38%; Chinese 35.08%; Indian 1.42%; B/P Sabah 0.04%; B/P Sarawak 0.03%; Others 0.05%,N9,KUALA KURAU (P57),state,Perak
9,"20,901","1,162",336,0,"16,983 (81.3%)",Malay 74.35%; Chinese 10.91%; Indian 14.61%; B/P Sabah 0.03%; B/P Sarawak 0.02%; Others 0.09%,N10,ALOR PONGSU (P58),state,Perak
