,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Aznel Ibrahim (BN - UMNO),"37.2% (5,716)",N1,PENGKALAN HULU (P54),state,Perak
1,Mohamad Hamidi Ismail (PAS),"21.7% (3,341)",N1,PENGKALAN HULU (P54),state,Perak
2,Ahmad Safwan Mohamad (PH - PPBM),"17.6% (2,711)",N1,PENGKALAN HULU (P54),state,Perak
3,Salbiah Mohamed (BN - UMNO),"38.1% (7,823)",N2,TEMENGOR (P54),state,Perak
4,Md Pozi Md Sani (PAS),"18.9% (3,888)",N2,TEMENGOR (P54),state,Perak
5,Mohd Fadzil Abdul Aziz (PH - PPBM),"18.5% (3,806)",N2,TEMENGOR (P54),state,Perak
6,Mohd Tarmizi Idris (BN - UMNO),"43.5% (7,379)",N3,KENERING (P55),state,Perak
7,Azhar Rasdi (PAS),"24.2% (4,111)",N3,KENERING (P55),state,Perak
8,Noor Sham Abu Samah (PH - PKR),"10.8% (1,832)",N3,KENERING (P55),state,Perak
9,Saarani Mohamad (BN - UMNO),"40.5% (5,183)",N4,KOTA TAMPAN (P55),state,Perak
10,Muhammad Rif'aat Razman (PAS),"22.5% (2,881)",N4,KOTA TAMPAN (P55),state,Perak
11,Noor Hasnida Mohd Hashim (PH - PPBM),"14.3% (1,834)",N4,KOTA TAMPAN (P55),state,Perak
12,Mohd Akmal Kamarudin (PAS),"33.5% (5,516)",N5,SELAMA (P56),state,Perak
13,Faizul Arby Mohd Shohor (BN - UMNO),"31.7% (5,227)",N5,SELAMA (P56),state,Perak
14,Razali Ismail (PH - AMANAH),"15.9% (2,618)",N5,SELAMA (P56),state,Perak
15,Khalil Yahaya (PAS),"34.8% (5,786)",N6,KUBU GAJAH (P56),state,Perak
16,Saliza Ahmad (BN - UMNO),"33.7% (5,606)",N6,KUBU GAJAH (P56),state,Perak
17,Mat Supri Musa (PH - PPBM),"10.1% (1,671)",N6,KUBU GAJAH (P56),state,Perak
18,Muhammad Amin Zakaria (BN - UMNO),"37.7% (6,168)",N7,BATU KURAU (P56),state,Perak
19,Mohd Shahir Mohd Hassan (PAS),"23.6% (3,860)",N7,BATU KURAU (P56),state,Perak
20,Muhamad Aiman Aizuddin Md Husin (PH - PKR),"18.7% (3,051)",N7,BATU KURAU (P56),state,Perak
21,Zainal Abidin Abd Rahman (BERJASA),0.3% (42),N7,BATU KURAU (P56),state,Perak
22,Hasnul Zulkarnain Abd Munaim (PH - AMANAH),"28.4% (7,600)",N8,TITI SERONG (P57),state,Perak
23,Norsalewati Mat Norwani (BN - UMNO),"27.9% (7,460)",N8,TITI SERONG (P57),state,Perak
