,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Mordi Bimol (PH - DAP),"43.1% (12,771)",P192,MAS GADING,parliament,Sarawak
1,Nogeh Gumbek (BN - PDP),"32.9% (9,747)",P192,MAS GADING,parliament,Sarawak
2,Wan Junaidi Tuanku Jaafar (BN - PBB),"57.8% (26,379)",P193,SANTUBONG,parliament,Sarawak
3,Mohamad Fidzuan Zaidi (PH - AMANAH),"15.1% (6,894)",P193,SANTUBONG,parliament,Sarawak
4,Fadillah Yusof (BN - PBB),"48.9% (28,306)",P194,PETRA JAYA,parliament,Sarawak
5,Nor Irwan Ahmat Nor (PH - PKR),"22.9% (13,289)",P194,PETRA JAYA,parliament,Sarawak
6,Hamdan Sani (PAS),"2.3% (1,350)",P194,PETRA JAYA,parliament,Sarawak
7,Kelvin Yii Lee Wuen (PH - DAP),"59.3% (48,548)",P195,BANDAR KUCHING,parliament,Sarawak
8,Kho Teck Wan (BN - SUPP),"15.4% (12,575)",P195,BANDAR KUCHING,parliament,Sarawak
9,Chong Chieng Jen (PH - DAP),"49.9% (33,060)",P196,STAMPIN,parliament,Sarawak
10,Sim Kui Hian (BN - SUPP),"28.4% (18,839)",P196,STAMPIN,parliament,Sarawak
11,Rubiah Wang (BN - PBB),"54.1% (25,070)",P197,KOTA SAMARAHAN,parliament,Sarawak
12,Sopian Julaihi (PH - AMANAH),"17.4% (8,078)",P197,KOTA SAMARAHAN,parliament,Sarawak
13,Zulkipli Ramzi (PAS),"5.9% (2,719)",P197,KOTA SAMARAHAN,parliament,Sarawak
14,Willie Mongin (PH - PKR),"40.9% (18,865)",P198,PUNCAK BORNEO,parliament,Sarawak
15,Genot Sinel @ Jeannoth Sinel (BN - PBB),"32.2% (14,860)",P198,PUNCAK BORNEO,parliament,Sarawak
16,Buln Patrick Ribos (S'wak STAR),1.7% (795),P198,PUNCAK BORNEO,parliament,Sarawak
17,Richard Riot Jaem (BN - SUPP),"46.6% (17,545)",P199,SERIAN,parliament,Sarawak
18,Edward Andrew Luwak @ Edward Luwak (PH - DAP),"20.3% (7,640)",P199,SERIAN,parliament,Sarawak
19,Senior William Rade (IND),"5.9% (2,234)",P199,SERIAN,parliament,Sarawak
20,Nancy Shukri (BN - PBB),"61.2% (14,208)",P200,BATANG SADONG,parliament,Sarawak
21,Othman Mustapha @ Mos (PH - AMANAH),"8.1% (1,880)",P200,BATANG SADONG,parliament,Sarawak
22,Asan Singkro (PAS),4.2% (978),P200,BATANG SADONG,parliament,Sarawak
23,Rohani Abdul Karim (BN - PBB),"47.6% (14,204)",P201,BATANG LUPAR,parliament,Sarawak
24,Wan Abdillah Wan Ahmad (PAS),"13.2% (3,927)",P201,BATANG LUPAR,parliament,Sarawak
25,Narudin Mentali (PH - AMANAH),"6.8% (2,020)",P201,BATANG LUPAR,parliament,Sarawak
26,Masir Kujat (BN - PRS),"42.8% (14,141)",P202,SRI AMAN,parliament,Sarawak
27,Norina Umoi Utot (PH - PKR),"25.2% (8,321)",P202,SRI AMAN,parliament,Sarawak
28,Cobbold Lusoi (PBDSB),1.6% (538),P202,SRI AMAN,parliament,Sarawak
29,Tambat @ Jugah Muyang (IND),"28.0% (5,834)",P203,LUBOK ANTU,parliament,Sarawak
30,Robert Pasang Alam (BN - PRS),"23.0% (4,775)",P203,LUBOK ANTU,parliament,Sarawak
31,Nicholas Bawin Anggat (PH - PKR),"19.0% (3,942)",P203,LUBOK ANTU,parliament,Sarawak
