,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
0,"40,863","1,674",565,0,"34,023 (83.3%)",Malay 83.05%; Chinese 11.69%; Indian 4.95%; B/P Sabah 0.05%; B/P Sarawak 0.07%; Orang Asli (Pen. Msia) 0.01%; Others 0.2%,P92,SABAK BERNAM,parliament,Selangor
1,"48,739",714,564,0,"41,878 (85.9%)",Malay 68.71%; Chinese 28.77%; Indian 2.02%; B/P Sabah 0.11%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.01%; Others 0.33%,P93,SUNGAI BESAR,parliament,Selangor
2,"100,990","13,391","1,310",0,"86,798 (85.9%)",Malay 60.39%; Chinese 20.8%; Indian 16.22%; B/P Sabah 0.17%; B/P Sarawak 0.16%; Orang Asli (Pen. Msia) 1.64%; Others 0.62%,P94,HULU SELANGOR,parliament,Selangor
3,"47,198","1,970",531,0,"41,184 (87.3%)",Malay 74.67%; Chinese 15.96%; Indian 8.94%; B/P Sabah 0.05%; B/P Sarawak 0.03%; Others 0.35%,P95,TANJONG KARANG,parliament,Selangor
4,"69,397","8,498",996,0,"60,843 (87.7%)",Malay 65.43%; Chinese 12.92%; Indian 21.09%; B/P Sabah 0.1%; B/P Sarawak 0.08%; Orang Asli (Pen. Msia) 0.01%; Others 0.37%,P96,KUALA SELANGOR,parliament,Selangor
5,"116,176","40,657",953,0,"99,450 (85.6%)",Malay 51.79%; Chinese 28.73%; Indian 17.7%; B/P Sabah 0.21%; B/P Sarawak 0.18%; Orang Asli (Pen. Msia) 0.22%; Others 1.16%,P97,SELAYANG,parliament,Selangor
6,"141,112","48,721",933,0,"120,548 (85.4%)",Malay 75.8%; Chinese 10.67%; Indian 10.77%; B/P Sabah 0.15%; B/P Sarawak 0.14%; Orang Asli (Pen. Msia) 0.39%; Others 2.08%,P98,GOMBAK,parliament,Selangor
7,"91,737","41,956",608,0,"77,539 (84.5%)",Malay 54.79%; Chinese 34.66%; Indian 8.71%; B/P Sabah 0.2%; B/P Sarawak 0.13%; Orang Asli (Pen. Msia) 0.01%; Others 1.5%,P99,AMPANG,parliament,Selangor
8,"101,319","52,543",517,0,"86,514 (85.4%)",Malay 45.58%; Chinese 45.95%; Indian 7.12%; B/P Sabah 0.34%; B/P Sarawak 0.15%; Orang Asli (Pen. Msia) 0.01%; Others 0.85%,P100,PANDAN,parliament,Selangor
9,"102,363","25,424",929,0,"89,577 (87.5%)",Malay 64.98%; Chinese 22.08%; Indian 10.42%; B/P Sabah 0.32%; B/P Sarawak 0.27%; Orang Asli (Pen. Msia) 0.75%; Others 1.19%,P101,HULU LANGAT,parliament,Selangor
10,"178,790","68,768","1,114",0,"157,933 (88.3%)",Malay 48.48%; Chinese 38.95%; Indian 11.12%; B/P Sabah 0.28%; B/P Sarawak 0.22%; Orang Asli (Pen. Msia) 0.01%; Others 0.93%,P102,BANGI,parliament,Selangor
11,"96,437","47,635",667,0,"84,357 (87.5%)",Malay 36.86%; Chinese 51.98%; Indian 10.03%; B/P Sabah 0.32%; B/P Sarawak 0.17%; Orang Asli (Pen. Msia) 0.15%; Others 0.49%,P103,PUCHONG,parliament,Selangor
12,"146,422","92,353",610,0,"126,883 (86.7%)",Malay 26.62%; Chinese 56.49%; Indian 15.15%; B/P Sabah 0.41%; B/P Sarawak 0.27%; Orang Asli (Pen. Msia) 0.01%; Others 1.05%,P104,SUBANG,parliament,Selangor
13,"140,920","57,137",968,0,"116,597 (82.7%)",Malay 46.57%; Chinese 32.03%; Indian 19.54%; B/P Sabah 0.31%; B/P Sarawak 0.22%; Orang Asli (Pen. Msia) 0.01%; Others 1.32%,P105,PETALING JAYA,parliament,Selangor
14,"164,322","106,903",867,0,"137,639 (83.8%)",Malay 19.67%; Chinese 69.42%; Indian 9.42%; B/P Sabah 0.18%; B/P Sarawak 0.12%; Orang Asli (Pen. Msia) 0.19%; Others 0.99%,P106,DAMANSARA,parliament,Selangor
15,"90,707","26,634",686,0,"78,874 (87%)",Malay 65.33%; Chinese 21.64%; Indian 10.72%; B/P Sabah 0.46%; B/P Sarawak 0.47%; Orang Asli (Pen. Msia) 0.04%; Others 1.35%,P107,SUNGAI BULOH,parliament,Selangor
16,"107,316","33,849",664,0,"94,241 (87.8%)",Malay 75.26%; Chinese 10.83%; Indian 12.78%; B/P Sabah 0.3%; B/P Sarawak 0.23%; Orang Asli (Pen. Msia) 0.07%; Others 0.53%,P108,SHAH ALAM,parliament,Selangor
17,"124,983","16,306","1,497",0,"107,829 (86.3%)",Malay 70.72%; Chinese 14.78%; Indian 13.55%; B/P Sabah 0.25%; B/P Sarawak 0.09%; Orang Asli (Pen. Msia) 0.02%; Others 0.58%,P109,KAPAR,parliament,Selangor
