,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Mohd Fasiah Mohd Fakeh (BN - UMNO),"31.5% (12,862)",P92,SABAK BERNAM,parliament,Selangor
1,Warno Dogol (PH - PPBM),"27.4% (11,188)",P92,SABAK BERNAM,parliament,Selangor
2,Muhammad Labib Abd Jalil (PAS),"22.8% (9,300)",P92,SABAK BERNAM,parliament,Selangor
3,Muslimin Yahaya (PH - PKR),"35.6% (17,350)",P93,SUNGAI BESAR,parliament,Selangor
4,Budiman Mohd Zohdi (BN - UMNO),"34.1% (16,636)",P93,SUNGAI BESAR,parliament,Selangor
5,Mohamed Salleh M Husin (PAS),"14.8% (7,220)",P93,SUNGAI BESAR,parliament,Selangor
6,Leow Hsiad Hui (PH - PKR),"40.4% (40,783)",P94,HULU SELANGOR,parliament,Selangor
7,Kamalanathan Panchanathan (BN - MIC),"27.1% (27,392)",P94,HULU SELANGOR,parliament,Selangor
8,Wan Mat Sulaiman (PAS),"16.5% (16,620)",P94,HULU SELANGOR,parliament,Selangor
9,Kumar Paramasivam (IND),0.4% (426),P94,HULU SELANGOR,parliament,Selangor
10,Noh Omar (BN - UMNO),"37.3% (17,596)",P95,TANJONG KARANG,parliament,Selangor
11,Zulkafperi Hanapi (PH - PPBM),"33.1% (15,626)",P95,TANJONG KARANG,parliament,Selangor
12,Nor Az Azlan Ahmad (PAS),"15.4% (7,276)",P95,TANJONG KARANG,parliament,Selangor
13,Dzulkefly Ahmad (PH - AMANAH),"43.0% (29,842)",P96,KUALA SELANGOR,parliament,Selangor
14,Irmohizam Ibrahim (BN - UMNO),"30.8% (21,344)",P96,KUALA SELANGOR,parliament,Selangor
15,Mohd Fakaruddin Ismail (PAS),"12.3% (8,535)",P96,KUALA SELANGOR,parliament,Selangor
16,William Leong Jee Keen (PH - PKR),"51.8% (60,158)",P97,SELAYANG,parliament,Selangor
17,Kang Meng Fuat (BN - MCA),"16.8% (19,501)",P97,SELAYANG,parliament,Selangor
