,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Rizam Ismail (BN - UMNO),"33.4% (5,437)",N1,SUNGAI AIR TAWAR (P92),state,Selangor
1,Zamri Yahya (PAS),"24.6% (3,997)",N1,SUNGAI AIR TAWAR (P92),state,Selangor
2,Mohd Hamizar Sulaiman (PH - PPBM),"24.1% (3,921)",N1,SUNGAI AIR TAWAR (P92),state,Selangor
3,Ahmad Mustain Othman (PH - PKR),"28.4% (6,981)",N2,SABAK (P92),state,Selangor
4,Sallehuddin Mohd Iskan (BN - UMNO),"27.9% (6,851)",N2,SABAK (P92),state,Selangor
5,Sallehen Mukhyi (PAS),"25.1% (6,183)",N2,SABAK (P92),state,Selangor
6,Mohd Imran Tamrin (BN - UMNO),"34.4% (10,530)",N3,SUNGAI PANJANG (P93),state,Selangor
7,Mariam Abdul Rashid (PH - AMANAH),"27.6% (8,446)",N3,SUNGAI PANJANG (P93),state,Selangor
8,Mohd Razali Saari (PAS),"22.8% (6,999)",N3,SUNGAI PANJANG (P93),state,Selangor
9,Ng Suee Lim (PH - DAP),"43.4% (7,863)",N4,SEKINCHAN (P93),state,Selangor
10,Lee Yee Yuan (BN - MCA),"27.7% (5,019)",N4,SEKINCHAN (P93),state,Selangor
11,Mohd Fadzin Taslimin (PAS),"13.0% (2,351)",N4,SEKINCHAN (P93),state,Selangor
12,Rosni Sohar (BN - UMNO),"35.7% (8,164)",N5,HULU BERNAM (P94),state,Selangor
13,Mohd Amran Sakir (PH - AMANAH),"35.6% (8,144)",N5,HULU BERNAM (P94),state,Selangor
14,Mohammed Salleh Ri (PAS),"11.2% (2,554)",N5,HULU BERNAM (P94),state,Selangor
15,Lee Kee Hiong (PH - DAP),"48.4% (14,101)",N6,KUALA KUBU BAHARU (P94),state,Selangor
16,Wong Koon Mun (BN - MCA),"23.9% (6,967)",N6,KUALA KUBU BAHARU (P94),state,Selangor
17,Naharudin Abdul Rashid (PAS),"11.3% (3,306)",N6,KUALA KUBU BAHARU (P94),state,Selangor
18,Harumaini Omar (PH - PPBM),"44.0% (21,536)",N7,BATANG KALI (P94),state,Selangor
19,Mat Nadzari Ahmad Dahlan (BN - UMNO),"27.0% (13,221)",N7,BATANG KALI (P94),state,Selangor
20,Mohd Hasnizan Harun (PAS),"15.1% (7,408)",N7,BATANG KALI (P94),state,Selangor
21,Mohd Shamsudin Lias (BN - UMNO),"36.4% (8,741)",N8,SUNGAI BURONG (P95),state,Selangor
22,Mohd Zamri Mohd Zainuldin (PAS),"26.7% (6,411)",N8,SUNGAI BURONG (P95),state,Selangor
23,Mohd Tarmizi Lazim (PH - PPBM),"22.1% (5,323)",N8,SUNGAI BURONG (P95),state,Selangor
24,Rozana Zainal Abidin (PH - PKR),"39.8% (9,208)",N9,PERMATANG (P95),state,Selangor
25,Sulaiman Abdul Razak (BN - UMNO),"34.8% (8,050)",N9,PERMATANG (P95),state,Selangor
26,Muhammad Jafarudin Sheik Daud (PAS),"11.9% (2,746)",N9,PERMATANG (P95),state,Selangor
