,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Idris Jusoh (BN - UMNO),"39.6% (34,335)",P33,BESUT,parliament,Terengganu
1,Riduan Mohamad Nor (PAS),"34.3% (29,736)",P33,BESUT,parliament,Terengganu
2,Wan Nazari Wan Jusoh (PH - PPBM),"7.9% (6,864)",P33,BESUT,parliament,Terengganu
3,Shaharizukirnain Abd Kadir (PAS),"40.6% (35,020)",P34,SETIU,parliament,Terengganu
4,Mohd Jidin Shafee (BN - UMNO),"37.4% (32,218)",P34,SETIU,parliament,Terengganu
5,Mohd Faudzi Musa (PH - PPBM),"5.5% (4,740)",P34,SETIU,parliament,Terengganu
6,Mohd Khairuddin Aman Razali (PAS),"45.4% (37,974)",P35,KUALA NERUS,parliament,Terengganu
7,Tengku Asmadi Tengku Mohamad (BN - UMNO),"35.3% (29,527)",P35,KUALA NERUS,parliament,Terengganu
8,Abdullah Mohamed (PH - AMANAH),"5.5% (4,604)",P35,KUALA NERUS,parliament,Terengganu
9,Ahmad Amzad Mohamed @ Hashim (PAS),"41.5% (42,988)",P36,KUALA TERENGGANU,parliament,Terengganu
10,Wan Nawawi Wan Ismail (BN - UMNO),"27.2% (28,215)",P36,KUALA TERENGGANU,parliament,Terengganu
11,Raja Kamarul Bahrin Shah (PH - AMANAH),"14.8% (15,380)",P36,KUALA TERENGGANU,parliament,Terengganu
12,Abdul Hadi Awang (PAS),"51.2% (53,749)",P37,MARANG,parliament,Terengganu
13,Mohamad Nor Endot (BN - UMNO),"30.3% (31,795)",P37,MARANG,parliament,Terengganu
14,Zarawi Sulong (PH - AMANAH),"4.9% (5,138)",P37,MARANG,parliament,Terengganu
15,Rosol Wahid (BN - UMNO),"42.1% (30,925)",P38,HULU TERENGGANU,parliament,Terengganu
16,Muhyidin Abdul Rashid (PAS),"38.2% (28,057)",P38,HULU TERENGGANU,parliament,Terengganu
17,Razali Idris (PH - PPBM),"4.6% (3,364)",P38,HULU TERENGGANU,parliament,Terengganu
18,Wan Hassan Mohd Ramli (PAS),"45.1% (40,850)",P39,DUNGUN,parliament,Terengganu
19,Din Adam (BN - UMNO),"30.6% (27,731)",P39,DUNGUN,parliament,Terengganu
20,Abd Rahman Yusof (PH - PKR),"7.5% (6,833)",P39,DUNGUN,parliament,Terengganu
21,Che Alias Hamid (PAS),"37.1% (39,878)",P40,KEMAMAN,parliament,Terengganu
22,Ahmad Shabery Cheek (BN - UMNO),"35.1% (37,715)",P40,KEMAMAN,parliament,Terengganu
23,Mohd Huzaifah Md Suhaimi (PH - PKR),"12.0% (12,911)",P40,KEMAMAN,parliament,Terengganu
