,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
0,"20,762",143,197,0,"17,495 (84.3%)",Malay 98.81%; Chinese 0.65%; Indian 0.1%; B/P Sabah 0.09%; B/P Sarawak 0.15%; Others 0.2%,N1,KUALA BESUT (P33),state,Terengganu
1,"24,182","1,181",283,0,"20,180 (83.5%)",Malay 98.78%; Chinese 0.62%; Indian 0.06%; B/P Sabah 0.04%; B/P Sarawak 0.07%; Others 0.43%,N2,KOTA PUTERA (P33),state,Terengganu
2,"22,880","1,381",226,0,"18,855 (82.4%)",Malay 96.18%; Chinese 3.33%; Indian 0.14%; B/P Sabah 0.03%; B/P Sarawak 0.04%; Others 0.28%,N3,JERTIH (P33),state,Terengganu
3,"18,803","1,469",209,0,"15,788 (84%)",Malay 98.78%; Chinese 0.92%; Indian 0.05%; B/P Sabah 0.06%; B/P Sarawak 0.02%; Orang Asli (Pen. Msia) 0.05%; Others 0.11%,N4,HULU BESUT (P33),state,Terengganu
4,"20,041",55,243,0,"17,144 (85.5%)",Malay 99.2%; Chinese 0.43%; Indian 0.01%; B/P Sabah 0.06%; B/P Sarawak 0.02%; Others 0.26%,N5,JABI (P34),state,Terengganu
5,"23,839","1,970",333,0,"20,090 (84.3%)",Malay 99.28%; Chinese 0.48%; Indian 0.03%; B/P Sabah 0.05%; B/P Sarawak 0.05%; Others 0.11%,N6,PERMAISURI (P34),state,Terengganu
6,"18,296","3,446",243,0,0 (0%),Malay 99.7%; Chinese 0.05%; Indian 0.03%; B/P Sabah 0.04%; B/P Sarawak 0.03%; Others 0.15%,N7,LANGKAP (P34),state,Terengganu
7,"24,071",299,237,0,"20,912 (86.9%)",Malay 99.48%; Chinese 0.3%; Indian 0.05%; B/P Sabah 0.06%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.01%; Others 0.06%,N8,BATU RAKIT (P34),state,Terengganu
8,"23,111","2,717",194,0,"20,132 (87.1%)",Malay 99%; Chinese 0.63%; Indian 0.06%; B/P Sabah 0.03%; B/P Sarawak 0.02%; Others 0.26%,N9,TEPUH (P35),state,Terengganu
9,"22,528","4,567",286,0,"19,847 (88.1%)",Malay 98.31%; Chinese 1.52%; Indian 0.04%; B/P Sabah 0.04%; B/P Sarawak 0.02%; Others 0.08%,N10,BULUH GADING (P35),state,Terengganu
10,"20,607","1,884",148,0,"17,996 (87.3%)",Malay 99.24%; Chinese 0.18%; Indian 0.11%; B/P Sabah 0.13%; B/P Sarawak 0.21%; Others 0.13%,N11,SEBERANG TAKIR (P35),state,Terengganu
11,"17,417","2,344",198,0,"15,242 (87.5%)",Malay 98.17%; Chinese 1.54%; Indian 0.13%; B/P Sabah 0.03%; B/P Sarawak 0.01%; Orang Asli (Pen. Msia) 0.01%; Others 0.11%,N12,BUKIT TUNGGAL (P35),state,Terengganu
12,"28,059","7,378",227,0,"24,129 (86%)",Malay 99.43%; Chinese 0.39%; Indian 0.06%; B/P Sabah 0.01%; B/P Sarawak 0.03%; Others 0.07%,N13,WAKAF MEMPELAM (P36),state,Terengganu
13,"20,268","2,091",181,0,"16,353 (80.7%)",Malay 64.13%; Chinese 34.55%; Indian 1.03%; B/P Sabah 0.03%; B/P Sarawak 0.02%; Others 0.24%,N14,BANDAR (P36),state,Terengganu
14,"22,570",363,179,0,"19,146 (84.8%)",Malay 90.34%; Chinese 8.15%; Indian 1.01%; B/P Sabah 0.12%; B/P Sarawak 0.13%; Orang Asli (Pen. Msia) 0.01%; Others 0.24%,N15,LADANG (P36),state,Terengganu
15,"32,714","5,288",221,0,"27,989 (85.6%)",Malay 97.73%; Chinese 1.79%; Indian 0.26%; B/P Sabah 0.04%; B/P Sarawak 0.02%; Others 0.17%,N16,BATU BURUK (P36),state,Terengganu
16,"28,038","4,194",276,0,"24,320 (86.7%)",Malay 96.64%; Chinese 3.08%; Indian 0.1%; B/P Sabah 0.02%; B/P Sarawak 0.07%; Others 0.09%,N17,ALUR LIMBAT (P37),state,Terengganu
17,"22,661","4,488",198,0,"20,204 (89.2%)",Malay 99.43%; Chinese 0.26%; Indian 0.07%; B/P Sabah 0.03%; B/P Sarawak 0.04%; Others 0.17%,N18,BUKIT PAYUNG (P37),state,Terengganu
18,"25,999","6,028",249,0,"22,728 (87.4%)",Malay 99.39%; Chinese 0.37%; Indian 0.07%; B/P Sabah 0.04%; B/P Sarawak 0.03%; Others 0.09%,N19,RU RENDANG (P37),state,Terengganu
19,"28,200",490,326,0,"24,855 (88.1%)",Malay 95.75%; Chinese 3.88%; Indian 0.07%; B/P Sabah 0.07%; B/P Sarawak 0.06%; Others 0.17%,N20,PENGKALAN BERANGAN (P37),state,Terengganu
20,"17,868","4,159",244,0,"15,387 (86.1%)",Malay 98.89%; Chinese 0.09%; Indian 0.01%; B/P Sabah 0.01%; B/P Sarawak 0.02%; Orang Asli (Pen. Msia) 0.86%; Others 0.13%,N21,TELEMUNG (P38),state,Terengganu
21,"17,239","2,844",124,0,"15,181 (88.1%)",Malay 99.48%; Chinese 0.34%; Indian 0.03%; B/P Sabah 0.05%; B/P Sarawak 0.03%; Others 0.08%,N22,MANIR (P38),state,Terengganu
22,"17,848","1,070",199,0,"15,571 (87.2%)",Malay 99.03%; Chinese 0.72%; Indian 0.05%; B/P Sabah 0.04%; B/P Sarawak 0.06%; Others 0.11%,N23,KUALA BERANG (P38),state,Terengganu
23,"20,532",4,285,0,"17,294 (84.2%)",Malay 98.96%; Chinese 0.7%; Indian 0.06%; B/P Sabah 0.05%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.01%; Others 0.18%,N24,AJIL (P38),state,Terengganu
24,"14,493",46,189,0,"12,239 (84.4%)",Malay 99.29%; Chinese 0.2%; Indian 0.1%; B/P Sabah 0.06%; B/P Sarawak 0.09%; Others 0.26%,N25,BUKIT BESI (P39),state,Terengganu
25,"24,819","4,452",242,0,"21,411 (86.3%)",Malay 98.85%; Chinese 0.48%; Indian 0.07%; B/P Sabah 0.07%; B/P Sarawak 0.04%; Others 0.48%,N26,RANTAU ABANG (P39),state,Terengganu
26,"24,761","7,162",206,0,"20,530 (82.9%)",Malay 92.8%; Chinese 6.68%; Indian 0.36%; B/P Sabah 0.02%; B/P Sarawak 0.02%; Others 0.13%,N27,SURA (P39),state,Terengganu
27,"26,433","3,405",237,0,"22,527 (85.2%)",Malay 94.56%; Chinese 4.85%; Indian 0.14%; B/P Sabah 0.13%; B/P Sarawak 0.08%; Orang Asli (Pen. Msia) 0.01%; Others 0.22%,N28,PAKA (P39),state,Terengganu
